Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYA_M_R
50,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
52,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
53,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
54,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
55,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
56,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
60,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
61,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
62,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
65,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
66,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
69,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
71,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
72,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
75,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
78,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
79,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
80,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
82,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
83,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
84,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
85,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
86,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
88,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
89,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
90,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
93,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
94,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
95,NULL,Water,Water,Water,Water,NULL,NULL,Water
96,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
99,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
101,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
104,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
109,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
110,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
111,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
112,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
113,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
114,NULL,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
115,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
116,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
117,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
118,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
122,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
124,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
125,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
126,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
127,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
128,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
129,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
130,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
131,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
133,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
134,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
135,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
136,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
137,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
138,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
139,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
140,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
141,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
142,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
143,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
144,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
145,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
146,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
147,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
148,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
150,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
151,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
152,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
153,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
154,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
155,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
156,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
157,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
158,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
159,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
160,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
161,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
162,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
163,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
164,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
165,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
167,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
168,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
169,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
170,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
171,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
172,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
173,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
174,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
175,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
176,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
177,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
178,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Forest
179,Grassland,Wetland,Water,Water,Water,NULL,NULL,Grassland
180,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
181,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
182,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
183,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
184,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
185,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
186,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
187,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
188,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
189,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
190,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
191,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
192,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
193,Grassland,Water,Water,NULL,Water,NULL,NULL,Water
194,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
195,Grassland,Water,Water,Water,Water,NULL,NULL,Water
196,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
197,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
198,Grassland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,Grassland,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
200,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
201,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
202,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
203,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
204,Grassland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
205,Grassland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
206,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
208,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,Grassland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
211,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
212,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
213,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
214,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
215,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
216,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
217,Grassland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
218,Grassland,Forest,Water,NULL,Water,NULL,NULL,Water
219,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
220,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Water
221,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
222,Grassland,Forest,Water,Water,Water,NULL,NULL,Grassland
223,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
224,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
225,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
226,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
227,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
228,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
229,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
230,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
231,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
232,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
233,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
234,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
235,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
236,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
237,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
238,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
239,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
240,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
241,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
242,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
243,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
244,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
245,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
246,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
247,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
248,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
249,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
250,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
251,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
252,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
253,Cropland,NULL,Water,Water,Water,NULL,NULL,Wetland
254,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
255,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
256,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
259,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
260,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
261,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
262,Cropland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
263,Cropland,Cropland,Water,Water,Water,NULL,NULL,Water
264,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
265,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
266,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
267,Cropland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
268,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
269,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
270,Cropland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
271,Cropland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
272,Cropland,Wetland,Water,Water,Water,NULL,NULL,Grassland
273,Cropland,Wetland,Water,Water,Water,NULL,NULL,Water
274,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
275,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
276,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
277,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
278,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
279,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
280,Cropland,Water,Water,Water,Water,NULL,NULL,Water
281,Cropland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
282,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
284,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
285,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
286,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
287,Cropland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
288,Cropland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
289,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
290,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
291,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
292,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
293,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
294,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
295,Cropland,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
296,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
297,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
298,Cropland,Forest,Water,Water,Water,NULL,NULL,Water
299,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
300,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
301,Wetland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
302,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
303,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
304,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
305,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
307,Wetland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
308,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
309,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
310,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
311,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
312,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
313,Wetland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
314,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
315,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
316,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
317,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
318,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
319,Wetland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
320,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
321,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
322,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
323,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
324,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
325,Wetland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
326,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
327,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
328,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
329,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
330,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
331,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
332,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
333,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
334,Wetland,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
335,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
336,Wetland,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
337,Wetland,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
338,Wetland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
339,Wetland,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
340,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
341,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
342,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
343,Wetland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
344,Wetland,Forest,Water,Water,Water,NULL,NULL,Grassland
345,Wetland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
