Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NUF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUF_M_R
347,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
348,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
349,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
350,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
351,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
352,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
353,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
354,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
355,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
356,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
357,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
358,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
359,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
360,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
361,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
362,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
363,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
364,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
365,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
366,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
367,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
368,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
369,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
370,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
371,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
372,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
373,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
374,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
375,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
376,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
377,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
378,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
379,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
380,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
381,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
382,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
383,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
384,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
385,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
386,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
387,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
388,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
389,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
390,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
391,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
392,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
393,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
394,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
395,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
396,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
397,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
398,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
399,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
400,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
401,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
402,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
403,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
404,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
405,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
406,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
407,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
408,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
409,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
410,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
411,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
412,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
413,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
414,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
415,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
416,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
417,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
418,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
419,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
420,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
421,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
422,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
423,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
424,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
425,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
426,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
427,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
428,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
429,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
430,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
431,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
432,Grassland,Water,Water,NULL,Water,NULL,NULL,Grassland
433,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Forest
434,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
435,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
436,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
437,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
438,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
439,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
440,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
441,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
442,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
443,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
444,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
445,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
446,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
447,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
448,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
449,Grassland,Forest,Water,Non_Water,Water,NULL,NULL,Wetland
450,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
451,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
452,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
453,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
454,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
455,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
456,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
457,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
458,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
459,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
460,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
461,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
462,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
463,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
464,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
465,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
466,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
467,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
468,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
469,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
470,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
471,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
472,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
473,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
474,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
475,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
476,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
477,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
478,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
479,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
480,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
481,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
482,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
483,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
484,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
485,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
486,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
487,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
488,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
489,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
490,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
491,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
492,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
493,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
494,Cropland,NULL,Water,Water,Water,NULL,NULL,Forest
495,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
496,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
497,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
498,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
499,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
500,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
501,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
502,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
503,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
504,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
505,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
506,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
507,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
508,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
509,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
510,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
511,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
512,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
513,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
514,Cropland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
515,Cropland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
516,Cropland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
517,Cropland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
518,Cropland,Wetland,Water,Water,Water,NULL,NULL,Bareland
519,Cropland,Wetland,Water,Water,Water,NULL,NULL,Water
520,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
521,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
522,Cropland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
523,Cropland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Forest
524,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
525,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
526,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
527,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
528,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
529,Cropland,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
530,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
531,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
532,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
533,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
534,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
535,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
536,Cropland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
537,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
538,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
539,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
540,Cropland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
541,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
542,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
543,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
544,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
545,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
546,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
547,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
548,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
549,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
550,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
551,Cropland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
552,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
553,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
554,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
555,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
556,Cropland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
557,Cropland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
558,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
559,Cropland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
560,Cropland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
561,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
562,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
563,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
564,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
565,Cropland,Water,Water,NULL,Water,NULL,NULL,Grassland
566,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Water
567,Cropland,Water,Water,Water,Water,NULL,NULL,Grassland
568,Cropland,Water,Water,Water,Water,NULL,NULL,Water
569,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
570,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
571,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
572,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
573,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
574,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
575,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
576,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
577,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
578,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
579,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
580,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
581,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
582,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
583,Cropland,Forest,Water,Water,Water,NULL,NULL,Grassland
584,Cropland,Forest,Water,Water,Water,NULL,NULL,Forest
585,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
586,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
587,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
588,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
589,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
590,Cropland,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
591,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
592,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
593,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
594,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
595,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
596,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
597,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
598,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
599,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
600,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
601,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
602,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
603,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
604,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
605,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
606,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
607,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
608,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
609,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
610,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
611,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
612,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
613,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
614,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
615,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
616,Wetland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
617,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
618,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
619,Wetland,NULL,Water,NULL,Water,NULL,NULL,Bareland
620,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
621,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
622,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
623,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Water
624,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
625,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
626,Wetland,NULL,Water,Water,Water,NULL,NULL,Bareland
627,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
628,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
629,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
630,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
631,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
632,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
633,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
634,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
635,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
636,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
637,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
638,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
639,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
640,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
641,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
642,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
643,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
644,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
645,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
646,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
647,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
648,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
649,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
650,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
651,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
652,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
653,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
654,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
655,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
656,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
657,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
658,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
659,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
660,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
661,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
662,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
663,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
664,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
665,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
666,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
667,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
668,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
669,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
670,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
671,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
672,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
673,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
674,Wetland,Bareland,Water,Water,Water,NULL,NULL,Water
675,Wetland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
676,Wetland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
677,Wetland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
678,Wetland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
679,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
680,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
681,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
682,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
683,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
684,Wetland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
685,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
686,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
687,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
688,Wetland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
689,Wetland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
690,Wetland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
691,Wetland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
692,Wetland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Water
693,Wetland,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
694,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
