Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEQ_M_R
25,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
26,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
27,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
28,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
29,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
30,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
31,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
32,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Water
33,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
34,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
35,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
36,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
37,NULL,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
38,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
39,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
40,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
41,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
42,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Water
43,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
44,NULL,Water,Built-up,NULL,Non_Wetland,Water,Water,Grassland
45,NULL,Water,Water,NULL,Water,Bareland,Water,Forest
46,NULL,Water,Water,NULL,Water,Water,Wetland,Forest
47,NULL,Water,Water,NULL,Water,Water,Water,Water
48,NULL,Water,Water,NULL,Water,Water,Water,Forest
49,NULL,Water,Water,NULL,Water,Water,Forest,Forest
50,NULL,Water,Water,Water,Water,Water,Water,Wetland
51,NULL,Water,Water,Water,Water,Water,Water,Water
52,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
53,NULL,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
54,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
55,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
56,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
57,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
58,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
59,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
60,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
61,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
62,NULL,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
63,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
64,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
65,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Water
66,NULL,Forest,NULL,NULL,Non_Wetland,Water,Grassland,Forest
67,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Water
68,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
69,NULL,Forest,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
70,NULL,Forest,Water,NULL,Water,Water,Grassland,Grassland
71,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
72,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
73,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
74,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
75,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Water
76,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
77,Grassland,Water,Water,Water,Water,Water,Water,Water
78,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
79,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
80,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
81,Cropland,Water,Wetland,Water,Wetland,Water,Wetland,Water
82,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
83,Cropland,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
84,Cropland,Water,Water,Water,Water,Water,Water,Water
85,Cropland,Forest,Water,Water,Water,Water,Water,Grassland
86,Wetland,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
87,Wetland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
88,Wetland,Water,Water,Non_Water,Water,Water,Water,Water
89,Wetland,Water,Water,Water,Water,Water,Water,Water
90,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
91,Wetland,Forest,Wetland,NULL,Wetland,Water,Water,Forest
92,Wetland,Forest,Bareland,NULL,Non_Wetland,Water,Water,Forest
93,Wetland,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
94,Bareland,Bareland,NULL,NULL,Non_Wetland,Water,Water,Forest
95,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
96,Bareland,Bareland,NULL,Non_Water,Non_Wetland,Water,Water,Water
97,Bareland,Bareland,NULL,Water,Non_Wetland,Water,Water,Water
98,Bareland,Bareland,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
99,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water,Water,Water
100,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water,Water,Water
101,Bareland,Bareland,Grassland,NULL,Non_Wetland,Water,Water,Forest
102,Bareland,Bareland,Grassland,Water,Non_Wetland,Water,Water,Water
103,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Water
104,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Grassland
105,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
106,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Water,Grassland
107,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
108,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
109,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
110,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
111,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
112,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Water,Water
113,Bareland,Bareland,Bareland,Water,Non_Wetland,Bareland,Water,Water
114,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Wetland,Water
115,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
116,Bareland,Bareland,Water,Non_Water,Water,Water,Wetland,Water
117,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
118,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
119,Bareland,Bareland,Water,Water,Water,Water,Wetland,Water
120,Bareland,Bareland,Water,Water,Water,Water,Water,Grassland
121,Bareland,Bareland,Water,Water,Water,Water,Water,Water
122,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
123,Bareland,Bareland,Forest,NULL,Non_Wetland,Bareland,Water,Forest
124,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
125,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Water,Water
126,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Water,Forest
127,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Forest,Forest
128,Bareland,Bareland,Forest,Non_Water,Non_Wetland,Water,Water,Water
129,Bareland,Bareland,Forest,Water,Non_Wetland,Water,Water,Water
130,Bareland,Water,NULL,NULL,Non_Wetland,Water,Water,Water
131,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Bareland
132,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Water
133,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
134,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
135,Bareland,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
136,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
137,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
138,Bareland,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
139,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
140,Bareland,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
141,Bareland,Water,Wetland,NULL,Wetland,Grassland,Water,Water
142,Bareland,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
143,Bareland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
144,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
145,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
146,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Bareland
147,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
148,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Forest
149,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
150,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
151,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
152,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
153,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
154,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
155,Bareland,Water,Wetland,Water,Wetland,Grassland,Water,Water
156,Bareland,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
157,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
158,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
159,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Bareland
160,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
161,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
162,Bareland,Water,Wetland,Water,Wetland,Water,Water,Wetland
163,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
164,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
165,Bareland,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
166,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
167,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
168,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
169,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
170,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
171,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
172,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
173,Bareland,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
174,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
175,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
176,Bareland,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Water
177,Bareland,Water,Built-up,Water,Non_Wetland,Water,Wetland,Water
178,Bareland,Water,Water,NULL,Water,Bareland,Wetland,Forest
179,Bareland,Water,Water,NULL,Water,Bareland,Bareland,Forest
180,Bareland,Water,Water,NULL,Water,Water,Wetland,Water
181,Bareland,Water,Water,NULL,Water,Water,Water,Water
182,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Grassland
183,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
184,Bareland,Water,Water,Non_Water,Water,Water,Water,Bareland
185,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
186,Bareland,Water,Water,Non_Water,Water,Water,Water,Forest
187,Bareland,Water,Water,Water,Water,Bareland,Bareland,Water
188,Bareland,Water,Water,Water,Water,Bareland,Water,Water
189,Bareland,Water,Water,Water,Water,Water,Wetland,Water
190,Bareland,Water,Water,Water,Water,Water,Water,Grassland
191,Bareland,Water,Water,Water,Water,Water,Water,Water
192,Bareland,Water,Water,Water,Water,Water,Water,Forest
193,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
194,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
195,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
196,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
197,Bareland,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Water
198,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
199,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Bareland
200,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
201,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
202,Bareland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
203,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
204,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
205,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
206,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
207,Bareland,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
208,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
209,Bareland,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
210,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
211,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
212,Bareland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
213,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
214,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
215,Bareland,Forest,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
216,Bareland,Forest,Bareland,Water,Non_Wetland,Water,Water,Water
217,Bareland,Forest,Built-up,Water,Non_Wetland,Water,Water,Grassland
218,Bareland,Forest,Water,Non_Water,Water,Water,Water,Water
219,Bareland,Forest,Water,Water,Water,Water,Water,Water
220,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
221,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
222,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
223,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
224,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
225,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
226,Water,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
227,Water,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
228,Water,NULL,Water,Water,Water,Water,Water,Water
229,Water,Bareland,Shrubland,Water,Non_Wetland,Water,Grassland,Water
230,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
231,Water,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
232,Water,Bareland,Water,Water,Water,Water,Water,Water
233,Water,Bareland,Forest,NULL,Non_Wetland,Water,Water,Forest
234,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Water
235,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
236,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
237,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
238,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
239,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
240,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
241,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
242,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
243,Water,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
244,Water,Water,NULL,NULL,Non_Wetland,Forest,Water,Water
245,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Water
246,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
247,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
248,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
249,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
250,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
251,Water,Water,NULL,Water,Non_Wetland,NULL,Water,Water
252,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
253,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
254,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
255,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
256,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Water
257,Water,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
258,Water,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
259,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
260,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
261,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
262,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
263,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
264,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
265,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
266,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
267,Water,Water,Shrubland,Water,Non_Wetland,Forest,Water,Water
268,Water,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
269,Water,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
270,Water,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
271,Water,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
272,Water,Water,Grassland,NULL,Non_Wetland,Water,Grassland,Water
273,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
274,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
275,Water,Water,Grassland,NULL,Non_Wetland,Water,Bareland,Water
276,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
277,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
278,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
279,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
280,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
281,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
282,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
283,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Water
284,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Forest,Forest
285,Water,Water,Grassland,Water,Non_Wetland,Bareland,Water,Water
286,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
287,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
288,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
289,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
290,Water,Water,Grassland,Water,Non_Wetland,Water,Forest,Water
291,Water,Water,Grassland,Water,Non_Wetland,Water,Forest,Forest
292,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
293,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
294,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
295,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
296,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Water
297,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
298,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Water
299,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
300,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
301,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Water
302,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
303,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
304,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
305,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
306,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
307,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
308,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
309,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
310,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
311,Water,Water,Wetland,NULL,Wetland,Forest,Water,Water
312,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
313,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
314,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
315,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
316,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
317,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
318,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
319,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
320,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
321,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
322,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
323,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
324,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
325,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
326,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
327,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
328,Water,Water,Wetland,Non_Water,Wetland,Forest,Wetland,Water
329,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
330,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Forest
331,Water,Water,Wetland,Water,Wetland,NULL,Wetland,Water
332,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
333,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
334,Water,Water,Wetland,Water,Wetland,NULL,Forest,Water
335,Water,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
336,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
337,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Grassland
338,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
339,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
340,Water,Water,Wetland,Water,Wetland,Water,Grassland,Water
341,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
342,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
343,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
344,Water,Water,Wetland,Water,Wetland,Water,Bareland,Water
345,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
346,Water,Water,Wetland,Water,Wetland,Water,Water,Wetland
347,Water,Water,Wetland,Water,Wetland,Water,Water,Bareland
348,Water,Water,Wetland,Water,Wetland,Water,Water,Water
349,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
350,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
351,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
352,Water,Water,Wetland,Water,Wetland,Forest,Water,Water
353,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Water,Water
354,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
355,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
356,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
357,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
358,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
359,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
360,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Bareland,Water
361,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
362,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
363,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Forest,Forest
364,Water,Water,Bareland,NULL,Non_Wetland,Water,Grassland,Bareland
365,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
366,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
367,Water,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Water
368,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Grassland
369,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
370,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
371,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
372,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
373,Water,Water,Bareland,NULL,Non_Wetland,Forest,Water,Forest
374,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Water
375,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Water,Forest
376,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
