Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQT_M_R
120,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
121,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
123,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
124,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
125,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
126,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
127,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
128,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
129,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
130,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
131,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
132,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
133,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
134,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
135,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
136,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
137,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
138,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
139,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
140,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
141,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
142,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
143,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
144,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
145,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
146,NULL,Cropland,Water,NULL,Water,Grassland
147,NULL,Cropland,Water,NULL,Water,Cropland
148,NULL,Cropland,Water,Water,Water,Water
149,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
150,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
151,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
152,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
153,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
154,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
155,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland
156,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
157,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
158,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
159,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
160,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
161,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
162,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
163,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
164,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
165,NULL,Wetland,Shrubland,Water,Non_Wetland,Bareland
166,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
167,NULL,Wetland,Cropland,NULL,Non_Wetland,Grassland
168,NULL,Wetland,Water,NULL,Water,Grassland
169,NULL,Wetland,Water,NULL,Water,Bareland
170,NULL,Wetland,Water,Non_Water,Water,Bareland
171,NULL,Wetland,Water,Water,Water,Grassland
172,NULL,Wetland,Water,Water,Water,Bareland
173,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
174,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
175,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
176,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
177,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
178,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
179,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
180,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
181,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
182,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
183,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
184,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
185,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
186,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
187,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
188,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
189,NULL,Bareland,Grassland,NULL,Non_Wetland,Permanent_ice_and_snow
190,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
191,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Water
192,NULL,Bareland,Grassland,Water,Non_Wetland,Water
193,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
194,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
195,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
196,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
197,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
198,NULL,Bareland,Wetland,Water,Wetland,Water
199,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
200,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
201,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
202,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
203,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
204,NULL,Bareland,Bareland,Water,Non_Wetland,Water
205,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
206,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
207,NULL,Bareland,Water,NULL,Water,Grassland
208,NULL,Bareland,Water,NULL,Water,Bareland
209,NULL,Bareland,Water,Non_Water,Water,Bareland
210,NULL,Bareland,Water,Water,Water,Water
211,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
212,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
213,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
214,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Forest
215,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
216,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
217,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
218,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
219,NULL,Bareland,Forest,Water,Non_Wetland,Water
220,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
221,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
222,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
223,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
224,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
225,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
232,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
233,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
234,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
235,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
236,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
237,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
238,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
239,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
240,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
241,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
242,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
243,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
244,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
245,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
246,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
247,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
248,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
249,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
250,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
251,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
252,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
253,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
254,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
255,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
256,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
257,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
258,NULL,Built-up,Cropland,Water,Non_Wetland,Water
259,NULL,Built-up,Wetland,NULL,Wetland,Grassland
260,NULL,Built-up,Wetland,Water,Wetland,Bareland
261,NULL,Built-up,Wetland,Water,Wetland,Built-up
262,NULL,Built-up,Wetland,Water,Wetland,Water
263,NULL,Built-up,Wetland,Water,Wetland,Forest
264,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
265,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
266,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
267,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
268,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
269,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
270,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
271,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
272,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
273,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
274,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
275,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
276,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
277,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
278,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
279,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
280,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
281,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
282,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
283,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
284,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
285,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
286,NULL,Built-up,Water,NULL,Water,Grassland
287,NULL,Built-up,Water,NULL,Water,Cropland
288,NULL,Built-up,Water,NULL,Water,Bareland
289,NULL,Built-up,Water,NULL,Water,Built-up
290,NULL,Built-up,Water,NULL,Water,Forest
291,NULL,Built-up,Water,Non_Water,Water,Grassland
292,NULL,Built-up,Water,Non_Water,Water,Water
293,NULL,Built-up,Water,Non_Water,Water,Forest
294,NULL,Built-up,Water,Water,Water,Bareland
295,NULL,Built-up,Water,Water,Water,Water
296,NULL,Built-up,Water,Water,Water,Forest
297,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
298,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
299,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
300,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
301,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
302,NULL,Built-up,Forest,NULL,Non_Wetland,Water
303,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
304,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
305,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
306,NULL,Built-up,Forest,Water,Non_Wetland,NULL
307,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
308,NULL,Built-up,Forest,Water,Non_Wetland,Forest
309,NULL,Water,NULL,NULL,Non_Wetland,Bareland
310,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
311,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
312,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
313,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
314,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
315,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
316,NULL,Water,Shrubland,NULL,Non_Wetland,Water
317,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
318,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
319,NULL,Water,Shrubland,Non_Water,Non_Wetland,Wetland
320,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
321,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
322,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
323,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
324,NULL,Water,Shrubland,Water,Non_Wetland,Wetland
325,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
326,NULL,Water,Shrubland,Water,Non_Wetland,Water
327,NULL,Water,Shrubland,Water,Non_Wetland,Forest
328,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
329,NULL,Water,Grassland,NULL,Non_Wetland,Forest
330,NULL,Water,Grassland,Water,Non_Wetland,Water
331,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
332,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
333,NULL,Water,Cropland,NULL,Non_Wetland,Water
334,NULL,Water,Cropland,NULL,Non_Wetland,Forest
335,NULL,Water,Cropland,Water,Non_Wetland,Bareland
336,NULL,Water,Cropland,Water,Non_Wetland,Water
337,NULL,Water,Cropland,Water,Non_Wetland,Forest
338,NULL,Water,Wetland,NULL,Wetland,Bareland
339,NULL,Water,Wetland,NULL,Wetland,Water
340,NULL,Water,Wetland,Water,Wetland,Grassland
341,NULL,Water,Wetland,Water,Wetland,Wetland
342,NULL,Water,Wetland,Water,Wetland,Bareland
343,NULL,Water,Wetland,Water,Wetland,Water
344,NULL,Water,Wetland,Water,Wetland,Forest
345,NULL,Water,Bareland,NULL,Non_Wetland,NULL
346,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
347,NULL,Water,Bareland,NULL,Non_Wetland,Cropland
348,NULL,Water,Bareland,NULL,Non_Wetland,Bareland
349,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
350,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
351,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
352,NULL,Water,Water,NULL,Water,Grassland
353,NULL,Water,Water,NULL,Water,Bareland
354,NULL,Water,Water,NULL,Water,Water
355,NULL,Water,Water,NULL,Water,Forest
356,NULL,Water,Water,Non_Water,Water,Grassland
357,NULL,Water,Water,Water,Water,Grassland
358,NULL,Water,Water,Water,Water,Wetland
359,NULL,Water,Water,Water,Water,Bareland
360,NULL,Water,Water,Water,Water,Water
361,NULL,Water,Water,Water,Water,Forest
362,NULL,Water,Forest,NULL,Non_Wetland,Grassland
363,NULL,Water,Forest,NULL,Non_Wetland,Wetland
364,NULL,Water,Forest,NULL,Non_Wetland,Bareland
365,NULL,Water,Forest,NULL,Non_Wetland,Water
366,NULL,Water,Forest,NULL,Non_Wetland,Forest
367,NULL,Water,Forest,Water,Non_Wetland,Grassland
368,NULL,Water,Forest,Water,Non_Wetland,Bareland
369,NULL,Water,Forest,Water,Non_Wetland,Water
370,NULL,Water,Forest,Water,Non_Wetland,Forest
371,NULL,Forest,NULL,NULL,Non_Wetland,NULL
372,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
373,NULL,Forest,NULL,NULL,Non_Wetland,Forest
374,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
375,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
376,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
377,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland
378,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
379,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
380,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
381,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
382,NULL,Forest,Shrubland,Water,Non_Wetland,Bareland
383,NULL,Forest,Shrubland,Water,Non_Wetland,Water
384,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
385,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
386,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
387,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
388,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
389,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
390,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
391,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
392,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
393,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
394,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
395,NULL,Forest,Cropland,Water,Non_Wetland,Forest
396,NULL,Forest,Wetland,Water,Wetland,Water
397,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
398,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
399,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
400,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland
401,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
402,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
403,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
404,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
405,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
406,NULL,Forest,Water,NULL,Water,Cropland
407,NULL,Forest,Water,NULL,Water,Forest
408,NULL,Forest,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
409,NULL,Forest,Forest,NULL,Non_Wetland,NULL
410,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
411,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
412,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
413,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
414,NULL,Forest,Forest,NULL,Non_Wetland,Water
415,NULL,Forest,Forest,NULL,Non_Wetland,Forest
416,NULL,Forest,Forest,Water,Non_Wetland,Bareland
417,Grassland,NULL,NULL,NULL,Non_Wetland,NULL
418,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
419,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
420,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
421,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
422,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
423,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
424,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
425,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
426,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
427,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
428,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
429,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL
430,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
431,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
