Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZB_M_R
51,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
52,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
53,NULL,NULL,Water,Water,Water,NULL,NULL,Water
54,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
62,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
64,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
65,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
66,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
67,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
68,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
69,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
71,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
73,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
74,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
75,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
79,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
80,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
81,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
84,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
85,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
86,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
87,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
88,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
89,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
90,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
91,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
92,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
93,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
94,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
95,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
96,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
97,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
98,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
99,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
101,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
104,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
106,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
107,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
108,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
110,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
113,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
119,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
121,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
122,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
124,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
127,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
129,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
132,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
133,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
134,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
135,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
136,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
137,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
140,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
141,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
142,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
145,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
146,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
148,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
149,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
150,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
151,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
152,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
153,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
154,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
155,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
156,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
157,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
158,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Built-up
159,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Water
160,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
161,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
162,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
163,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
164,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
166,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
167,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
170,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
171,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
174,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
177,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
178,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
180,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
181,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
185,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
187,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
188,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
189,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
190,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
191,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
192,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
193,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
194,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
195,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
196,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
197,NULL,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
199,NULL,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
200,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
201,NULL,Water,Water,NULL,Water,NULL,NULL,Water
202,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
203,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
204,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
205,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
206,NULL,Water,Water,Water,Water,NULL,NULL,Water
207,NULL,Water,Water,Water,Water,NULL,NULL,Forest
208,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
210,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
211,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
212,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
213,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
214,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
215,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
217,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
218,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
220,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
223,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
224,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
225,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
227,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
229,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
230,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
231,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
232,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
233,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
234,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
235,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
236,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
237,NULL,Forest,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
238,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
240,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
241,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Water
242,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
243,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
244,NULL,Forest,Water,Water,Water,NULL,NULL,Water
245,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
246,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
249,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
250,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
251,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
252,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
253,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
254,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
255,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
256,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
257,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
258,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
259,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
260,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
262,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
264,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
265,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
266,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
267,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
268,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
269,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
271,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
272,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
273,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
274,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
275,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
276,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
277,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
278,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
279,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
280,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
281,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
282,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
283,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
284,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
285,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
286,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
287,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
288,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
289,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
290,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
291,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
292,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
293,Grassland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
294,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
295,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
296,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
297,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
298,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
299,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
300,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
301,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
302,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
303,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
304,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
305,Grassland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,Grassland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
307,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
308,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
309,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
310,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
311,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
312,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
313,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
314,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
315,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
316,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
317,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
318,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
319,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
320,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
321,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
322,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
323,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
324,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
325,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
326,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
327,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
328,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
329,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
330,Grassland,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
331,Grassland,Cropland,Water,Water,Water,NULL,NULL,Grassland
332,Grassland,Cropland,Water,Water,Water,NULL,NULL,Water
333,Grassland,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
334,Grassland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
335,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
336,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
337,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
338,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
339,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
340,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
341,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
342,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
343,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
344,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
345,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
346,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
347,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
348,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
