Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MLD_M_R
97,NULL,Forest,Wetland,NULL,Wetland,Wetland,Grassland,NULL
98,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
99,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
100,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
101,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
102,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
103,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
104,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
105,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
106,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
107,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
108,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
109,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
110,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
111,Grassland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
112,Grassland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
113,Grassland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
114,Grassland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
115,Grassland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
116,Wetland,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
117,Wetland,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
118,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Wetland
119,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
120,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
121,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
122,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
123,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
124,Wetland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
125,Wetland,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
126,Wetland,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
127,Wetland,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
128,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
129,Wetland,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
130,Wetland,NULL,Grassland,Water,Non_Wetland,Water,Water,Wetland
131,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
132,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
133,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
134,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
135,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
136,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
137,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
138,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
139,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Water
140,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
141,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
142,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
143,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
144,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Water
145,Wetland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
146,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
147,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
148,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Grassland
149,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Wetland
150,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
151,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
152,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
153,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
154,Wetland,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Wetland
155,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Water
156,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
157,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Wetland
158,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Water
159,Wetland,NULL,Bareland,NULL,Non_Wetland,Water,Water,Forest
160,Wetland,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
161,Wetland,NULL,Water,NULL,Water,Water,Water,Grassland
162,Wetland,NULL,Water,NULL,Water,Water,Water,Wetland
163,Wetland,NULL,Water,NULL,Water,Water,Water,Water
164,Wetland,NULL,Water,Non_Water,Water,Water,Water,Grassland
165,Wetland,NULL,Water,Non_Water,Water,Water,Water,Wetland
166,Wetland,NULL,Water,Non_Water,Water,Water,Water,Water
167,Wetland,NULL,Water,Water,Water,Water,Water,Grassland
168,Wetland,NULL,Water,Water,Water,Water,Water,Wetland
169,Wetland,NULL,Water,Water,Water,Water,Water,Water
170,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Wetland
171,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
172,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
173,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
174,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
175,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
176,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
177,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
178,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
179,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
180,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
181,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
182,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
183,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
184,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
185,Wetland,NULL,Forest,Water,Non_Wetland,Water,Water,Wetland
186,Wetland,NULL,Forest,Water,Non_Wetland,Water,Water,Water
187,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Water,Grassland
188,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Water,Water
189,Wetland,Wetland,NULL,NULL,Non_Wetland,Water,Water,Forest
190,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
191,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Forest
192,Wetland,Wetland,NULL,Water,Non_Wetland,Water,Water,Grassland
193,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
194,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
195,Wetland,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
196,Wetland,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Grassland
197,Wetland,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Wetland
198,Wetland,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Water
199,Wetland,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Forest
200,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
201,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
202,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
203,Wetland,Wetland,Grassland,Water,Non_Wetland,Water,Water,Grassland
204,Wetland,Wetland,Grassland,Water,Non_Wetland,Water,Water,Wetland
205,Wetland,Wetland,Grassland,Water,Non_Wetland,Water,Water,Water
206,Wetland,Wetland,Grassland,Water,Non_Wetland,Water,Water,Forest
207,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
208,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
209,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
210,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
211,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
212,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Wetland
213,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Water
214,Wetland,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
215,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
216,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
217,Wetland,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
218,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Grassland
219,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Wetland
220,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
221,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
222,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
223,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
224,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
225,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
226,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
227,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
228,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
229,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
230,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
231,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
232,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
233,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
234,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
235,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
236,Wetland,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
237,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Grassland
238,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Wetland
239,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Water
240,Wetland,Wetland,Bareland,NULL,Non_Wetland,Water,Water,Forest
241,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
242,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Wetland
243,Wetland,Wetland,Bareland,Non_Water,Non_Wetland,Water,Water,Water
244,Wetland,Wetland,Bareland,Water,Non_Wetland,Water,Water,Wetland
245,Wetland,Wetland,Built-up,NULL,Non_Wetland,Water,Water,Water
246,Wetland,Wetland,Water,NULL,Water,Water,Water,Grassland
247,Wetland,Wetland,Water,NULL,Water,Water,Water,Wetland
248,Wetland,Wetland,Water,NULL,Water,Water,Water,Water
249,Wetland,Wetland,Water,NULL,Water,Water,Water,Forest
250,Wetland,Wetland,Water,Non_Water,Water,Wetland,Wetland,Wetland
251,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Grassland
252,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Wetland
253,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
254,Wetland,Wetland,Water,Water,Water,Water,Wetland,Grassland
255,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
256,Wetland,Wetland,Water,Water,Water,Water,Water,Wetland
257,Wetland,Wetland,Water,Water,Water,Water,Water,Water
258,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
259,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
260,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
261,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Wetland
262,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
263,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
264,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
265,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Grassland
266,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Wetland
267,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
268,Wetland,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
269,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
270,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
271,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
272,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
273,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Water
274,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
275,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Water,Grassland
276,Wetland,Wetland,Forest,Water,Non_Wetland,Water,Water,Wetland
277,Wetland,Water,Grassland,NULL,Non_Wetland,Water,Water,Wetland
278,Wetland,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
279,Wetland,Water,Grassland,Water,Non_Wetland,Water,Water,Wetland
280,Wetland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
281,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Wetland
282,Wetland,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
283,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Grassland
284,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Wetland
285,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
286,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Forest
287,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
288,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Wetland
289,Wetland,Water,Wetland,Water,Wetland,Water,Water,Grassland
290,Wetland,Water,Wetland,Water,Wetland,Water,Water,Wetland
291,Wetland,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
292,Wetland,Water,Bareland,NULL,Non_Wetland,Water,Water,Grassland
293,Wetland,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
294,Wetland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
295,Wetland,Water,Bareland,Water,Non_Wetland,Water,Water,Wetland
296,Wetland,Water,Water,NULL,Water,Water,Wetland,Grassland
297,Wetland,Water,Water,NULL,Water,Water,Water,Water
298,Wetland,Water,Water,Non_Water,Water,Water,Water,Water
299,Wetland,Water,Water,Water,Water,Water,Water,Grassland
300,Wetland,Water,Water,Water,Water,Water,Water,Wetland
301,Wetland,Water,Water,Water,Water,Water,Water,Water
302,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
303,Wetland,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
304,Wetland,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
305,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
306,Wetland,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
307,Wetland,Forest,Wetland,NULL,Wetland,Water,Water,Grassland
308,Wetland,Forest,Wetland,NULL,Wetland,Water,Water,Wetland
309,Wetland,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
310,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
311,Bareland,Wetland,Water,Water,Water,Wetland,Water,Water
312,Bareland,Wetland,Water,Water,Water,Water,Water,Water
313,Bareland,Bareland,Water,Water,Water,Water,Water,Wetland
314,Bareland,Bareland,Water,Water,Water,Water,Water,Water
315,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
316,Bareland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
317,Bareland,Water,Water,NULL,Water,Wetland,Water,Forest
318,Bareland,Water,Water,Water,Water,Water,Water,Wetland
319,Bareland,Water,Water,Water,Water,Water,Water,Water
320,Water,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
321,Water,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
322,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
323,Water,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
324,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
325,Water,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
326,Water,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
327,Water,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
328,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
329,Water,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
330,Water,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
331,Water,NULL,Wetland,NULL,Wetland,Water,Water,Forest
332,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
333,Water,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
334,Water,NULL,Water,NULL,Water,Water,Water,Water
335,Water,NULL,Water,Water,Water,Water,Water,Wetland
336,Water,NULL,Water,Water,Water,Water,Water,Water
337,Water,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
338,Water,Wetland,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
339,Water,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
340,Water,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Water
341,Water,Wetland,NULL,NULL,Non_Wetland,Water,Wetland,Forest
342,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,Water
343,Water,Wetland,NULL,NULL,Non_Wetland,Water,Water,Forest
344,Water,Wetland,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
345,Water,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Water
346,Water,Wetland,NULL,Non_Water,Non_Wetland,Water,Water,Forest
347,Water,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Water
348,Water,Wetland,NULL,Water,Non_Wetland,Water,Wetland,Forest
349,Water,Wetland,NULL,Water,Non_Wetland,Water,Water,Water
350,Water,Wetland,NULL,Water,Non_Wetland,Water,Water,Forest
351,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
352,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Forest
353,Water,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
354,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,Water
355,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
356,Water,Wetland,Grassland,NULL,Non_Wetland,Water,Water,Grassland
