Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNF_M_R
271,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
272,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Built-up
273,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
274,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
275,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
276,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Wetland
277,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Bareland
278,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Wetland
279,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Wetland
280,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
281,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Wetland
282,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Wetland
283,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Wetland
284,NULL,NULL,Built-up,Water,Non_Wetland,Water,Water,Wetland
285,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Wetland
286,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
287,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Wetland
288,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Forest
289,NULL,NULL,Water,NULL,Water,Wetland,Wetland,NULL
290,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
291,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
292,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
293,NULL,NULL,Water,NULL,Water,Wetland,Water,NULL
294,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
295,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
296,NULL,NULL,Water,NULL,Water,Wetland,Water,Water
297,NULL,NULL,Water,NULL,Water,Wetland,Water,Forest
298,NULL,NULL,Water,NULL,Water,Wetland,Forest,Wetland
299,NULL,NULL,Water,NULL,Water,Water,Grassland,Grassland
300,NULL,NULL,Water,NULL,Water,Water,Grassland,Wetland
301,NULL,NULL,Water,NULL,Water,Water,Grassland,Forest
302,NULL,NULL,Water,NULL,Water,Water,Wetland,NULL
303,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
304,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
305,NULL,NULL,Water,NULL,Water,Water,Wetland,Water
306,NULL,NULL,Water,NULL,Water,Water,Wetland,Forest
307,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
308,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
309,NULL,NULL,Water,NULL,Water,Water,Water,Water
310,NULL,NULL,Water,NULL,Water,Water,Water,Forest
311,NULL,NULL,Water,NULL,Water,Water,Forest,Grassland
312,NULL,NULL,Water,NULL,Water,Water,Forest,Wetland
313,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,NULL
314,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
315,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
316,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
317,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
318,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
319,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Forest
320,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Grassland
321,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
322,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Water
323,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Forest
324,NULL,NULL,Water,Non_Water,Water,Water,Water,Grassland
325,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
326,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
327,NULL,NULL,Water,Non_Water,Water,Water,Water,Forest
328,NULL,NULL,Water,Water,Water,Grassland,Wetland,Wetland
329,NULL,NULL,Water,Water,Water,Wetland,Grassland,Grassland
330,NULL,NULL,Water,Water,Water,Wetland,Grassland,Wetland
331,NULL,NULL,Water,Water,Water,Wetland,Grassland,Forest
332,NULL,NULL,Water,Water,Water,Wetland,Wetland,NULL
333,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
334,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
335,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
336,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
337,NULL,NULL,Water,Water,Water,Wetland,Water,NULL
338,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
339,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
340,NULL,NULL,Water,Water,Water,Wetland,Water,Bareland
341,NULL,NULL,Water,Water,Water,Wetland,Water,Water
342,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
343,NULL,NULL,Water,Water,Water,Wetland,Forest,Grassland
344,NULL,NULL,Water,Water,Water,Water,Grassland,Grassland
345,NULL,NULL,Water,Water,Water,Water,Grassland,Wetland
346,NULL,NULL,Water,Water,Water,Water,Grassland,Forest
347,NULL,NULL,Water,Water,Water,Water,Wetland,NULL
348,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
