Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEP_M_R
45,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
46,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Water
47,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
51,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
52,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
53,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
54,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
55,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
56,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
58,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
59,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
60,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
61,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
62,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Built-up
63,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
64,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
65,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
66,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
67,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
68,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
70,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Water
72,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
73,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
74,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
75,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
76,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
77,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
78,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
79,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
80,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
82,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
83,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
84,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
85,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
86,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Water
87,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
88,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
89,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
90,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
91,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
92,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
93,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
94,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
95,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
96,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
97,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
98,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
99,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
100,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
101,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
102,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Grassland
103,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
104,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
105,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
107,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
108,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
109,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
110,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
111,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
112,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
113,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
114,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
115,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Bareland
118,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
119,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
120,NULL,NULL,Water,NULL,Water,Bareland,Forest,Grassland
121,NULL,NULL,Water,Water,Water,Water,Water,Water
122,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
123,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
124,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
125,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
126,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
127,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
128,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
129,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
130,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
131,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
132,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
133,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
135,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
136,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
137,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
138,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
139,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
140,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
141,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
142,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
143,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
144,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
146,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
148,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
149,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
150,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
153,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
154,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
155,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
156,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
157,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
158,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
160,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,Grassland
161,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
162,NULL,Bareland,Wetland,Water,Wetland,Water,Grassland,Grassland
163,NULL,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
164,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
165,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
166,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
167,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
168,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
169,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
170,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
171,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Water,Forest
172,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
173,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
174,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
175,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Forest,Forest
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
177,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
178,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
179,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
180,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
181,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
182,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
183,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
184,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
185,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
186,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
187,NULL,Built-up,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
188,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
190,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
191,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
192,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
193,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
194,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
195,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
196,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
197,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
198,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
199,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
200,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
201,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
202,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
203,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
204,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
205,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
206,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
207,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
208,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
209,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
210,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
211,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
212,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
213,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
214,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
215,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
216,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland,Water,Water
217,NULL,Built-up,Cropland,Water,Non_Wetland,Water,Wetland,Water
218,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Wetland,Forest
219,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Forest,Forest
220,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
221,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
222,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Forest
223,NULL,Built-up,Wetland,NULL,Wetland,Water,Water,Grassland
224,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Water,Forest
225,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Water,Forest
226,NULL,Built-up,Wetland,Water,Wetland,Wetland,Wetland,Forest
227,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Grassland
228,NULL,Built-up,Wetland,Water,Wetland,Bareland,Water,Grassland
229,NULL,Built-up,Wetland,Water,Wetland,Bareland,Water,Water
230,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Grassland
231,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland,Wetland,Forest
232,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
234,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
235,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
236,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
237,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
238,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
239,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
240,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
241,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
242,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
243,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
244,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
246,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
247,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
248,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
249,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
250,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
251,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
252,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
253,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
254,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
255,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
256,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
257,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
258,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
259,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
260,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Wetland,Bareland
261,NULL,Built-up,Water,NULL,Water,Grassland,Grassland,Forest
262,NULL,Built-up,Water,NULL,Water,Grassland,Bareland,Grassland
263,NULL,Built-up,Water,NULL,Water,Grassland,Water,Grassland
264,NULL,Built-up,Water,NULL,Water,Bareland,Grassland,Forest
265,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Grassland
266,NULL,Built-up,Water,NULL,Water,Built-up,Grassland,Grassland
267,NULL,Built-up,Water,NULL,Water,Built-up,Grassland,Built-up
268,NULL,Built-up,Water,NULL,Water,Built-up,Bareland,Grassland
269,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Forest
270,NULL,Built-up,Water,NULL,Water,Water,Water,Grassland
271,NULL,Built-up,Water,Water,Water,Grassland,Wetland,Grassland
272,NULL,Built-up,Water,Water,Water,Water,Wetland,Grassland
273,NULL,Built-up,Water,Water,Water,Water,Water,Water
274,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
276,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
277,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
278,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
279,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
280,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
281,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
282,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
283,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
284,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
285,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
286,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
287,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
288,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
289,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
290,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
291,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
292,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Bareland
293,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
294,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
295,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
296,NULL,Water,NULL,Water,Non_Wetland,Bareland,Water,Water
297,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
298,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
299,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
300,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
301,NULL,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
302,NULL,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
303,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
304,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
305,NULL,Water,Cropland,Water,Non_Wetland,Wetland,Water,Grassland
306,NULL,Water,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
307,NULL,Water,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
308,NULL,Water,Cropland,Water,Non_Wetland,Bareland,Water,Water
309,NULL,Water,Cropland,Water,Non_Wetland,Water,Water,Grassland
310,NULL,Water,Cropland,Water,Non_Wetland,Water,Water,Forest
311,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
312,NULL,Water,Wetland,NULL,Wetland,NULL,Water,Forest
313,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
314,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
315,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
316,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Water
317,NULL,Water,Wetland,NULL,Wetland,Water,Grassland,Grassland
318,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
319,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
320,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
321,NULL,Water,Wetland,NULL,Wetland,Water,Water,Grassland
322,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
323,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
324,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
325,NULL,Water,Wetland,Water,Wetland,Water,Grassland,Grassland
326,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Forest
327,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
328,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
329,NULL,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
330,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
331,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
332,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
333,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
334,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
335,NULL,Water,Built-up,Water,Non_Wetland,Bareland,Water,Water
336,NULL,Water,Water,NULL,Water,Bareland,Forest,Grassland
