Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KVT_M_R
2106,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
2107,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
2108,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2109,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
2110,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2111,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2112,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2113,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2114,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2115,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2116,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2117,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
2118,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2119,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2120,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2121,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2122,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
2123,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
2124,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2125,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2126,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2127,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
2128,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2129,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2130,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2131,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2132,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2133,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2134,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
2135,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2136,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2137,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
2138,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
2139,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
2140,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
2141,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
2142,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2143,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
2144,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
2145,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
2146,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
2147,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2148,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
2149,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Wetland
2150,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
2151,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
2152,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
2153,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
2154,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2155,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
2156,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
2157,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2158,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
2159,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
2160,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2161,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2162,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
2163,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2164,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
2165,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
2166,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2167,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
2168,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
2169,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
2170,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
2171,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
2172,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
2173,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
2174,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
2175,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
2176,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
2177,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2178,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
2179,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
2180,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
2181,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
2182,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Wetland
2183,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
2184,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
2185,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
2186,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
2187,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
2188,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2189,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
2190,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
2191,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
2192,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
2193,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2194,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
2195,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
2196,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
2197,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2198,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
2199,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2200,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
2201,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,NULL
2202,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
2203,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
2204,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
2205,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2206,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2207,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
2208,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
2209,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
2210,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
2211,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
2212,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
2213,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Wetland
2214,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
2215,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
2216,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
2217,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Wetland
2218,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
2219,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
2220,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Wetland
2221,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
2222,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
2223,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
2224,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
2225,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
2226,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
2227,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
2228,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
2229,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
2230,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
2231,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
2232,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
2233,Grassland,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
2234,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2235,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
2236,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
2237,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
2238,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2239,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Wetland
2240,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
2241,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
2242,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2243,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
2244,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
2245,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
2246,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
2247,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Wetland
2248,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
2249,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Wetland
2250,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
2251,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2252,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2253,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2254,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2255,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2256,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2257,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
2258,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2259,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
2260,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
2261,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2262,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2263,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
2264,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2265,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
2266,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2267,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2268,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2269,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2270,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2271,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
2272,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
2273,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
2274,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
2275,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
2276,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
2277,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Cropland
2278,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2279,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Wetland
2280,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
2281,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
2282,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
2283,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
2284,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2285,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
2286,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
2287,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2288,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2289,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
2290,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
2291,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Wetland
2292,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
2293,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
2294,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
2295,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
2296,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
2297,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Wetland
2298,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
2299,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
2300,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
2301,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
2302,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
2303,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
2304,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
2305,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
2306,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
2307,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
2308,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2309,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
2310,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
2311,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
2312,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2313,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
2314,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
2315,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
2316,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
2317,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
2318,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
2319,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
2320,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
2321,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Water
2322,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
2323,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2324,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2325,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,NULL,Wetland
2326,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
2327,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Wetland
2328,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
2329,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
2330,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
2331,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Wetland
2332,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
2333,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Wetland
2334,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
2335,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,NULL,Wetland
2336,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
2337,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Wetland
2338,Grassland,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Forest
2339,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
2340,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2341,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
2342,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
2343,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
2344,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2345,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Wetland
2346,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
2347,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
2348,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
2349,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
2350,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
2351,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
2352,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
2353,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Wetland
2354,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
2355,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Wetland
2356,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
2357,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
2358,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
2359,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2360,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2361,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2362,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2363,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2364,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2365,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
2366,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Wetland
2367,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
2368,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2369,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
2370,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
2371,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
2372,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2373,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2374,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
2375,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2376,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
2377,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2378,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2379,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2380,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2381,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2382,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
2383,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2384,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2385,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
2386,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
2387,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
2388,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Wetland
2389,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
2390,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
2391,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
2392,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Wetland
2393,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
2394,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
2395,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
2396,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Wetland
2397,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
2398,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2399,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2400,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Wetland
2401,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
2402,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
2403,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
2404,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
2405,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
2406,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2407,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
2408,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Bareland
2409,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Water
2410,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
2411,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2412,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2413,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
2414,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2415,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Wetland
2416,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
