Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEN_M_R
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
19,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
20,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
21,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
22,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
36,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
42,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
43,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
44,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
45,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
48,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
50,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
51,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
52,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
53,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
54,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
55,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
56,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
57,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
58,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
59,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
60,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
61,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
62,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
63,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
64,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
65,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
66,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
71,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
75,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
76,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Forest
77,NULL,NULL,Cropland,Water,Non_Wetland,Water,Wetland,Grassland
78,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
79,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
80,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
82,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
83,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
84,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
85,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
86,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
87,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
88,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
90,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
91,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
92,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
93,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
94,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
96,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
97,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
98,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
99,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
100,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
101,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
102,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
104,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
105,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
106,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
107,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
108,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
109,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
110,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
111,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
112,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
113,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
114,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
115,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
116,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
117,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
120,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
121,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
122,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
123,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
124,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
125,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
126,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
127,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
129,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
130,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
132,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
133,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
134,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Grassland,Grassland
135,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
136,NULL,NULL,Water,NULL,Water,Bareland,Forest,Grassland
137,NULL,NULL,Water,Water,Water,Water,Wetland,Water
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
140,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
141,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
142,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
143,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
144,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
145,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
146,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
147,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
148,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
150,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
153,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
154,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
155,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
159,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
161,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
162,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
164,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
165,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
166,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
167,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
168,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
169,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
170,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
171,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
172,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
173,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
174,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
175,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
176,NULL,Cropland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
177,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
178,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
179,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
180,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
181,NULL,Cropland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
182,NULL,Cropland,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
183,NULL,Cropland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
184,NULL,Cropland,Wetland,Water,Wetland,Grassland,Water,Grassland
185,NULL,Cropland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
186,NULL,Cropland,Wetland,Water,Wetland,Wetland,Water,Grassland
187,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
188,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
189,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
190,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
191,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
192,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
193,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
195,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
196,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
197,NULL,Cropland,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
198,NULL,Cropland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
199,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,Grassland
200,NULL,Bareland,Wetland,Water,Wetland,Built-up,Water,Water
201,NULL,Bareland,Wetland,Water,Wetland,Water,Wetland,Grassland
202,NULL,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
203,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
204,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
205,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
206,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
207,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
209,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
211,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
212,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
213,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
214,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
215,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
216,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
217,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
218,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
219,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Forest,Forest
220,NULL,Built-up,NULL,Water,Non_Wetland,Built-up,Built-up,Forest
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
223,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
224,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
225,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
226,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
227,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
228,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
229,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
230,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
231,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
232,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
233,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
234,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
235,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up,Built-up,Grassland
236,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up,Built-up,Built-up
237,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
238,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
239,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
240,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
241,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
242,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
243,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
244,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
245,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
246,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
247,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
248,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
249,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
250,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
251,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
252,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
253,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
254,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
255,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
256,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
257,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
258,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
259,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
260,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
261,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
262,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Water
263,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
264,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
265,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
266,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
267,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
268,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
269,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up,Built-up,Grassland
270,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up,Built-up,Built-up
271,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up,Built-up,Water
272,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up,Built-up,Forest
273,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up,Water,Water
274,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up,Water,Forest
275,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
276,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
277,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Forest
278,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Built-up,Forest
279,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Forest,Forest
280,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Built-up,Forest
281,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Forest
282,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
283,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Water
284,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Grassland,Forest
285,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,Forest
286,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Grassland
287,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Forest
288,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up,Built-up,Grassland
289,NULL,Built-up,Wetland,Water,Wetland,Built-up,Built-up,Grassland
290,NULL,Built-up,Wetland,Water,Wetland,Built-up,Built-up,Water
291,NULL,Built-up,Wetland,Water,Wetland,Built-up,Water,Water
292,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
293,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Grassland,Forest
294,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,Forest
295,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Forest
296,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
298,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
299,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
300,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
301,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
302,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
303,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
304,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
305,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
306,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
307,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
308,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
309,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
310,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
311,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
312,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
313,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
314,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
315,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
316,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
317,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
318,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
319,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
320,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Bareland
321,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
322,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
323,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Forest
324,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
325,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Bareland
326,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
327,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
