Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBG_M_R
70,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
76,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
77,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
78,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
79,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
80,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Water
81,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
82,NULL,Wetland,Wetland,NULL,Wetland,Water,Forest,Forest
83,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Bareland
84,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
85,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
86,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
87,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Forest
88,NULL,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
89,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
90,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
91,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
92,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
93,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
94,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
95,NULL,Water,Water,NULL,Water,Water,Water,Water
96,NULL,Water,Water,Non_Water,Water,Water,Water,Water
97,NULL,Water,Water,Water,Water,Water,Wetland,Water
98,NULL,Water,Water,Water,Water,Water,Water,Water
99,NULL,Water,Water,Water,Water,Water,Water,Forest
100,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
101,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
102,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
103,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
104,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
105,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
106,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
107,NULL,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
108,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Forest
109,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
110,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
112,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
113,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
114,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
116,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
117,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
118,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
119,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
120,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
121,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
122,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
123,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
124,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
125,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
126,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
127,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
128,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
129,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
130,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
131,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
132,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
133,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
134,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
135,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
136,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,NULL
137,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
138,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
139,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
140,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
141,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
142,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
143,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
144,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
145,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
146,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
147,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
148,Grassland,Forest,Water,NULL,Water,Water,Wetland,Forest
149,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
150,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
151,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
152,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
153,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
154,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
155,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
156,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
157,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
158,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
159,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
160,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
161,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
162,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
163,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
164,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
165,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
166,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Shrubland,Grassland
167,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
168,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
169,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
170,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
171,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
172,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
173,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
174,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
175,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
176,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
177,Wetland,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
178,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
179,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
180,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
181,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
182,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
183,Wetland,NULL,Water,Non_Water,Water,Water,Water,Bareland
184,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
185,Wetland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
186,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
187,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
188,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
189,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
190,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Bareland
191,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
192,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
193,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
194,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
195,Wetland,Wetland,Water,NULL,Water,Water,Water,Bareland
196,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
197,Wetland,Wetland,Water,Water,Water,Water,Water,Bareland
198,Wetland,Wetland,Water,Water,Water,Water,Water,Water
199,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
200,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
201,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
202,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
203,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
204,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
205,Wetland,Water,Water,Non_Water,Water,Water,Wetland,Forest
206,Wetland,Water,Water,Water,Water,Water,Water,Water
207,Wetland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
208,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
209,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
210,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
211,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
212,Bareland,Water,Water,NULL,Water,Water,Wetland,Forest
213,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
214,Bareland,Water,Water,Water,Water,Water,Wetland,Water
215,Bareland,Water,Water,Water,Water,Water,Water,Water
216,Bareland,Water,Water,Water,Water,Water,Water,Forest
217,Bareland,Water,Water,Water,Water,Water,Forest,Water
218,Bareland,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
219,Bareland,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
220,Bareland,Forest,Water,Non_Water,Water,NULL,Forest,Forest
221,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
222,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
223,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
224,Bareland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
225,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
226,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
227,Water,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
228,Water,NULL,Wetland,NULL,Wetland,Water,Water,Forest
229,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
230,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
231,Water,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
232,Water,NULL,Wetland,Water,Wetland,Water,Water,Bareland
233,Water,NULL,Water,Non_Water,Water,Water,Water,Forest
234,Water,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
235,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
236,Water,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Water
237,Water,NULL,Forest,Water,Non_Wetland,NULL,Wetland,Forest
238,Water,Wetland,NULL,NULL,Non_Wetland,Water,Forest,Water
239,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
240,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Water
241,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Forest,Water
242,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Bareland
243,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
244,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
245,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
246,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Water
247,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
248,Water,Wetland,Wetland,NULL,Wetland,Forest,Wetland,Forest
249,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
250,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
251,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Water
252,Water,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
253,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
254,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Bareland
255,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
256,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
257,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
258,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Forest
259,Water,Wetland,Wetland,Water,Wetland,Water,Water,Bareland
260,Water,Wetland,Wetland,Water,Wetland,Water,Water,Water
261,Water,Wetland,Wetland,Water,Wetland,Water,Water,Forest
262,Water,Wetland,Wetland,Water,Wetland,Water,Forest,Water
263,Water,Wetland,Water,NULL,Water,Water,Wetland,Water
264,Water,Wetland,Water,NULL,Water,Water,Water,Bareland
265,Water,Wetland,Water,NULL,Water,Water,Water,Water
266,Water,Wetland,Water,NULL,Water,Water,Water,Forest
267,Water,Wetland,Water,NULL,Water,Water,Forest,Water
268,Water,Wetland,Water,Non_Water,Water,Water,Wetland,Water
269,Water,Wetland,Water,Non_Water,Water,Water,Wetland,Forest
270,Water,Wetland,Water,Non_Water,Water,Water,Water,Water
271,Water,Wetland,Water,Non_Water,Water,Water,Water,Forest
272,Water,Wetland,Water,Non_Water,Water,Water,Forest,Forest
273,Water,Wetland,Water,Water,Water,Water,Wetland,Bareland
274,Water,Wetland,Water,Water,Water,Water,Wetland,Water
275,Water,Wetland,Water,Water,Water,Water,Wetland,Forest
276,Water,Wetland,Water,Water,Water,Water,Water,Bareland
277,Water,Wetland,Water,Water,Water,Water,Water,Water
278,Water,Wetland,Water,Water,Water,Water,Water,Forest
279,Water,Wetland,Water,Water,Water,Water,Forest,Water
280,Water,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
281,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Bareland
282,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Water
283,Water,Wetland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
284,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Bareland
285,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Water
286,Water,Wetland,Forest,NULL,Non_Wetland,Water,Water,Forest
287,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Water
288,Water,Wetland,Forest,NULL,Non_Wetland,Water,Forest,Forest
289,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
290,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
291,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Water
292,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Forest
293,Water,Wetland,Forest,Water,Non_Wetland,NULL,Water,Water
294,Water,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Water
295,Water,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Forest
296,Water,Wetland,Forest,Water,Non_Wetland,Water,Water,Water
297,Water,Wetland,Forest,Water,Non_Wetland,Water,Forest,Water
298,Water,Wetland,Forest,Water,Non_Wetland,Forest,Wetland,Water
299,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
300,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
301,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Bareland
302,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
303,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
304,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
305,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
306,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
307,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
308,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
309,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
310,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
311,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
312,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
313,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
314,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
315,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
316,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
317,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
318,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
319,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
320,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
321,Water,Water,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
322,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Water
323,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
324,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
325,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
326,Water,Water,Shrubland,Water,Non_Wetland,NULL,Wetland,Forest
327,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
328,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Forest
329,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
330,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
331,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
332,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
333,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
334,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Water
335,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
336,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
337,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
338,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
339,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
340,Water,Water,Wetland,NULL,Wetland,Water,Water,Grassland
341,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
342,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
343,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
344,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
345,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
346,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
347,Water,Water,Wetland,NULL,Wetland,Forest,Water,Water
348,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
349,Water,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
350,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
351,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
352,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
353,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
354,Water,Water,Wetland,Non_Water,Wetland,NULL,Forest,Forest
355,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
356,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
357,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
358,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
359,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
