Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NUH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NUH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NUH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NUH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NUH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NUH_M_R
119,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
120,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
121,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
122,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
123,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
124,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
125,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
126,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
127,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
128,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
129,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
130,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
131,NULL,Bareland,Water,NULL,Water,Grassland
132,NULL,Bareland,Water,NULL,Water,Bareland
133,NULL,Bareland,Water,NULL,Water,Forest
134,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
135,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
136,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
137,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
138,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
139,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
140,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
141,NULL,Built-up,NULL,Non_Water,Non_Wetland,Forest
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
149,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
150,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
151,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
152,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
153,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
154,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
155,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
156,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
157,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
158,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
159,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
160,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
161,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
162,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
163,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
164,NULL,Built-up,Wetland,NULL,Wetland,Grassland
165,NULL,Built-up,Wetland,NULL,Wetland,Forest
166,NULL,Built-up,Wetland,Water,Wetland,Grassland
167,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
168,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
169,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
170,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
171,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
172,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
173,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
174,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
175,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
176,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
177,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
178,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
179,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
180,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
181,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
182,NULL,Built-up,Water,NULL,Water,Grassland
183,NULL,Built-up,Water,NULL,Water,Bareland
184,NULL,Built-up,Water,NULL,Water,Built-up
185,NULL,Built-up,Water,NULL,Water,Water
186,NULL,Built-up,Water,NULL,Water,Forest
187,NULL,Built-up,Water,Water,Water,Grassland
188,NULL,Built-up,Water,Water,Water,Forest
189,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
190,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
191,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
192,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
193,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
194,NULL,Built-up,Forest,NULL,Non_Wetland,Water
195,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
196,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
197,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
198,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
199,NULL,Water,NULL,NULL,Non_Wetland,Grassland
200,NULL,Water,NULL,NULL,Non_Wetland,Bareland
201,NULL,Water,NULL,NULL,Non_Wetland,Water
202,NULL,Water,NULL,NULL,Non_Wetland,Forest
203,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland
204,NULL,Water,NULL,Water,Non_Wetland,Water
205,NULL,Water,NULL,Water,Non_Wetland,Forest
206,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
207,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
208,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
209,NULL,Water,Shrubland,NULL,Non_Wetland,Water
210,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
211,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
212,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
213,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
214,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
215,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
216,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
217,NULL,Water,Grassland,NULL,Non_Wetland,Built-up
218,NULL,Water,Grassland,NULL,Non_Wetland,Water
219,NULL,Water,Grassland,NULL,Non_Wetland,Forest
220,NULL,Water,Grassland,Non_Water,Non_Wetland,Grassland
221,NULL,Water,Grassland,Non_Water,Non_Wetland,Forest
222,NULL,Water,Grassland,Water,Non_Wetland,Forest
223,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
224,NULL,Water,Cropland,NULL,Non_Wetland,Water
225,NULL,Water,Cropland,NULL,Non_Wetland,Forest
226,NULL,Water,Wetland,NULL,Wetland,Grassland
227,NULL,Water,Wetland,Non_Water,Wetland,Forest
228,NULL,Water,Wetland,Water,Wetland,Grassland
229,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
230,NULL,Water,Bareland,Non_Water,Non_Wetland,Forest
231,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
232,NULL,Water,Built-up,NULL,Non_Wetland,Bareland
233,NULL,Water,Built-up,Non_Water,Non_Wetland,Grassland
234,NULL,Water,Built-up,Non_Water,Non_Wetland,Forest
235,NULL,Water,Water,NULL,Water,Grassland
236,NULL,Water,Water,NULL,Water,Bareland
237,NULL,Water,Water,NULL,Water,Water
238,NULL,Water,Water,NULL,Water,Forest
239,NULL,Water,Water,Non_Water,Water,Grassland
240,NULL,Water,Water,Non_Water,Water,Bareland
241,NULL,Water,Water,Water,Water,Water
242,NULL,Water,Water,Water,Water,Forest
243,NULL,Water,Forest,NULL,Non_Wetland,Grassland
244,NULL,Water,Forest,NULL,Non_Wetland,Bareland
245,NULL,Water,Forest,NULL,Non_Wetland,Built-up
246,NULL,Water,Forest,NULL,Non_Wetland,Water
247,NULL,Water,Forest,NULL,Non_Wetland,Forest
248,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
249,NULL,Water,Forest,Non_Water,Non_Wetland,Forest
250,NULL,Water,Forest,Water,Non_Wetland,Grassland
251,NULL,Water,Forest,Water,Non_Wetland,Forest
252,NULL,Forest,NULL,NULL,Non_Wetland,NULL
253,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
254,NULL,Forest,NULL,NULL,Non_Wetland,Bareland
255,NULL,Forest,NULL,NULL,Non_Wetland,Forest
256,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
257,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
258,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
259,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
260,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
261,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
262,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
263,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
264,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
265,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
266,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
267,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
268,NULL,Forest,Grassland,NULL,Non_Wetland,Built-up
269,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
270,NULL,Forest,Grassland,Non_Water,Non_Wetland,Forest
271,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
272,NULL,Forest,Cropland,NULL,Non_Wetland,Built-up
273,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
274,NULL,Forest,Wetland,NULL,Wetland,Forest
275,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
276,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
277,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
278,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
279,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
280,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
281,NULL,Forest,Water,NULL,Water,Grassland
282,NULL,Forest,Forest,NULL,Non_Wetland,NULL
283,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
284,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
285,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
286,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
287,NULL,Forest,Forest,NULL,Non_Wetland,Forest
288,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
289,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
290,NULL,Forest,Forest,Water,Non_Wetland,Forest
291,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
292,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland
293,Grassland,NULL,NULL,NULL,Non_Wetland,Built-up
294,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
295,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland
296,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest
297,Grassland,NULL,NULL,Water,Non_Wetland,Grassland
298,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
299,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
300,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
301,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
302,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
303,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
304,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
305,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
306,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
307,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
308,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up
309,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water
310,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest
311,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland
312,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest
313,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL
314,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
315,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland
316,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland
317,Grassland,NULL,Grassland,NULL,Non_Wetland,Built-up
318,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
319,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
320,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Built-up
321,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Forest
322,Grassland,NULL,Grassland,Water,Non_Wetland,Grassland
323,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
324,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland
325,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland
326,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up
327,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest
328,Grassland,NULL,Wetland,NULL,Wetland,Grassland
329,Grassland,NULL,Wetland,NULL,Wetland,Forest
330,Grassland,NULL,Wetland,Water,Wetland,Grassland
331,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL
332,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland
333,Grassland,NULL,Bareland,NULL,Non_Wetland,Bareland
334,Grassland,NULL,Bareland,NULL,Non_Wetland,Built-up
335,Grassland,NULL,Bareland,NULL,Non_Wetland,Forest
336,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland
337,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
338,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland
339,Grassland,NULL,Built-up,NULL,Non_Wetland,Built-up
340,Grassland,NULL,Built-up,NULL,Non_Wetland,Forest
341,Grassland,NULL,Built-up,Non_Water,Non_Wetland,Grassland
342,Grassland,NULL,Water,NULL,Water,Grassland
343,Grassland,NULL,Water,NULL,Water,Bareland
344,Grassland,NULL,Water,NULL,Water,Forest
345,Grassland,NULL,Water,Non_Water,Water,Grassland
346,Grassland,NULL,Water,Non_Water,Water,Forest
347,Grassland,NULL,Water,Water,Water,Grassland
348,Grassland,NULL,Water,Water,Water,Forest
349,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
350,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
351,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland
352,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland
353,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland
354,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
355,Grassland,NULL,Forest,NULL,Non_Wetland,Water
356,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
357,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
358,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
359,Grassland,NULL,Forest,Water,Non_Wetland,Grassland
360,Grassland,NULL,Forest,Water,Non_Wetland,Bareland
361,Grassland,NULL,Forest,Water,Non_Wetland,Forest
362,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland
363,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland
364,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL
365,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
366,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland
367,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland
368,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up
369,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest
370,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
371,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland
372,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL
373,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland
374,Grassland,Cropland,Grassland,NULL,Non_Wetland,Cropland
375,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland
376,Grassland,Cropland,Grassland,NULL,Non_Wetland,Built-up
377,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest
378,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
379,Grassland,Cropland,Grassland,Water,Non_Wetland,Grassland
380,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland
381,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland
382,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up
383,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest
384,Grassland,Cropland,Wetland,NULL,Wetland,Grassland
385,Grassland,Cropland,Wetland,NULL,Wetland,Forest
386,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland
387,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland
388,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland
389,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up
390,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest
391,Grassland,Cropland,Water,NULL,Water,Grassland
392,Grassland,Cropland,Water,NULL,Water,Water
393,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL
394,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland
395,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland
396,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland
397,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up
398,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
399,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland
400,Grassland,Cropland,Forest,Water,Non_Wetland,Forest
401,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
402,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Forest
403,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
404,Grassland,Bareland,Shrubland,NULL,Non_Wetland,Grassland
405,Grassland,Bareland,Shrubland,Water,Non_Wetland,Bareland
406,Grassland,Bareland,Grassland,Water,Non_Wetland,Bareland
407,Grassland,Bareland,Water,NULL,Water,Bareland
408,Grassland,Bareland,Water,Non_Water,Water,Bareland
409,Grassland,Bareland,Forest,NULL,Non_Wetland,Grassland
410,Grassland,Bareland,Forest,NULL,Non_Wetland,Forest
411,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland
412,Grassland,Built-up,NULL,NULL,Non_Wetland,Cropland
413,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest
414,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL
415,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
416,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Cropland
417,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland
418,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
419,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
420,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
421,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
422,Grassland,Built-up,Grassland,NULL,Non_Wetland,Cropland
423,Grassland,Built-up,Grassland,NULL,Non_Wetland,Built-up
424,Grassland,Built-up,Grassland,NULL,Non_Wetland,Forest
425,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
426,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland
