Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHH_M_R
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Water
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
48,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
50,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
52,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
53,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
54,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL
56,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
57,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
58,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland
59,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
60,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
61,NULL,NULL,Wetland,Water,Wetland,NULL,NULL
62,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
63,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
64,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
65,NULL,NULL,Wetland,Water,Wetland,NULL,Water
66,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland
70,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
71,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
74,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Forest
75,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL
76,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
77,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
78,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
80,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
81,NULL,NULL,Water,NULL,Water,NULL,Grassland
82,NULL,NULL,Water,NULL,Water,NULL,Wetland
83,NULL,NULL,Water,NULL,Water,NULL,Forest
84,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
85,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
86,NULL,NULL,Water,Non_Water,Water,NULL,Forest
87,NULL,NULL,Water,Water,Water,NULL,NULL
88,NULL,NULL,Water,Water,Water,NULL,Grassland
89,NULL,NULL,Water,Water,Water,NULL,Wetland
90,NULL,NULL,Water,Water,Water,NULL,Water
91,NULL,NULL,Water,Water,Water,NULL,Forest
92,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
95,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
99,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL
100,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
101,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
102,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Bareland
103,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
104,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
105,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL
106,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
107,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
108,NULL,NULL,Forest,Water,Non_Wetland,NULL,Bareland
109,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
110,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
111,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
112,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL
113,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
114,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland
115,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
116,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
117,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
118,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
119,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
120,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
121,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
122,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
123,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
124,NULL,Bareland,Wetland,NULL,Wetland,NULL,Forest
125,NULL,Bareland,Wetland,Water,Wetland,NULL,Forest
126,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL
127,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
128,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
129,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
130,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
131,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
132,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
133,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
134,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
135,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL
136,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
137,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Built-up
138,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Forest
139,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
140,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
141,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
142,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
143,NULL,Water,NULL,NULL,Non_Wetland,NULL,Grassland
144,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
145,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water
146,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
147,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water
148,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL
149,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
150,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Bareland
151,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Forest
152,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,Forest
153,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL
154,NULL,Water,Grassland,Water,Non_Wetland,NULL,Grassland
155,NULL,Water,Grassland,Water,Non_Wetland,NULL,Water
156,NULL,Water,Grassland,Water,Non_Wetland,NULL,Forest
157,NULL,Water,Wetland,NULL,Wetland,NULL,NULL
158,NULL,Water,Wetland,NULL,Wetland,NULL,Grassland
159,NULL,Water,Wetland,NULL,Wetland,NULL,Bareland
160,NULL,Water,Wetland,NULL,Wetland,NULL,Water
161,NULL,Water,Wetland,NULL,Wetland,NULL,Forest
162,NULL,Water,Wetland,Non_Water,Wetland,NULL,Grassland
163,NULL,Water,Wetland,Non_Water,Wetland,NULL,Water
164,NULL,Water,Wetland,Non_Water,Wetland,NULL,Forest
165,NULL,Water,Wetland,Water,Wetland,NULL,NULL
166,NULL,Water,Wetland,Water,Wetland,NULL,Grassland
167,NULL,Water,Wetland,Water,Wetland,NULL,Bareland
168,NULL,Water,Wetland,Water,Wetland,NULL,Water
169,NULL,Water,Wetland,Water,Wetland,NULL,Forest
170,NULL,Water,Water,NULL,Water,NULL,Grassland
171,NULL,Water,Water,NULL,Water,NULL,Forest
172,NULL,Water,Water,Non_Water,Water,NULL,Water
173,NULL,Water,Water,Water,Water,NULL,Grassland
174,NULL,Water,Water,Water,Water,NULL,Water
175,NULL,Water,Water,Water,Water,NULL,Forest
176,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL
177,NULL,Water,Forest,NULL,Non_Wetland,NULL,Grassland
178,NULL,Water,Forest,NULL,Non_Wetland,NULL,Forest
179,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Grassland
180,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Bareland
181,NULL,Water,Forest,Water,Non_Wetland,NULL,Bareland
182,NULL,Water,Forest,Water,Non_Wetland,NULL,Water
183,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest
184,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL
185,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
186,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water
187,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
188,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
189,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Water
190,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,Forest
191,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,Forest
192,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
193,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
194,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Wetland
195,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Water
196,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
197,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,Grassland
198,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,Forest
199,NULL,Forest,Grassland,Water,Non_Wetland,NULL,Forest
200,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
201,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest
202,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL
203,NULL,Forest,Wetland,NULL,Wetland,NULL,Grassland
204,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland
205,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest
206,NULL,Forest,Wetland,Water,Wetland,NULL,Forest
207,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,Forest
208,NULL,Forest,Water,NULL,Water,NULL,Forest
209,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL
210,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
211,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland
212,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Water
213,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest
214,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest
215,NULL,Forest,Forest,Water,Non_Wetland,NULL,Wetland
216,NULL,Forest,Forest,Water,Non_Wetland,NULL,Forest
217,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
218,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
219,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Grassland
220,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
221,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
222,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
223,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
224,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
225,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
226,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
227,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
228,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
229,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
230,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL
231,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
232,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
233,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
234,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
235,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
236,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,Forest
237,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
238,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
239,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
240,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
241,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
242,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Forest
243,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL
244,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland
245,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland
246,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest
247,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
248,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
249,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Forest
250,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland
251,Grassland,NULL,Wetland,Water,Wetland,NULL,Wetland
252,Grassland,NULL,Wetland,Water,Wetland,NULL,Forest
253,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
254,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
255,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
256,Grassland,NULL,Water,NULL,Water,NULL,Grassland
257,Grassland,NULL,Water,NULL,Water,NULL,Wetland
258,Grassland,NULL,Water,Non_Water,Water,NULL,Wetland
259,Grassland,NULL,Water,Water,Water,NULL,Grassland
260,Grassland,NULL,Water,Water,Water,NULL,Wetland
261,Grassland,NULL,Water,Water,Water,NULL,Forest
262,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
263,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
264,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
265,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
266,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
267,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
268,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
269,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
270,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Wetland
271,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Forest
272,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
273,Grassland,Wetland,Wetland,NULL,Wetland,NULL,Forest
274,Grassland,Wetland,Water,NULL,Water,NULL,Forest
275,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
276,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL
277,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
278,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,Forest
279,Grassland,Water,Wetland,NULL,Wetland,NULL,Grassland
280,Grassland,Water,Wetland,NULL,Wetland,NULL,Forest
281,Grassland,Water,Water,NULL,Water,NULL,Forest
282,Grassland,Water,Water,Water,Water,NULL,Forest
283,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL
284,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Grassland
285,Grassland,Water,Forest,NULL,Non_Wetland,NULL,Forest
286,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
287,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest
288,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL
289,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
290,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
291,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
292,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL
293,Grassland,Forest,Wetland,NULL,Wetland,NULL,Forest
294,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL
295,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
296,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
297,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
298,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
299,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
300,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
301,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
302,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
303,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
304,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
305,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
306,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
307,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
308,Cropland,NULL,Wetland,NULL,Wetland,NULL,Grassland
309,Cropland,NULL,Wetland,NULL,Wetland,NULL,Wetland
310,Cropland,NULL,Wetland,NULL,Wetland,NULL,Forest
311,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
312,Cropland,NULL,Wetland,Water,Wetland,NULL,Grassland
313,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
314,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
315,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
316,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
317,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
318,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland
319,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland
320,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,Forest
321,Cropland,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland
322,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland
323,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest
324,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
325,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
326,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
327,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
328,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
329,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
330,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
331,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
332,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
333,Wetland,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
334,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
335,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
336,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
337,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Water
338,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
339,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
340,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
341,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
342,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
343,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
344,Wetland,NULL,Grassland,Water,Non_Wetland,NULL,Water
345,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
346,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
347,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
348,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL
349,Wetland,NULL,Wetland,NULL,Wetland,NULL,Grassland
350,Wetland,NULL,Wetland,NULL,Wetland,NULL,Wetland
351,Wetland,NULL,Wetland,NULL,Wetland,NULL,Water
352,Wetland,NULL,Wetland,NULL,Wetland,NULL,Forest
353,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
354,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
355,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Water
356,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,Forest
357,Wetland,NULL,Wetland,Water,Wetland,NULL,Grassland
358,Wetland,NULL,Wetland,Water,Wetland,NULL,Wetland
359,Wetland,NULL,Wetland,Water,Wetland,NULL,Water
360,Wetland,NULL,Wetland,Water,Wetland,NULL,Forest
361,Wetland,NULL,Water,NULL,Water,NULL,Grassland
362,Wetland,NULL,Water,NULL,Water,NULL,Wetland
363,Wetland,NULL,Water,NULL,Water,NULL,Forest
364,Wetland,NULL,Water,Non_Water,Water,NULL,Wetland
365,Wetland,NULL,Water,Water,Water,NULL,Grassland
366,Wetland,NULL,Water,Water,Water,NULL,Wetland
367,Wetland,NULL,Water,Water,Water,NULL,Water
368,Wetland,NULL,Water,Water,Water,NULL,Forest
369,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL
370,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
371,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
372,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Forest
373,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
374,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
375,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
376,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Grassland
377,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Wetland
378,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Forest
379,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland
380,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
381,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
382,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL,Wetland
383,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Grassland
384,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Wetland
385,Wetland,Wetland,Wetland,NULL,Wetland,NULL,Forest
386,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
