Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NNG_M_R
65,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
66,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
68,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Forest
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
85,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
88,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
89,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
92,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
94,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
95,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
96,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
97,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
99,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
100,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
102,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
103,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
104,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
105,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
106,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
107,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
108,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
109,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
110,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
111,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
112,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
113,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
114,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
115,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
116,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
117,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
118,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Built-up
119,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
120,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
121,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Forest
122,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
123,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
124,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
125,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
126,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
128,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
129,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
130,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
131,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
132,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Built-up
133,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
134,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
135,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
136,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
137,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
138,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
139,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
140,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
141,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
142,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
143,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
144,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
145,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
146,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
147,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
148,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
149,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
150,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
151,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
152,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
153,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
154,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
155,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
156,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
157,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
158,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
159,NULL,NULL,Wetland,NULL,Wetland,Forest,Shrubland,Forest
160,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,NULL
161,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
162,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
163,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
164,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
165,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
166,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
167,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
168,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
169,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
170,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
171,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
172,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
173,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
174,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
175,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
176,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
177,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
178,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
179,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
180,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
181,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Grassland
182,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
183,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
184,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
185,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,NULL
186,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
187,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
188,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
189,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
190,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
191,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
192,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
193,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
194,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
195,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
196,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
197,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
198,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
199,NULL,NULL,Wetland,Water,Wetland,Water,Water,Bareland
200,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
201,NULL,NULL,Wetland,Water,Wetland,Water,Water,Forest
202,NULL,NULL,Wetland,Water,Wetland,Water,Forest,Wetland
203,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
204,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
205,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Bareland
206,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
207,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
208,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
209,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
210,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
211,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
212,NULL,NULL,Water,NULL,Water,Grassland,Wetland,Wetland
213,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Grassland
214,NULL,NULL,Water,NULL,Water,Wetland,Grassland,Wetland
215,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
216,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
217,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
218,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
219,NULL,NULL,Water,NULL,Water,Wetland,Water,Wetland
220,NULL,NULL,Water,NULL,Water,Wetland,Water,Forest
221,NULL,NULL,Water,NULL,Water,Water,Grassland,Forest
222,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
223,NULL,NULL,Water,NULL,Water,Water,Wetland,Wetland
224,NULL,NULL,Water,NULL,Water,Water,Wetland,Water
225,NULL,NULL,Water,NULL,Water,Water,Wetland,Forest
226,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
227,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
228,NULL,NULL,Water,NULL,Water,Water,Water,Water
229,NULL,NULL,Water,NULL,Water,Water,Water,Forest
230,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
231,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Wetland
232,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
233,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
234,NULL,NULL,Water,Non_Water,Water,Water,Wetland,Wetland
235,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
236,NULL,NULL,Water,Non_Water,Water,Water,Water,Forest
237,NULL,NULL,Water,Water,Water,Grassland,Wetland,Wetland
238,NULL,NULL,Water,Water,Water,Grassland,Water,Water
239,NULL,NULL,Water,Water,Water,Wetland,Grassland,Wetland
240,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
241,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
242,NULL,NULL,Water,Water,Water,Wetland,Wetland,Forest
243,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
244,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
245,NULL,NULL,Water,Water,Water,Wetland,Forest,Wetland
246,NULL,NULL,Water,Water,Water,Water,Grassland,Wetland
247,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
248,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
249,NULL,NULL,Water,Water,Water,Water,Wetland,Water
250,NULL,NULL,Water,Water,Water,Water,Wetland,Forest
251,NULL,NULL,Water,Water,Water,Water,Water,Grassland
252,NULL,NULL,Water,Water,Water,Water,Water,Wetland
253,NULL,NULL,Water,Water,Water,Water,Water,Bareland
254,NULL,NULL,Water,Water,Water,Water,Water,Water
255,NULL,NULL,Water,Water,Water,Water,Water,Forest
256,NULL,NULL,Water,Water,Water,Water,Forest,Wetland
257,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
258,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
259,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
260,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
261,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
262,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
263,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
264,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
265,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
266,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Wetland
267,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
268,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
269,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
270,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
271,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
272,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
273,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
276,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
277,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
279,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
280,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
281,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
282,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
283,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
284,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
285,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
286,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
287,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
288,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
289,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
290,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
291,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
292,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
293,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
294,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
295,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
296,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
297,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
298,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
299,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Wetland
300,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
301,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
302,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
303,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
304,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
305,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
306,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
307,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
308,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
309,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
310,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
311,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
312,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
313,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
314,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Wetland
315,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,Forest
316,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Grassland,Grassland
317,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
318,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
319,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
320,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
321,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
322,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
323,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
324,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
325,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
326,NULL,Cropland,Wetland,NULL,Wetland,Wetland,Forest,Grassland
327,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
328,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
329,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
330,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
331,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
332,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
333,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
334,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
335,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
336,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
337,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
338,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
339,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
340,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,NULL
341,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
342,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Grassland,Forest
343,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,NULL
