Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUQ_M_R
2961,NULL,Cropland,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
2962,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland,NULL,NULL
2963,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
2964,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland,NULL,Forest
2965,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
2966,NULL,Cropland,Wetland,Non_Water,Wetland,Water,NULL,Grassland
2967,NULL,Cropland,Wetland,Non_Water,Wetland,Water,NULL,Wetland
2968,NULL,Cropland,Wetland,Non_Water,Wetland,Water,Shrubland,NULL
2969,NULL,Cropland,Wetland,Non_Water,Wetland,Water,Shrubland,Grassland
2970,NULL,Cropland,Wetland,Non_Water,Wetland,Water,Water,NULL
2971,NULL,Cropland,Wetland,Non_Water,Wetland,Forest,NULL,Forest
2972,NULL,Cropland,Wetland,Non_Water,Wetland,Forest,Shrubland,Wetland
2973,NULL,Cropland,Wetland,Non_Water,Wetland,Forest,Water,Wetland
2974,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,NULL
2975,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
2976,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
2977,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
2978,NULL,Cropland,Wetland,Water,Wetland,NULL,Shrubland,Bareland
2979,NULL,Cropland,Wetland,Water,Wetland,NULL,Water,Grassland
2980,NULL,Cropland,Wetland,Water,Wetland,NULL,Water,Wetland
2981,NULL,Cropland,Wetland,Water,Wetland,NULL,Water,Bareland
2982,NULL,Cropland,Wetland,Water,Wetland,Shrubland,NULL,Grassland
2983,NULL,Cropland,Wetland,Water,Wetland,Shrubland,NULL,Wetland
2984,NULL,Cropland,Wetland,Water,Wetland,Shrubland,Shrubland,Grassland
2985,NULL,Cropland,Wetland,Water,Wetland,Cropland,NULL,Forest
2986,NULL,Cropland,Wetland,Water,Wetland,Bareland,Built-up,Grassland
2987,NULL,Cropland,Wetland,Water,Wetland,Bareland,Built-up,Bareland
2988,NULL,Cropland,Wetland,Water,Wetland,Bareland,Water,Grassland
2989,NULL,Cropland,Wetland,Water,Wetland,Water,NULL,Grassland
2990,NULL,Cropland,Wetland,Water,Wetland,Water,NULL,Wetland
2991,NULL,Cropland,Wetland,Water,Wetland,Water,NULL,Water
2992,NULL,Cropland,Wetland,Water,Wetland,Water,Water,Water
2993,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
2994,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
2995,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
2996,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
2997,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,NULL
2998,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,NULL,Grassland
2999,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
3000,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Forest,NULL,Forest
3001,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
3002,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
3003,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
3004,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
3005,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
3006,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
3007,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland,Cropland
3008,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland,Bareland
3009,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Bareland,NULL
3010,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Bareland,Grassland
3011,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Built-up,NULL
3012,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Built-up,Grassland
3013,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Built-up,Forest
3014,NULL,Cropland,Bareland,NULL,Non_Wetland,Shrubland,NULL,NULL
3015,NULL,Cropland,Bareland,NULL,Non_Wetland,Shrubland,NULL,Cropland
3016,NULL,Cropland,Bareland,NULL,Non_Wetland,Shrubland,NULL,Wetland
3017,NULL,Cropland,Bareland,NULL,Non_Wetland,Shrubland,NULL,Forest
3018,NULL,Cropland,Bareland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
3019,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,NULL
3020,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
3021,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Cropland
3022,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Bareland
3023,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Forest
3024,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
3025,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3026,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3027,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3028,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3029,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland,Built-up,Cropland
3030,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,NULL
3031,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Grassland
3032,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Cropland
3033,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Bareland
3034,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland,Shrubland,NULL
3035,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
3036,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Cropland
3037,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
3038,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3039,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3040,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
3041,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
3042,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3043,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
3044,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
3045,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
3046,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
3047,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
3048,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,Water,Bareland
3049,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland,NULL,Grassland
3050,NULL,Cropland,Bareland,Water,Non_Wetland,Grassland,NULL,Bareland
3051,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
3052,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
3053,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
3054,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
3055,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
3056,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
3057,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
3058,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,NULL
3059,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Grassland
3060,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Bareland
3061,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
3062,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,NULL
3063,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
3064,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
3065,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Wetland
3066,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
3067,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
3068,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,NULL
3069,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
3070,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Cropland
3071,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
3072,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
3073,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,NULL
3074,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
3075,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
3076,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Wetland
3077,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Bareland
3078,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
3079,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
3080,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Water,NULL
3081,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
3082,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Water,Bareland
3083,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,NULL
3084,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Grassland
3085,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Cropland
3086,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Bareland
3087,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Built-up
3088,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,NULL,Forest
3089,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3090,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3091,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3092,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
3093,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,NULL
3094,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3095,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Bareland,NULL
3096,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Grassland
3097,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Bareland,Built-up
3098,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Built-up,NULL
3099,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3100,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Built-up,Built-up
3101,NULL,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Water,NULL
3102,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,NULL
3103,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
3104,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
3105,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
3106,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
3107,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
3108,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,NULL
3109,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3110,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3111,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
3112,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
3113,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3114,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
3115,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
3116,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,NULL
3117,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
3118,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
3119,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
3120,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,NULL
3121,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
3122,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
3123,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
3124,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
3125,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
3126,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,NULL
3127,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
3128,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
3129,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Bareland
3130,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Built-up
3131,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Forest
3132,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Built-up,NULL
3133,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Built-up,Grassland
3134,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Built-up,Cropland
3135,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Built-up,Built-up
3136,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland,Built-up,Forest
3137,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,NULL
3138,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
3139,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
3140,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
3141,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
3142,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
3143,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,NULL
3144,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
3145,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Bareland
3146,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
3147,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,NULL
3148,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
3149,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Cropland
3150,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Wetland
3151,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
3152,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
3153,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,NULL
3154,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
3155,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Cropland
3156,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
3157,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
3158,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,NULL
3159,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
3160,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
3161,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
3162,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
3163,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
3164,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
3165,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,NULL
3166,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
3167,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
3168,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Bareland
3169,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
3170,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
3171,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
3172,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,NULL
3173,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
3174,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,NULL
3175,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
3176,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
3177,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
3178,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
3179,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
3180,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest,NULL,Forest
3181,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
3182,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
3183,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
3184,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
3185,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Bareland,Bareland
3186,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Built-up,Grassland
3187,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Water,Bareland
3188,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Shrubland,NULL,NULL
3189,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3190,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Bareland
3191,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3192,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
3193,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,NULL,NULL
3194,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
3195,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
3196,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Bareland,Water,Bareland
3197,NULL,Cropland,Built-up,Non_Water,Non_Wetland,Built-up,NULL,Grassland
3198,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,NULL
3199,NULL,Cropland,Built-up,Water,Non_Wetland,Grassland,Built-up,Grassland
3200,NULL,Cropland,Built-up,Water,Non_Wetland,Bareland,NULL,Bareland
3201,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
3202,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
3203,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
3204,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
3205,NULL,Cropland,Water,NULL,Water,NULL,Grassland,Grassland
3206,NULL,Cropland,Water,NULL,Water,Shrubland,NULL,NULL
3207,NULL,Cropland,Water,NULL,Water,Grassland,NULL,Grassland
3208,NULL,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
3209,NULL,Cropland,Water,NULL,Water,Bareland,Built-up,Bareland
3210,NULL,Cropland,Water,NULL,Water,Bareland,Water,Bareland
3211,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
3212,NULL,Cropland,Water,Non_Water,Water,Shrubland,NULL,NULL
3213,NULL,Cropland,Water,Non_Water,Water,Shrubland,NULL,Cropland
3214,NULL,Cropland,Water,Non_Water,Water,Shrubland,NULL,Wetland
3215,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
3216,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
3217,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
3218,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
3219,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
3220,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
3221,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
3222,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
3223,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
3224,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
3225,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
3226,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
3227,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
3228,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Wetland
3229,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Bareland
3230,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
3231,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
3232,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
3233,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
3234,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
3235,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Bareland,Bareland
3236,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Built-up,NULL
3237,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
3238,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Built-up,Cropland
3239,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
3240,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Water,NULL
3241,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
3242,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
3243,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
3244,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Wetland
3245,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
3246,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3247,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3248,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
3249,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
3250,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3251,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
3252,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3253,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Bareland,NULL
3254,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Built-up,NULL
3255,NULL,Cropland,Forest,NULL,Non_Wetland,Shrubland,Built-up,Grassland
3256,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
3257,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
3258,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
3259,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
3260,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
3261,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3262,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
3263,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
3264,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
3265,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
3266,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
3267,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
3268,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
3269,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Built-up,Cropland
3270,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Water,Forest
3271,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,NULL
3272,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
3273,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
3274,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Wetland
3275,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
3276,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
3277,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
3278,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
3279,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
3280,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
3281,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
3282,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
