Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZB_M_R
70,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
73,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
74,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
76,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
77,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
78,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
79,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
80,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
83,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
84,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
85,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
86,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
87,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
88,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Water
89,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
90,NULL,Wetland,Wetland,NULL,Wetland,Water,Forest,Forest
91,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Bareland
92,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
93,NULL,Wetland,Water,Water,Water,Water,Water,Bareland
94,NULL,Wetland,Water,Water,Water,Water,Water,Water
95,NULL,Wetland,Water,Water,Water,Water,Water,Forest
96,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
97,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
98,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
99,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
100,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
101,NULL,Water,Wetland,NULL,Wetland,Water,Forest,Forest
102,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
103,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
104,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
105,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
106,NULL,Water,Water,NULL,Water,Water,Water,Water
107,NULL,Water,Water,Non_Water,Water,Water,Wetland,Forest
108,NULL,Water,Water,Non_Water,Water,Water,Water,Water
109,NULL,Water,Water,Water,Water,Water,Wetland,Water
110,NULL,Water,Water,Water,Water,Water,Water,Water
111,NULL,Water,Water,Water,Water,Water,Water,Forest
112,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
113,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
114,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
115,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
116,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
117,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
118,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
119,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
120,NULL,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
121,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Water
122,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
123,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
124,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
125,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
126,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
127,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
128,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
129,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
130,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
131,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
132,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
133,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
134,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
135,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
136,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
137,NULL,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
138,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
139,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Grassland
140,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
141,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
142,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
143,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
144,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
145,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
146,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
147,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
148,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
149,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
150,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
151,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
152,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
153,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
154,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
155,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
156,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
157,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
158,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
159,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
160,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
161,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
162,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
163,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
164,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
165,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
166,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
167,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
168,Grassland,Forest,Water,NULL,Water,Water,Wetland,Forest
169,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
170,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
171,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
172,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
173,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
174,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
175,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
176,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
177,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
178,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
179,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
180,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
181,Cropland,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
182,Cropland,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
183,Cropland,NULL,Wetland,NULL,Wetland,Water,Water,Forest
184,Cropland,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
185,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
186,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
187,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
188,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
189,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
190,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
191,Cropland,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
192,Cropland,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
193,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,Water
194,Cropland,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
195,Cropland,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
196,Cropland,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
197,Cropland,Water,Wetland,NULL,Wetland,NULL,Water,Forest
198,Cropland,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
199,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
200,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
201,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
202,Cropland,Water,Wetland,NULL,Wetland,Water,Water,Water
203,Cropland,Water,Wetland,NULL,Wetland,Water,Water,Forest
204,Cropland,Water,Wetland,NULL,Wetland,Water,Forest,Water
205,Cropland,Water,Wetland,NULL,Wetland,Water,Forest,Forest
206,Cropland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
207,Cropland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
208,Cropland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
209,Cropland,Water,Wetland,Water,Wetland,Water,Water,Forest
210,Cropland,Water,Water,NULL,Water,NULL,Water,Forest
211,Cropland,Water,Water,NULL,Water,Wetland,Wetland,Forest
212,Cropland,Water,Water,NULL,Water,Water,Wetland,Forest
213,Cropland,Water,Water,NULL,Water,Water,Water,Forest
214,Cropland,Water,Water,NULL,Water,Water,Forest,Forest
215,Cropland,Water,Water,Non_Water,Water,Water,Wetland,Water
216,Cropland,Water,Water,Non_Water,Water,Water,Water,Water
217,Cropland,Water,Water,Non_Water,Water,Water,Water,Forest
218,Cropland,Water,Water,Water,Water,Water,Wetland,Bareland
219,Cropland,Water,Water,Water,Water,Water,Wetland,Water
220,Cropland,Water,Water,Water,Water,Water,Wetland,Forest
221,Cropland,Water,Water,Water,Water,Water,Water,Water
222,Cropland,Water,Water,Water,Water,Water,Water,Forest
223,Cropland,Water,Water,Water,Water,Water,Forest,Water
224,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
225,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
226,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
227,Cropland,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
228,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Bareland
229,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
230,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
231,Cropland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
232,Cropland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
233,Cropland,Water,Forest,NULL,Non_Wetland,Water,Forest,Bareland
234,Cropland,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
235,Cropland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
236,Cropland,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
237,Cropland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
238,Cropland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
239,Cropland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
240,Cropland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
241,Cropland,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
242,Cropland,Water,Forest,Water,Non_Wetland,Water,Water,Water
243,Cropland,Water,Forest,Water,Non_Wetland,Water,Water,Forest
244,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
245,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
246,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
247,Cropland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
248,Cropland,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
249,Cropland,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
250,Cropland,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Forest
251,Cropland,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
252,Cropland,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
253,Cropland,Forest,Wetland,NULL,Wetland,Water,Water,Forest
254,Cropland,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
255,Cropland,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
256,Cropland,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
257,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
258,Cropland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
259,Cropland,Forest,Wetland,Non_Water,Wetland,Water,Water,Forest
260,Cropland,Forest,Water,Water,Water,Water,Wetland,Forest
261,Cropland,Forest,Water,Water,Water,Forest,Forest,Forest
262,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Water
263,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
264,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
265,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Water
266,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
267,Cropland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
268,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
269,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Water
270,Cropland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
271,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
272,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
273,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
274,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
275,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
276,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
277,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
278,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
279,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,Forest,Forest
280,Cropland,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
281,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
282,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
283,Cropland,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Forest
284,Cropland,Forest,Forest,Water,Non_Wetland,NULL,Water,Forest
285,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
286,Wetland,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
287,Wetland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
288,Wetland,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
289,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
290,Wetland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
291,Wetland,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
292,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
293,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Bareland
294,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
295,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
296,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
297,Wetland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
298,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
299,Wetland,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
300,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
301,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Forest
302,Wetland,Wetland,Water,NULL,Water,Water,Water,Water
303,Wetland,Wetland,Water,Non_Water,Water,Water,Water,Water
304,Wetland,Wetland,Water,Water,Water,Water,Water,Bareland
305,Wetland,Wetland,Water,Water,Water,Water,Water,Water
306,Wetland,Wetland,Water,Water,Water,Water,Water,Forest
307,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water,Water,Water
308,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
309,Wetland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
310,Wetland,Water,Wetland,NULL,Wetland,Water,Water,Water
311,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
312,Wetland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
313,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
314,Wetland,Water,Water,Water,Water,Water,Water,Water
315,Wetland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
316,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
317,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
318,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
319,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,Water
320,Bareland,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
321,Bareland,Bareland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
322,Bareland,Bareland,Forest,NULL,Non_Wetland,Water,Forest,Forest
323,Bareland,Water,Wetland,NULL,Wetland,Bareland,Water,Water
324,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
325,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
326,Bareland,Water,Water,NULL,Water,Water,Wetland,Forest
327,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
328,Bareland,Water,Water,Water,Water,Water,Water,Water
329,Bareland,Water,Water,Water,Water,Water,Water,Forest
330,Bareland,Water,Water,Water,Water,Water,Forest,Water
331,Bareland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
332,Bareland,Forest,Water,Non_Water,Water,NULL,Forest,Forest
333,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
334,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
335,Bareland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
336,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
337,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
338,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
339,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
340,Water,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
341,Water,NULL,Wetland,NULL,Wetland,Water,Water,Forest
342,Water,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
343,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
344,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
345,Water,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
346,Water,NULL,Water,Non_Water,Water,Water,Water,Water
347,Water,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
348,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
349,Water,Wetland,NULL,NULL,Non_Wetland,Water,Forest,Forest
350,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Water,Forest
351,Water,Wetland,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
352,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Water
353,Water,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
354,Water,Wetland,Wetland,NULL,Wetland,Water,Water,Bareland
