Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NBD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NBD_M_R
64,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
66,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
67,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
68,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
69,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
70,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
71,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
73,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
74,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
75,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
76,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
78,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
79,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
80,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
82,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
87,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
88,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
89,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
91,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
92,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
93,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
94,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
98,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
99,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
102,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
103,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
104,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
105,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
106,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
107,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
112,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
114,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
118,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
119,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
120,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Bareland
121,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
122,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Water
124,NULL,Forest,Water,Water,Water,NULL,NULL,Water
125,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
127,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
128,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
129,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
130,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
131,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
132,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
133,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
134,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
135,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
136,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
137,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
138,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
139,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
140,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
141,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
142,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
143,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
144,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
145,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
146,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
147,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
148,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
149,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
150,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
151,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
152,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
153,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
154,Grassland,NULL,Water,NULL,Water,NULL,NULL,Wetland
155,Grassland,NULL,Water,NULL,Water,NULL,NULL,Water
156,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
157,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Water
158,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
159,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
160,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
161,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
162,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
163,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
164,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
165,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
166,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
167,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
168,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
169,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
170,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
171,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
172,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
173,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
174,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
175,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
176,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
177,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
178,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
179,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
180,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
181,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
182,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
184,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
185,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
186,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
187,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
188,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
189,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
190,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
191,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
192,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
193,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
194,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
195,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
196,Grassland,Wetland,Water,Water,Water,NULL,NULL,Forest
197,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
199,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
200,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
201,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
202,Grassland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
203,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
204,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
206,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
207,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
208,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
209,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
210,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
211,Grassland,Water,Water,NULL,Water,NULL,NULL,Forest
212,Grassland,Water,Water,Water,Water,NULL,NULL,Grassland
213,Grassland,Water,Water,Water,Water,NULL,NULL,Water
214,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
216,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
218,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
219,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
220,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
221,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
222,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
223,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
224,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
225,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
226,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
227,Grassland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
228,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
229,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
230,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
231,Grassland,Forest,Water,NULL,Water,NULL,NULL,Forest
232,Grassland,Forest,Water,Water,Water,NULL,NULL,Water
233,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
234,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
235,Grassland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
236,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
237,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
238,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
239,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
240,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
242,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
243,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
244,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
245,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
246,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
247,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
248,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
249,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
250,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
251,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
252,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
253,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
254,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
255,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
256,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
257,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
258,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
259,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
260,Cropland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
261,Cropland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,Cropland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
263,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
264,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
265,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
266,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
267,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
268,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
269,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
270,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
271,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
272,Cropland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
273,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
274,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
275,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
276,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
277,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
278,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
279,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
280,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
281,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
282,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
283,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
284,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
285,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
286,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
287,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
288,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
289,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
290,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
291,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
292,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
293,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
294,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
296,Wetland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
297,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
298,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
299,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
300,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
301,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
302,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
303,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
304,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
305,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
306,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
307,Wetland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
308,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
309,Wetland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
310,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
311,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
312,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
313,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
314,Wetland,Water,Water,Water,Water,NULL,NULL,Water
315,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
316,Wetland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
317,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
318,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Water
319,Wetland,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
320,Wetland,Forest,Water,Water,Water,NULL,NULL,Wetland
321,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
322,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
324,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
325,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
326,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
327,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
328,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
329,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
330,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
331,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
332,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
333,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
334,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
335,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
336,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
337,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
338,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Water
339,Bareland,Bareland,Water,Non_Water,Water,NULL,NULL,Water
340,Bareland,Bareland,Water,Water,Water,NULL,NULL,Bareland
341,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
342,Bareland,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
343,Bareland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
344,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
