Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRH_M_R
252,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
254,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
255,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Bareland
256,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
257,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
258,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
259,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Wetland
260,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Bareland
261,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Water
262,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
263,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
264,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
265,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
266,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
267,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
268,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
269,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
270,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
271,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Forest
272,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
274,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
276,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
277,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
279,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
290,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
293,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
294,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
296,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
298,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
303,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
305,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
306,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Bareland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
309,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
310,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
312,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Bareland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
314,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
315,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
