Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTC_M_R
340,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
341,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
342,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
343,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
344,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
345,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
346,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
347,Bareland,NULL,Water,NULL,Water,NULL,NULL,Wetland
348,Bareland,NULL,Water,NULL,Water,NULL,NULL,Water
349,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
350,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
351,Bareland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
352,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
353,Bareland,NULL,Water,Water,Water,NULL,NULL,Forest
354,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
355,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
356,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
357,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
358,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
359,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
360,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
361,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
362,Bareland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
363,Bareland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
364,Bareland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
365,Bareland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
366,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
367,Bareland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
368,Bareland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
369,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
370,Bareland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
371,Bareland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
372,Bareland,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
373,Bareland,Built-up,Water,Water,Water,NULL,NULL,Bareland
374,Bareland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
375,Bareland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
376,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
377,Bareland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
378,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
379,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
380,Bareland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
381,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
382,Bareland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
383,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
384,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
385,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
386,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
387,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
388,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
389,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
390,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
391,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
392,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
393,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
394,Water,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
395,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
396,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
397,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
398,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
399,Water,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
400,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
401,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
402,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
403,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
404,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
405,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
406,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
407,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
408,Water,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
409,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
410,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
411,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
412,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Water
413,Water,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
414,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
415,Water,NULL,Water,NULL,Water,NULL,NULL,Wetland
416,Water,NULL,Water,NULL,Water,NULL,NULL,Bareland
417,Water,NULL,Water,NULL,Water,NULL,NULL,Water
418,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
419,Water,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
420,Water,NULL,Water,Non_Water,Water,NULL,NULL,Forest
421,Water,NULL,Water,Water,Water,NULL,NULL,Grassland
422,Water,NULL,Water,Water,Water,NULL,NULL,Wetland
423,Water,NULL,Water,Water,Water,NULL,NULL,Bareland
424,Water,NULL,Water,Water,Water,NULL,NULL,Water
425,Water,NULL,Water,Water,Water,NULL,NULL,Forest
426,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
427,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
428,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
429,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
430,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
431,Water,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
432,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
433,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
434,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
435,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
436,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
437,Water,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
438,Water,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
439,Water,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
440,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
441,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
442,Water,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
443,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
444,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
445,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
446,Water,Wetland,Water,Water,Water,NULL,NULL,Wetland
447,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
448,Water,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
449,Water,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
450,Water,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
451,Water,Built-up,Water,NULL,Water,NULL,NULL,Forest
452,Water,Built-up,Water,Water,Water,NULL,NULL,Forest
453,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
454,Water,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
455,Water,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
456,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
457,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
458,Water,Water,NULL,Water,Non_Wetland,NULL,NULL,Forest
459,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
460,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
461,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
462,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
463,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
464,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
465,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
466,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
467,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
468,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
469,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
470,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
471,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
472,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
473,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
474,Water,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
475,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
476,Water,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
477,Water,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
478,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
479,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
480,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
481,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
482,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
483,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
484,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
485,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
486,Water,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
487,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
488,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
489,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
490,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
491,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
492,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
493,Water,Water,Water,NULL,Water,NULL,NULL,Water
494,Water,Water,Water,NULL,Water,NULL,NULL,Forest
495,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
496,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
497,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
498,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
499,Water,Water,Water,Water,Water,NULL,NULL,Grassland
500,Water,Water,Water,Water,Water,NULL,NULL,Wetland
501,Water,Water,Water,Water,Water,NULL,NULL,Bareland
502,Water,Water,Water,Water,Water,NULL,NULL,Water
503,Water,Water,Water,Water,Water,NULL,NULL,Forest
504,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
505,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
506,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
507,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
508,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
509,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
510,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
511,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
512,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
513,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
514,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
515,Water,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
516,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
517,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
518,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
519,Water,Forest,Water,NULL,Water,NULL,NULL,Water
520,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
521,Water,Forest,Water,Non_Water,Water,NULL,NULL,Water
522,Water,Forest,Water,Water,Water,NULL,NULL,Water
523,Water,Forest,Water,Water,Water,NULL,NULL,Forest
524,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
525,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
526,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
527,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
528,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
529,Permanent_ice_and_snow,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
530,Permanent_ice_and_snow,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
531,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
532,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
533,Forest,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
534,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
535,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
536,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
537,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
538,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
539,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
540,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
541,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
542,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
543,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
544,Forest,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
545,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
546,Forest,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
547,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
548,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
549,Forest,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
550,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
551,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
552,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
553,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
554,Forest,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
555,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
556,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
557,Forest,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
558,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
559,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
560,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
561,Forest,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
562,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
563,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
564,Forest,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
565,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
566,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
567,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
568,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
569,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
570,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
571,Forest,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
572,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
573,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
574,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
575,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
576,Forest,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
577,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
578,Forest,NULL,Water,NULL,Water,NULL,NULL,Bareland
579,Forest,NULL,Water,NULL,Water,NULL,NULL,Water
580,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
581,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
582,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
583,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
584,Forest,NULL,Water,Water,Water,NULL,NULL,Water
585,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
586,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
587,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
588,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
589,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
590,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
591,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
592,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
593,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
594,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
595,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
596,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
597,Forest,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
598,Forest,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
599,Forest,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
600,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
601,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
602,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
603,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
604,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
605,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
606,Forest,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
607,Forest,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
608,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
609,Forest,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
610,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
611,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
612,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
613,Forest,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
614,Forest,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
615,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
616,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
617,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
618,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
619,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
620,Forest,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
621,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
622,Forest,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
623,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
624,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
625,Forest,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
626,Forest,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
627,Forest,Water,NULL,Water,Non_Wetland,NULL,NULL,Bareland
628,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
629,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
630,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
631,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
632,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
633,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
634,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
635,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
636,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
637,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
638,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
639,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
640,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
641,Forest,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
642,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
643,Forest,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
644,Forest,Water,Cropland,Water,Non_Wetland,NULL,NULL,Forest
645,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
646,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
647,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
648,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
649,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
650,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
651,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
652,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
653,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
654,Forest,Water,Water,NULL,Water,NULL,NULL,Water
655,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
656,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
657,Forest,Water,Water,Non_Water,Water,NULL,NULL,Bareland
658,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
659,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
660,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
661,Forest,Water,Water,Water,Water,NULL,NULL,Water
662,Forest,Water,Water,Water,Water,NULL,NULL,Forest
663,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
664,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
665,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
666,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
667,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
668,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
669,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
670,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
671,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
672,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
673,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
674,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
675,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
676,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
677,Forest,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
678,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
679,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
680,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
681,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
682,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
683,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
684,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
685,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
686,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
687,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
688,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
689,Forest,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
690,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
691,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
692,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
693,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
694,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
695,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
696,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
697,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
698,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
699,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
700,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
701,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
702,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
