Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUB_M_R
204,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
205,NULL,Forest,Wetland,NULL,Wetland,Wetland
206,NULL,Forest,Wetland,NULL,Wetland,Forest
207,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
208,NULL,Forest,Wetland,Non_Water,Wetland,Forest
209,NULL,Forest,Wetland,Water,Wetland,Wetland
210,NULL,Forest,Wetland,Water,Wetland,Water
211,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
212,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
213,NULL,Forest,Bareland,Non_Water,Non_Wetland,Grassland
214,NULL,Forest,Water,NULL,Water,Wetland
215,NULL,Forest,Water,NULL,Water,Water
216,NULL,Forest,Water,Non_Water,Water,Water
217,NULL,Forest,Water,Water,Water,Water
218,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
219,NULL,Forest,Forest,NULL,Non_Wetland,Wetland
220,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
221,NULL,Forest,Forest,NULL,Non_Wetland,Water
222,NULL,Forest,Forest,NULL,Non_Wetland,Forest
223,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland
224,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
225,NULL,Forest,Forest,Water,Non_Wetland,Water
226,NULL,Forest,Forest,Water,Non_Wetland,Forest
227,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
228,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
229,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
230,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
231,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
232,Grassland,NULL,Shrubland,Water,Non_Wetland,Water
233,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
234,Grassland,NULL,Grassland,Water,Non_Wetland,Water
235,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
236,Grassland,NULL,Wetland,NULL,Wetland,NULL
237,Grassland,NULL,Wetland,NULL,Wetland,Grassland
238,Grassland,NULL,Wetland,NULL,Wetland,Forest
239,Grassland,NULL,Wetland,Non_Water,Wetland,NULL
240,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
241,Grassland,NULL,Wetland,Non_Water,Wetland,Forest
242,Grassland,NULL,Wetland,Water,Wetland,NULL
243,Grassland,NULL,Wetland,Water,Wetland,Grassland
244,Grassland,NULL,Wetland,Water,Wetland,Wetland
245,Grassland,NULL,Wetland,Water,Wetland,Water
246,Grassland,NULL,Water,Non_Water,Water,Grassland
247,Grassland,NULL,Water,Non_Water,Water,Water
248,Grassland,NULL,Water,Water,Water,Grassland
249,Grassland,NULL,Water,Water,Water,Water
250,Grassland,NULL,Water,Water,Water,Forest
251,Grassland,NULL,Forest,NULL,Non_Wetland,NULL
252,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
253,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up
254,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
255,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL
256,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
257,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest
258,Grassland,NULL,Forest,Water,Non_Wetland,Forest
259,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest
260,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
261,Grassland,Wetland,Shrubland,Water,Non_Wetland,Water
262,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland
263,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland
264,Grassland,Wetland,Wetland,Water,Wetland,Water
265,Grassland,Wetland,Water,Water,Water,Water
266,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland
267,Grassland,Wetland,Forest,NULL,Non_Wetland,Forest
268,Grassland,Wetland,Forest,Water,Non_Wetland,Water
269,Grassland,Bareland,Wetland,Water,Wetland,Wetland
270,Grassland,Bareland,Wetland,Water,Wetland,Water
271,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
272,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest
273,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland
274,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
275,Grassland,Built-up,Wetland,Water,Wetland,Water
276,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
277,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest
278,Grassland,Water,Shrubland,NULL,Non_Wetland,Forest
279,Grassland,Water,Shrubland,Water,Non_Wetland,Forest
280,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland
281,Grassland,Water,Wetland,Non_Water,Wetland,Grassland
282,Grassland,Water,Wetland,Water,Wetland,Water
283,Grassland,Water,Water,NULL,Water,Water
284,Grassland,Water,Water,Non_Water,Water,Water
285,Grassland,Water,Water,Water,Water,Water
286,Grassland,Water,Forest,NULL,Non_Wetland,Water
287,Grassland,Water,Forest,NULL,Non_Wetland,Forest
288,Grassland,Water,Forest,Water,Non_Wetland,Water
289,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland
290,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest
291,Grassland,Forest,Water,Water,Water,Forest
292,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland
293,Grassland,Forest,Forest,NULL,Non_Wetland,Forest
294,Grassland,Forest,Forest,Non_Water,Non_Wetland,Forest
295,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland
296,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland
297,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest
298,Cropland,NULL,Shrubland,Water,Non_Wetland,Water
299,Cropland,NULL,Shrubland,Water,Non_Wetland,Forest
300,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland
301,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest
302,Cropland,NULL,Grassland,Non_Water,Non_Wetland,Built-up
303,Cropland,NULL,Grassland,Water,Non_Wetland,Water
304,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland
305,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up
306,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest
307,Cropland,NULL,Wetland,Non_Water,Wetland,Water
308,Cropland,NULL,Wetland,Water,Wetland,Water
309,Cropland,NULL,Bareland,NULL,Non_Wetland,Forest
310,Cropland,NULL,Water,Water,Water,Water
311,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland
312,Cropland,NULL,Forest,NULL,Non_Wetland,Forest
313,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland
314,Cropland,Cropland,Forest,NULL,Non_Wetland,Grassland
315,Cropland,Cropland,Forest,NULL,Non_Wetland,Forest
316,Cropland,Wetland,NULL,NULL,Non_Wetland,Grassland
317,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
318,Cropland,Wetland,Shrubland,NULL,Non_Wetland,Forest
319,Cropland,Wetland,Wetland,Water,Wetland,Water
320,Cropland,Wetland,Water,Water,Water,Water
321,Cropland,Wetland,Forest,NULL,Non_Wetland,Forest
322,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
323,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
324,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
325,Cropland,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
326,Cropland,Built-up,Shrubland,Water,Non_Wetland,Water
327,Cropland,Built-up,Shrubland,Water,Non_Wetland,Forest
328,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
329,Cropland,Built-up,Cropland,NULL,Non_Wetland,Forest
330,Cropland,Built-up,Wetland,NULL,Wetland,Bareland
331,Cropland,Built-up,Wetland,Water,Wetland,Water
332,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
333,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
334,Cropland,Water,Wetland,Water,Wetland,Water
335,Cropland,Water,Water,Water,Water,Water
336,Cropland,Water,Forest,NULL,Non_Wetland,Forest
337,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL
338,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
339,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
340,Cropland,Forest,Shrubland,Water,Non_Wetland,Water
341,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
342,Cropland,Forest,Wetland,NULL,Wetland,Forest
343,Cropland,Forest,Wetland,Water,Wetland,Water
344,Cropland,Forest,Water,Water,Water,Water
345,Cropland,Forest,Forest,NULL,Non_Wetland,Built-up
346,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
347,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
348,Wetland,NULL,Shrubland,Water,Non_Wetland,Water
349,Wetland,NULL,Grassland,Water,Non_Wetland,Water
350,Wetland,NULL,Wetland,NULL,Wetland,Grassland
351,Wetland,NULL,Wetland,NULL,Wetland,Wetland
352,Wetland,NULL,Wetland,NULL,Wetland,Forest
353,Wetland,NULL,Wetland,Non_Water,Wetland,Water
354,Wetland,NULL,Wetland,Non_Water,Wetland,Forest
355,Wetland,NULL,Wetland,Water,Wetland,Grassland
356,Wetland,NULL,Wetland,Water,Wetland,Wetland
357,Wetland,NULL,Wetland,Water,Wetland,Water
358,Wetland,NULL,Bareland,Water,Non_Wetland,Water
359,Wetland,NULL,Water,Water,Water,Grassland
360,Wetland,NULL,Water,Water,Water,Wetland
361,Wetland,NULL,Water,Water,Water,Water
362,Wetland,NULL,Water,Water,Water,Forest
363,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
364,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
365,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
366,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest
367,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
368,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
369,Wetland,NULL,Forest,Water,Non_Wetland,Water
370,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland
371,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest
372,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Water
373,Wetland,Wetland,Wetland,NULL,Wetland,Grassland
374,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
375,Wetland,Wetland,Wetland,NULL,Wetland,Water
376,Wetland,Wetland,Wetland,NULL,Wetland,Forest
377,Wetland,Wetland,Wetland,Non_Water,Wetland,Grassland
378,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
379,Wetland,Wetland,Wetland,Non_Water,Wetland,Water
380,Wetland,Wetland,Wetland,Non_Water,Wetland,Forest
381,Wetland,Wetland,Wetland,Water,Wetland,Grassland
382,Wetland,Wetland,Wetland,Water,Wetland,Wetland
383,Wetland,Wetland,Wetland,Water,Wetland,Water
384,Wetland,Wetland,Wetland,Water,Wetland,Forest
385,Wetland,Wetland,Water,NULL,Water,Grassland
386,Wetland,Wetland,Water,NULL,Water,Wetland
387,Wetland,Wetland,Water,NULL,Water,Water
388,Wetland,Wetland,Water,NULL,Water,Forest
389,Wetland,Wetland,Water,Non_Water,Water,Grassland
390,Wetland,Wetland,Water,Non_Water,Water,Wetland
391,Wetland,Wetland,Water,Non_Water,Water,Water
392,Wetland,Wetland,Water,Non_Water,Water,Forest
393,Wetland,Wetland,Water,Water,Water,Grassland
394,Wetland,Wetland,Water,Water,Water,Wetland
395,Wetland,Wetland,Water,Water,Water,Water
396,Wetland,Wetland,Water,Water,Water,Forest
397,Wetland,Wetland,Forest,NULL,Non_Wetland,Grassland
398,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
399,Wetland,Wetland,Forest,NULL,Non_Wetland,Water
400,Wetland,Wetland,Forest,NULL,Non_Wetland,Forest
401,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Grassland
402,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
403,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Water
404,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Forest
405,Wetland,Wetland,Forest,Water,Non_Wetland,Grassland
406,Wetland,Wetland,Forest,Water,Non_Wetland,Wetland
407,Wetland,Wetland,Forest,Water,Non_Wetland,Water
408,Wetland,Wetland,Forest,Water,Non_Wetland,Forest
409,Wetland,Bareland,Wetland,Water,Wetland,Water
410,Wetland,Bareland,Water,Water,Water,Water
411,Wetland,Built-up,Wetland,Water,Wetland,Water
412,Wetland,Built-up,Water,Water,Water,Water
413,Wetland,Water,Shrubland,NULL,Non_Wetland,Forest
414,Wetland,Water,Wetland,NULL,Wetland,Wetland
415,Wetland,Water,Wetland,NULL,Wetland,Water
416,Wetland,Water,Wetland,NULL,Wetland,Forest
417,Wetland,Water,Wetland,Non_Water,Wetland,Wetland
418,Wetland,Water,Wetland,Non_Water,Wetland,Water
419,Wetland,Water,Wetland,Non_Water,Wetland,Forest
420,Wetland,Water,Wetland,Water,Wetland,Wetland
421,Wetland,Water,Wetland,Water,Wetland,Water
422,Wetland,Water,Water,NULL,Water,Water
423,Wetland,Water,Water,Non_Water,Water,Water
424,Wetland,Water,Water,Water,Water,Grassland
425,Wetland,Water,Water,Water,Water,Wetland
426,Wetland,Water,Water,Water,Water,Water
427,Wetland,Water,Water,Water,Water,Forest
428,Wetland,Water,Forest,NULL,Non_Wetland,Water
429,Wetland,Water,Forest,NULL,Non_Wetland,Forest
430,Wetland,Water,Forest,Non_Water,Non_Wetland,Water
431,Wetland,Forest,Wetland,NULL,Wetland,Wetland
432,Wetland,Forest,Wetland,NULL,Wetland,Water
433,Wetland,Forest,Wetland,NULL,Wetland,Forest
434,Wetland,Forest,Wetland,Non_Water,Wetland,Water
435,Wetland,Forest,Wetland,Non_Water,Wetland,Forest
436,Wetland,Forest,Wetland,Water,Wetland,Wetland
437,Wetland,Forest,Wetland,Water,Wetland,Water
438,Wetland,Forest,Wetland,Water,Wetland,Forest
439,Wetland,Forest,Water,NULL,Water,Wetland
440,Wetland,Forest,Water,Non_Water,Water,Water
441,Wetland,Forest,Water,Non_Water,Water,Forest
442,Wetland,Forest,Water,Water,Water,Wetland
443,Wetland,Forest,Water,Water,Water,Forest
444,Wetland,Forest,Forest,NULL,Non_Wetland,Wetland
445,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
446,Wetland,Forest,Forest,Non_Water,Non_Wetland,Wetland
447,Wetland,Forest,Forest,Non_Water,Non_Wetland,Forest
448,Wetland,Forest,Forest,Water,Non_Wetland,Wetland
449,Wetland,Forest,Forest,Water,Non_Wetland,Water
