Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFR_M_R
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
47,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
50,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
51,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
52,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
53,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
55,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
56,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
57,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
58,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
60,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
61,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
63,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
64,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
65,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
66,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
67,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
68,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
72,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
73,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
74,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
75,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
76,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
77,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
79,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
80,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
81,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
82,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
83,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
84,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
85,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
86,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
87,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
88,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
89,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
90,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
91,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
92,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
93,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
94,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
96,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
97,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
98,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
99,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
100,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
101,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
102,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
103,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
104,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
105,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
107,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
108,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
109,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
110,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
111,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
112,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
113,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
114,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
115,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
116,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
117,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
118,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
119,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
120,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
122,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
123,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
124,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
125,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
126,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
127,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
129,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
130,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
131,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Bareland
132,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Forest,Forest
133,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
134,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
135,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
136,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
137,NULL,NULL,Water,NULL,Water,Water,Water,Grassland
138,NULL,NULL,Water,NULL,Water,Water,Water,Wetland
139,NULL,NULL,Water,Non_Water,Water,Bareland,Water,Grassland
140,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
141,NULL,NULL,Water,Water,Water,Bareland,Bareland,Water
142,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
143,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
144,NULL,NULL,Water,Water,Water,Water,Wetland,Water
145,NULL,NULL,Water,Water,Water,Water,Water,Grassland
146,NULL,NULL,Water,Water,Water,Water,Water,Wetland
147,NULL,NULL,Water,Water,Water,Water,Water,Water
148,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
149,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
150,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
154,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
155,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
156,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
157,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
159,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
161,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
164,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
165,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
166,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
167,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
168,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
169,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
170,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
171,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Water
172,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
173,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
174,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Wetland
175,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
176,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
177,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
178,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
179,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
180,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
181,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
182,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Water
183,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
184,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
185,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Bareland,Water
186,NULL,Wetland,Wetland,NULL,Wetland,Water,Water,Forest
187,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Bareland,Water
188,NULL,Wetland,Wetland,Water,Wetland,Bareland,Bareland,Water
189,NULL,Wetland,Water,Water,Water,Water,Water,Water
190,NULL,Bareland,Wetland,NULL,Wetland,Water,Water,Water
191,NULL,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Bareland
192,NULL,Bareland,Wetland,Water,Wetland,Bareland,Bareland,Water
193,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
194,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland,Water,Water
195,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
196,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
197,NULL,Bareland,Water,Non_Water,Water,Water,Wetland,Water
198,NULL,Bareland,Water,Water,Water,Bareland,Bareland,Water
199,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Wetland,Forest
200,NULL,Bareland,Forest,NULL,Non_Wetland,Water,Water,Water
201,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
202,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
203,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
210,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
212,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
213,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
214,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
215,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
216,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
217,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
218,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
219,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
220,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
221,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
222,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
223,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
224,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
225,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
226,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
227,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
228,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
229,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
230,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
231,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
232,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
233,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
234,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
235,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
236,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
237,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
238,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
239,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Wetland,Forest
240,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
241,NULL,Water,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
242,NULL,Water,NULL,Water,Non_Wetland,Bareland,Bareland,Water
243,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
244,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
245,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
246,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
247,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
248,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
249,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Bareland,Water
250,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Bareland
251,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
252,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
253,NULL,Water,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
254,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
255,NULL,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
256,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
257,NULL,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
258,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Water
259,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
260,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
261,NULL,Water,Wetland,NULL,Wetland,Water,Bareland,Water
262,NULL,Water,Wetland,NULL,Wetland,Water,Bareland,Forest
263,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
264,NULL,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
265,NULL,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
266,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
267,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
268,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
269,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
270,NULL,Water,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
271,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
272,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
273,NULL,Water,Wetland,Water,Wetland,Bareland,Bareland,Water
274,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
275,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
276,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
277,NULL,Water,Wetland,Water,Wetland,Water,Bareland,Water
278,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
279,NULL,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
280,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
281,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
282,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
283,NULL,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
284,NULL,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Grassland
285,NULL,Water,Bareland,NULL,Non_Wetland,Water,Bareland,Forest
286,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
287,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
288,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Water
289,NULL,Water,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
290,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
291,NULL,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
292,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
293,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Bareland,Water
294,NULL,Water,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
295,NULL,Water,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
296,NULL,Water,Bareland,Water,Non_Wetland,Water,Bareland,Water
297,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Grassland
298,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
299,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
300,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
301,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
302,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
303,NULL,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
304,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Grassland
305,NULL,Water,Built-up,Water,Non_Wetland,Water,Water,Water
306,NULL,Water,Built-up,Water,Non_Wetland,Water,Forest,Grassland
307,NULL,Water,Water,NULL,Water,Bareland,Water,Water
308,NULL,Water,Water,NULL,Water,Water,Wetland,Water
309,NULL,Water,Water,NULL,Water,Water,Bareland,Water
310,NULL,Water,Water,NULL,Water,Water,Water,Water
311,NULL,Water,Water,NULL,Water,Water,Water,Forest
312,NULL,Water,Water,Non_Water,Water,Bareland,Bareland,Water
313,NULL,Water,Water,Non_Water,Water,Water,Wetland,Grassland
314,NULL,Water,Water,Non_Water,Water,Water,Water,Grassland
315,NULL,Water,Water,Non_Water,Water,Water,Water,Water
316,NULL,Water,Water,Water,Water,Bareland,Bareland,Water
317,NULL,Water,Water,Water,Water,Bareland,Water,Water
318,NULL,Water,Water,Water,Water,Water,Bareland,Water
319,NULL,Water,Water,Water,Water,Water,Water,Grassland
320,NULL,Water,Water,Water,Water,Water,Water,Water
321,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
322,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
323,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
324,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Forest
325,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
326,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Water
327,NULL,Water,Forest,NULL,Non_Wetland,Water,Bareland,Forest
328,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
329,NULL,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
330,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
331,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
332,NULL,Water,Forest,Water,Non_Wetland,Bareland,Bareland,Water
333,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
334,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
335,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
336,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Water,Forest
337,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
338,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
339,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
340,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
341,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Grassland
342,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
343,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
344,NULL,Forest,Wetland,Water,Wetland,Water,Water,Grassland
345,NULL,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
