Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LLD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LLD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LLD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LLD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LLD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LLD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LLD_M_R
4800,Grassland,NULL,Water,NULL,Water,Shrubland,Grassland,Wetland
4801,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
4802,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Cropland
4803,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Water
4804,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Grassland
4805,Grassland,NULL,Water,NULL,Water,Grassland,Wetland,Forest
4806,Grassland,NULL,Water,NULL,Water,Grassland,Forest,Grassland
4807,Grassland,NULL,Water,NULL,Water,Cropland,NULL,Cropland
4808,Grassland,NULL,Water,NULL,Water,Wetland,NULL,Wetland
4809,Grassland,NULL,Water,NULL,Water,Wetland,Shrubland,NULL
4810,Grassland,NULL,Water,NULL,Water,Wetland,Shrubland,Wetland
4811,Grassland,NULL,Water,NULL,Water,Wetland,Grassland,Wetland
4812,Grassland,NULL,Water,NULL,Water,Wetland,Water,Wetland
4813,Grassland,NULL,Water,NULL,Water,Wetland,Forest,Wetland
4814,Grassland,NULL,Water,NULL,Water,Bareland,Shrubland,Wetland
4815,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
4816,Grassland,NULL,Water,NULL,Water,Water,Shrubland,Grassland
4817,Grassland,NULL,Water,NULL,Water,Water,Shrubland,Water
4818,Grassland,NULL,Water,NULL,Water,Water,Water,Wetland
4819,Grassland,NULL,Water,Non_Water,Water,NULL,Grassland,Cropland
4820,Grassland,NULL,Water,Non_Water,Water,Shrubland,Grassland,NULL
4821,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
4822,Grassland,NULL,Water,Non_Water,Water,Wetland,NULL,Wetland
4823,Grassland,NULL,Water,Non_Water,Water,Wetland,Shrubland,Grassland
4824,Grassland,NULL,Water,Non_Water,Water,Wetland,Shrubland,Wetland
4825,Grassland,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
4826,Grassland,NULL,Water,Non_Water,Water,Water,NULL,Wetland
4827,Grassland,NULL,Water,Non_Water,Water,Water,Shrubland,NULL
4828,Grassland,NULL,Water,Non_Water,Water,Water,Water,Wetland
4829,Grassland,NULL,Water,Non_Water,Water,Water,Water,Water
4830,Grassland,NULL,Water,Water,Water,Shrubland,NULL,Grassland
4831,Grassland,NULL,Water,Water,Water,Grassland,NULL,Grassland
4832,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Grassland
4833,Grassland,NULL,Water,Water,Water,Wetland,Shrubland,Wetland
4834,Grassland,NULL,Water,Water,Water,Bareland,Grassland,Wetland
4835,Grassland,NULL,Water,Water,Water,Water,Water,Wetland
4836,Grassland,NULL,Water,Water,Water,Water,Water,Water
4837,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
4838,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4839,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
4840,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
4841,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4842,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
4843,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
4844,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Cropland
4845,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
4846,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
4847,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
4848,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
4849,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
4850,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Water,NULL
4851,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Water,Grassland
4852,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,NULL
4853,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
4854,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
4855,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
4856,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,NULL
4857,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
4858,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Cropland
4859,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
4860,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4861,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4862,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
4863,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
4864,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4865,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
4866,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4867,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Cropland
4868,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Wetland
4869,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
4870,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
4871,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4872,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
4873,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Water,NULL
4874,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
4875,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
4876,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
4877,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
4878,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4879,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
4880,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
4881,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
4882,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4883,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Cropland
4884,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
4885,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
4886,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4887,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
4888,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
4889,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
4890,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
4891,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
4892,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
4893,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
4894,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
4895,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,NULL
4896,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
4897,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
4898,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
4899,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,NULL
4900,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Grassland
4901,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Cropland
4902,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
4903,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,NULL
4904,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
4905,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
4906,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
4907,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
4908,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
4909,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
4910,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
4911,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
4912,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
4913,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Wetland
4914,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
4915,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
4916,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
4917,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
4918,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
4919,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
4920,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
4921,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
4922,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
4923,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
4924,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Shrubland,Wetland
4925,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
4926,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
4927,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
4928,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,NULL
4929,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Wetland
4930,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,NULL
4931,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Shrubland,Grassland
4932,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Shrubland,Cropland
4933,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
4934,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
4935,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
4936,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
4937,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
4938,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
4939,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
4940,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
4941,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
4942,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
4943,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
4944,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Bareland
4945,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
4946,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,NULL
4947,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
4948,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
4949,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
4950,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
4951,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,NULL
4952,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4953,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
4954,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
4955,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
4956,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
4957,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
4958,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
4959,Grassland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Forest,Forest
4960,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Forest
4961,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,NULL
4962,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4963,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
4964,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4965,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Wetland
4966,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
4967,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
4968,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
4969,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Water
4970,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,NULL
4971,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
4972,Grassland,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,NULL
4973,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,Wetland
4974,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
4975,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,Cropland
4976,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
4977,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Wetland
4978,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
4979,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Forest
4980,Grassland,NULL,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
4981,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Grassland
4982,Grassland,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,NULL
4983,Grassland,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Grassland
4984,Grassland,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Forest
4985,Grassland,NULL,Forest,Water,Non_Wetland,Shrubland,Wetland,NULL
4986,Grassland,NULL,Forest,Water,Non_Wetland,Shrubland,Forest,Forest
4987,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Shrubland,Wetland
4988,Grassland,NULL,Forest,Water,Non_Wetland,Wetland,Water,NULL
4989,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
4990,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4991,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
4992,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
4993,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4994,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4995,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
4996,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
4997,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
4998,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
4999,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
5000,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5001,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
5002,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
5003,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Grassland
5004,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
5005,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5006,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
5007,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
5008,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
5009,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
5010,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5011,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5012,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
5013,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5014,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
5015,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5016,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
5017,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
5018,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
5019,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
5020,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
5021,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
5022,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
5023,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
5024,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5025,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
5026,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
5027,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
5028,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
5029,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5030,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
5031,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
5032,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
5033,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5034,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
5035,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
5036,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5037,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
5038,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
5039,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
5040,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
5041,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
5042,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
5043,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
5044,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
5045,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
5046,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
5047,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
5048,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
5049,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
5050,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
5051,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
5052,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
5053,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
5054,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
5055,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
5056,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
5057,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5058,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
5059,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,NULL
5060,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
5061,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
5062,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
5063,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
5064,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
5065,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
5066,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
5067,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
5068,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
5069,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
5070,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
5071,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5072,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
5073,Grassland,Cropland,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
5074,Grassland,Cropland,NULL,Water,Non_Wetland,Cropland,NULL,Cropland
5075,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
5076,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5077,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
5078,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5079,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5080,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
5081,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
5082,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
5083,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
5084,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
5085,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
5086,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
5087,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
5088,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
5089,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
5090,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
5091,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
5092,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
5093,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
5094,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
5095,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
5096,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
5097,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5098,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
5099,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
5100,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
5101,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5102,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5103,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
5104,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5105,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
5106,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5107,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
5108,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
5109,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
5110,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5111,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
5112,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
5113,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
5114,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
5115,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
5116,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
5117,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
5118,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
5119,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
5120,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
5121,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
