Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZC_M_R
27,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
28,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
29,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
30,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
31,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
32,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
35,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
36,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
37,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
38,NULL,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
39,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
40,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
41,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
42,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
43,NULL,Water,Water,Water,Water,Water,Wetland,Water
44,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
45,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
47,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
48,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
49,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
50,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
51,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
55,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
56,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
57,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
58,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
59,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
60,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
61,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
62,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
64,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
65,NULL,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
66,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
68,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
69,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
70,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
72,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
73,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
74,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
75,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
76,Grassland,Forest,Water,NULL,Water,Water,Wetland,Forest
77,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
78,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
79,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
80,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
81,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
82,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
83,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
84,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
85,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
86,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
87,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
88,Cropland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
89,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
90,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
91,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
92,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
93,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
94,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
95,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Shrubland,Grassland
96,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
97,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
98,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
99,Cropland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
100,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
101,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
102,Cropland,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
103,Cropland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
104,Cropland,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
105,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
106,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
107,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
108,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
109,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
110,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
111,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
112,Cropland,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
113,Cropland,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
114,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
115,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
116,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
117,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
118,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
119,Cropland,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
120,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
121,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
122,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
123,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
124,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
125,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
126,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
127,Wetland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
128,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
129,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
130,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
131,Bareland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
132,Bareland,Water,Water,NULL,Water,Water,Wetland,Forest
133,Bareland,Water,Water,Non_Water,Water,NULL,NULL,Water
134,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
135,Bareland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
136,Bareland,Forest,Water,Water,Water,NULL,NULL,Forest
137,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
138,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
139,Bareland,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
140,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
141,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
142,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
143,Bareland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
144,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
145,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
146,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
147,Water,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
148,Water,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
149,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
150,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
151,Water,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
152,Water,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
153,Water,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
154,Water,NULL,Forest,Water,Non_Wetland,NULL,Wetland,Forest
155,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
156,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
157,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
158,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
159,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
160,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
161,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
162,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
163,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
164,Water,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
165,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
166,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
167,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
168,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
169,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
170,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
171,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
172,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
173,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
174,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
175,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,Water
176,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
177,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
178,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
179,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
180,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
181,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
182,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
183,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
184,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
185,Water,Water,Wetland,NULL,Wetland,NULL,Forest,Forest
186,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
187,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
188,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
189,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
190,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
191,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
192,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
193,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
194,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
195,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
196,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
197,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
198,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
199,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
200,Water,Water,Wetland,Non_Water,Wetland,Wetland,Forest,Water
201,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
202,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
203,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
204,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
205,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
206,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
207,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
208,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
209,Water,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
210,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
211,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
212,Water,Water,Wetland,Water,Wetland,Wetland,Forest,Forest
213,Water,Water,Wetland,Water,Wetland,Water,Wetland,Bareland
214,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
215,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
216,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
217,Water,Water,Wetland,Water,Wetland,Water,Water,Water
218,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
219,Water,Water,Water,NULL,Water,NULL,NULL,Water
220,Water,Water,Water,NULL,Water,NULL,NULL,Forest
221,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
222,Water,Water,Water,NULL,Water,Water,Wetland,Water
223,Water,Water,Water,NULL,Water,Water,Wetland,Forest
224,Water,Water,Water,NULL,Water,Water,Water,Grassland
225,Water,Water,Water,NULL,Water,Water,Water,Water
226,Water,Water,Water,NULL,Water,Water,Water,Forest
227,Water,Water,Water,NULL,Water,Water,Forest,Water
228,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
229,Water,Water,Water,Non_Water,Water,NULL,NULL,Bareland
230,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
231,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
232,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
233,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
234,Water,Water,Water,Non_Water,Water,Water,Water,Water
235,Water,Water,Water,Water,Water,NULL,NULL,Grassland
236,Water,Water,Water,Water,Water,NULL,NULL,Bareland
237,Water,Water,Water,Water,Water,NULL,NULL,Water
238,Water,Water,Water,Water,Water,NULL,NULL,Forest
239,Water,Water,Water,Water,Water,Wetland,Forest,Water
240,Water,Water,Water,Water,Water,Water,Wetland,Grassland
241,Water,Water,Water,Water,Water,Water,Wetland,Bareland
242,Water,Water,Water,Water,Water,Water,Wetland,Water
243,Water,Water,Water,Water,Water,Water,Wetland,Forest
244,Water,Water,Water,Water,Water,Water,Water,Grassland
245,Water,Water,Water,Water,Water,Water,Water,Bareland
246,Water,Water,Water,Water,Water,Water,Water,Water
247,Water,Water,Water,Water,Water,Water,Water,Forest
248,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
249,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
250,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
251,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
252,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
253,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
254,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
255,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Water
256,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
257,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
258,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
259,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
260,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Water
261,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Bareland
262,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
263,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
264,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
265,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
266,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
267,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
268,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
269,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
270,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
271,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
272,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
273,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
274,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
275,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
276,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
277,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
278,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
279,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
280,Water,Water,Forest,Water,Non_Wetland,NULL,Wetland,Forest
281,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
282,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
283,Water,Water,Forest,Water,Non_Wetland,Water,Water,Bareland
284,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
285,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
286,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
287,Water,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
288,Water,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
289,Water,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
290,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
292,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
293,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
294,Water,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
295,Water,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
296,Water,Forest,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
297,Water,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
298,Water,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
299,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
300,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
301,Water,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
302,Water,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
303,Water,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
304,Water,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Forest
305,Water,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
306,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
307,Water,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
308,Water,Forest,Wetland,NULL,Wetland,Forest,NULL,Forest
309,Water,Forest,Wetland,NULL,Wetland,Forest,Wetland,Forest
310,Water,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
311,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
312,Water,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
313,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
314,Water,Forest,Water,NULL,Water,NULL,Wetland,Forest
315,Water,Forest,Water,NULL,Water,Water,Wetland,Forest
316,Water,Forest,Water,Non_Water,Water,NULL,NULL,Forest
317,Water,Forest,Water,Water,Water,NULL,NULL,Forest
318,Water,Forest,Water,Water,Water,NULL,Wetland,Forest
319,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
320,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
321,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
322,Water,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
323,Water,Forest,Forest,NULL,Non_Wetland,NULL,Water,Forest
324,Water,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
325,Water,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
326,Water,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
327,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
328,Water,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
329,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
330,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
331,Water,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
332,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
333,Water,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
334,Water,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
335,Water,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
336,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
337,Water,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
338,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
339,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
340,Water,Forest,Forest,Non_Water,Non_Wetland,Forest,Wetland,Forest
341,Water,Forest,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
342,Water,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
343,Water,Forest,Forest,Water,Non_Wetland,NULL,Wetland,Forest
344,Water,Forest,Forest,Water,Non_Wetland,Water,Water,Forest
345,Water,Forest,Forest,Water,Non_Wetland,Forest,Wetland,Forest
346,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
347,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
348,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
349,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
350,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
351,Permanent_ice_and_snow,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
352,Permanent_ice_and_snow,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
353,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
354,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
355,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
356,Permanent_ice_and_snow,Forest,Wetland,NULL,Wetland,Forest,Forest,Forest
357,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
358,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
359,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
