Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MLV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MLV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MLV_M_R
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
75,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
76,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Wetland
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
85,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Wetland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Built-up,Wetland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
99,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
103,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
105,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
106,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Wetland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Bareland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
110,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
111,NULL,NULL,Wetland,NULL,NULL,Grassland,Bareland,Grassland
112,NULL,NULL,Wetland,NULL,NULL,Bareland,Bareland,Grassland
113,NULL,NULL,Wetland,NULL,NULL,Bareland,Bareland,Bareland
114,NULL,NULL,Wetland,NULL,NULL,Water,Water,Grassland
115,NULL,NULL,Wetland,NULL,NULL,Forest,Water,Grassland
116,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
117,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Wetland
118,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
119,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
120,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Grassland
121,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Wetland
122,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
123,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
124,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
125,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
126,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Cropland
128,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
129,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Bareland
130,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
131,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
132,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Cropland
133,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
134,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
135,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Water
136,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
137,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
138,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Wetland
139,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Bareland
140,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
141,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
142,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Bareland
143,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Built-up
144,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Water
145,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
146,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
147,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Bareland
148,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
149,NULL,NULL,Wetland,NULL,Wetland,Cropland,NULL,Grassland
150,NULL,NULL,Wetland,NULL,Wetland,Cropland,NULL,Wetland
151,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Grassland
152,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Wetland
153,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Grassland
154,NULL,NULL,Wetland,NULL,Wetland,Cropland,Wetland,Wetland
155,NULL,NULL,Wetland,NULL,Wetland,Cropland,Forest,Grassland
156,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
157,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
158,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
159,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Cropland
160,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
161,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
162,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
163,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Cropland
164,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
165,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
166,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Wetland
167,NULL,NULL,Wetland,NULL,Wetland,Wetland,Built-up,Grassland
168,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
169,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
170,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
171,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
172,NULL,NULL,Wetland,NULL,Wetland,Bareland,NULL,Wetland
173,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
174,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
175,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
176,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
177,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
178,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Wetland
179,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Bareland
180,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
181,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
182,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Wetland
183,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
184,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Built-up
185,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
186,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
187,NULL,NULL,Wetland,NULL,Wetland,Bareland,Built-up,Grassland
188,NULL,NULL,Wetland,NULL,Wetland,Bareland,Built-up,Wetland
189,NULL,NULL,Wetland,NULL,Wetland,Bareland,Built-up,Bareland
190,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
191,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Wetland
192,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Bareland
193,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
194,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Wetland
195,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Bareland
196,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
197,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
198,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
199,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
200,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Grassland
201,NULL,NULL,Wetland,NULL,Wetland,Water,Bareland,Wetland
202,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
203,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
204,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Bareland
205,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
206,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Wetland
207,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,Grassland
208,NULL,NULL,Wetland,NULL,Wetland,Forest,Water,Grassland
209,NULL,NULL,Wetland,NULL,Wetland,Forest,Water,Wetland
210,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
211,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
212,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
213,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
214,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
215,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
216,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Bareland
217,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
218,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Bareland
219,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
220,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Bareland
221,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
222,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
223,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
224,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Wetland
225,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Bareland
226,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Wetland
227,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Bareland
228,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
229,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Wetland
230,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
231,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
232,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Bareland
233,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Forest,Bareland
234,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
235,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Wetland
236,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
237,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
238,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Wetland
239,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
240,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
241,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Wetland
242,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Bareland
243,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
244,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
245,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
246,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
247,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
248,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
249,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
250,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Wetland
251,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
252,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
253,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
254,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
255,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
256,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
257,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
258,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
259,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
260,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Water
261,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Wetland
262,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
263,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
264,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Wetland
265,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Built-up,Grassland
266,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Grassland
267,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Water,Wetland
268,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Bareland,Grassland
269,NULL,NULL,Built-up,NULL,Non_Wetland,Forest,Water,Grassland
270,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
272,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
273,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
275,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
276,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
277,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
279,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
280,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
281,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Wetland
282,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
283,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Wetland
284,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
285,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Wetland
286,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
287,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
288,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
289,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
290,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Wetland
291,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
292,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
293,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
294,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
295,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
296,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
297,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
298,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
299,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
300,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
301,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
303,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
304,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
305,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
306,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
307,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
308,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
309,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
310,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
311,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
312,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
313,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
314,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
315,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
316,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
317,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
318,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
319,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
320,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
321,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
322,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
323,NULL,Cropland,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
324,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
325,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
326,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
327,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
328,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
329,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
330,NULL,Cropland,Wetland,NULL,Wetland,Grassland,NULL,Grassland
