Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKT_M_R
84,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
85,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
87,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
96,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
98,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
99,NULL,NULL,Grassland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
100,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
102,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Bareland,Grassland
104,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
105,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
106,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Wetland,Grassland
107,NULL,NULL,Grassland,Water,Non_Wetland,Built-up,Bareland,Grassland
108,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
109,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
110,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
112,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
113,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
114,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
118,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
119,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
120,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
122,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
123,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
124,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
125,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
126,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
127,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
128,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
129,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
131,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
132,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
133,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Water
134,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
135,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Wetland,Grassland
136,NULL,NULL,Cropland,Water,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
138,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Forest
139,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
141,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
142,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Wetland,Grassland
143,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Bareland,Grassland
144,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Built-up,Grassland
145,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Water,Grassland
146,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
147,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
148,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
149,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
150,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
151,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
152,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
153,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
154,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
156,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
157,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
158,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
160,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
161,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Forest
162,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
163,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
164,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
165,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Grassland
166,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
167,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
168,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
169,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
170,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
171,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
172,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
173,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
174,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
176,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
177,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
178,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
179,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
180,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
181,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
182,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
184,NULL,NULL,Wetland,Water,Wetland,Wetland,Bareland,Grassland
185,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
186,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
187,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
188,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
189,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
190,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
191,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
192,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
193,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
194,NULL,NULL,Wetland,Water,Wetland,Built-up,Wetland,Grassland
195,NULL,NULL,Wetland,Water,Wetland,Built-up,Bareland,Grassland
196,NULL,NULL,Wetland,Water,Wetland,Built-up,Water,Grassland
197,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
198,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
199,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Grassland
200,NULL,NULL,Wetland,Water,Wetland,Water,Bareland,Water
201,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
202,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
203,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
204,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Wetland,Grassland
205,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
206,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,Bareland,Bareland,Forest
207,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
209,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
210,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
211,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
212,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
213,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
214,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
215,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Water,Grassland
216,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Grassland
217,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
218,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
219,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
221,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
222,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
223,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
224,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
225,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
226,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Bareland,Grassland
227,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
228,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
229,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
230,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
231,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
232,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
233,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
234,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
235,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Built-up
236,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
237,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
238,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
239,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
241,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
242,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
243,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
244,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
245,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
246,NULL,NULL,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
247,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
248,NULL,NULL,Built-up,Water,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
250,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Bareland,Grassland
251,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Wetland,Grassland
252,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
253,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Water,Forest
254,NULL,NULL,Built-up,Water,Non_Wetland,Built-up,Wetland,Grassland
255,NULL,NULL,Built-up,Water,Non_Wetland,Built-up,Bareland,Grassland
256,NULL,NULL,Water,Non_Water,Water,NULL,Wetland,Grassland
257,NULL,NULL,Water,Water,Water,Bareland,Wetland,Grassland
258,NULL,NULL,Water,Water,Water,Bareland,Bareland,Grassland
259,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
260,NULL,NULL,Water,Water,Water,Bareland,Water,Water
261,NULL,NULL,Water,Water,Water,Built-up,Built-up,Grassland
262,NULL,NULL,Water,Water,Water,Built-up,Water,Grassland
263,NULL,NULL,Water,Water,Water,Water,Water,Water
264,NULL,NULL,Water,Water,Water,Water,Water,Forest
265,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
266,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Wetland
268,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
270,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
273,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
274,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
275,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
276,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
277,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
279,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
280,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Grassland
281,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
282,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
283,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
284,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
285,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
286,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
287,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
288,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
289,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
290,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
291,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
292,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
293,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
294,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
295,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
296,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
297,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
298,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
299,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
300,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
301,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Forest
302,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
303,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
304,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
305,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
306,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
307,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up,Bareland,Grassland
308,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
309,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
310,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
311,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
312,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Grassland
313,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Water,Grassland
314,NULL,NULL,Forest,Water,Non_Wetland,Built-up,Wetland,Grassland
315,NULL,NULL,Forest,Water,Non_Wetland,Built-up,Bareland,Grassland
316,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
317,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
318,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
319,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
320,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
321,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
322,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
323,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
324,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
325,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
326,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
327,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
328,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
329,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
