Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDC_M_R
728,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
729,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
730,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
731,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
732,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
733,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
734,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
735,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
736,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
737,Grassland,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
738,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
739,Grassland,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
740,Grassland,Cropland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
741,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
742,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
743,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
744,Grassland,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
745,Grassland,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
746,Grassland,Cropland,Water,Non_Water,Water,NULL,NULL,Wetland
747,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
748,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
749,Grassland,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
750,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
751,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
752,Grassland,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
753,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
754,Grassland,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
755,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
756,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
757,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
758,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
759,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
760,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
761,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
762,Grassland,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
763,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
764,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
765,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
766,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
767,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
768,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
769,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
770,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Water
771,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
772,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
773,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
774,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
775,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
776,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
777,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
778,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
779,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
780,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
781,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
782,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Bareland
783,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
784,Grassland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
785,Grassland,Wetland,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
786,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
787,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
788,Grassland,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
789,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
790,Grassland,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
791,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
792,Grassland,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
793,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
794,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
795,Grassland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
796,Grassland,Wetland,Water,Water,Water,NULL,NULL,Wetland
797,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
798,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
799,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
800,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
801,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
802,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
803,Grassland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
804,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
805,Grassland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
806,Grassland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
807,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
808,Grassland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
809,Grassland,Bareland,Water,Water,Water,NULL,NULL,Water
810,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
811,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
812,Grassland,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
813,Grassland,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
814,Grassland,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
815,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
816,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
817,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
818,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
819,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
820,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
821,Grassland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
822,Grassland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
823,Grassland,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
824,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
825,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
826,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
827,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
828,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
829,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
830,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
831,Grassland,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
832,Grassland,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
833,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
834,Grassland,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
835,Grassland,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
836,Grassland,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
837,Grassland,Built-up,Wetland,Water,Wetland,NULL,NULL,Wetland
838,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
839,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
840,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
841,Grassland,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
842,Grassland,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
843,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
844,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
845,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
846,Grassland,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
847,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
848,Grassland,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
849,Grassland,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
850,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
851,Grassland,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
852,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
853,Grassland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
854,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
855,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
856,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
857,Grassland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
858,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
859,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
860,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
861,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
862,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
863,Grassland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
864,Grassland,Water,Water,Non_Water,Water,NULL,NULL,Wetland
865,Grassland,Water,Water,Water,Water,NULL,NULL,Wetland
866,Grassland,Water,Water,Water,Water,NULL,NULL,Water
867,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
868,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
869,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
870,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
871,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
872,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
873,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
874,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
875,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
876,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
877,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
878,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
879,Grassland,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
880,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
881,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
882,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
883,Grassland,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
884,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
885,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
886,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
887,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
888,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
889,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
890,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
891,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
892,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
893,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
894,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
895,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
896,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
897,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
898,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
899,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
900,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
901,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
902,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
903,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
904,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
905,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
906,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
907,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
908,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
909,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
910,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
911,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
912,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
913,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
914,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
915,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
916,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
917,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
918,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
919,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
920,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
921,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
922,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
923,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
924,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
925,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
926,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
927,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
928,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
929,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
930,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
931,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
932,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
933,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
934,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
935,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
936,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
937,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
938,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
939,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
940,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
941,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
942,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
943,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
944,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
945,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
946,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
947,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
948,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
949,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
950,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
951,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
952,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
953,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
954,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
955,Cropland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
956,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
957,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
958,Cropland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
959,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
960,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
961,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
962,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
963,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
964,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
965,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
966,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
967,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
968,Cropland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
969,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
970,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
971,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
972,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
973,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
974,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
975,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
976,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
977,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
978,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
979,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
980,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
981,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
982,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Wetland
983,Cropland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Built-up
984,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
985,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Cropland
986,Cropland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Wetland
987,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
988,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
989,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
990,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
991,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
992,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
993,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
994,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
995,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
996,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
997,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
998,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
999,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
1000,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
1001,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
1002,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
1003,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
1004,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
1005,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
1006,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
1007,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
1008,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
1009,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
1010,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
1011,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
1012,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
1013,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
1014,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
1015,Cropland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
1016,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
1017,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
1018,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
1019,Cropland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
1020,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
1021,Cropland,NULL,Water,NULL,Water,NULL,NULL,Cropland
1022,Cropland,NULL,Water,NULL,Water,NULL,NULL,Water
1023,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
1024,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
1025,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
1026,Cropland,NULL,Water,Non_Water,Water,NULL,NULL,Water
1027,Cropland,NULL,Water,Water,Water,NULL,NULL,Grassland
1028,Cropland,NULL,Water,Water,Water,NULL,NULL,Cropland
1029,Cropland,NULL,Water,Water,Water,NULL,NULL,Wetland
1030,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
1031,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
1032,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
1033,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
1034,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
1035,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
1036,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
1037,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
1038,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
1039,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
1040,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
1041,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
1042,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
1043,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
1044,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
1045,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
1046,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1047,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1048,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1049,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
1050,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
1051,Cropland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1052,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
1053,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
1054,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
1055,Cropland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
1056,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
1057,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
1058,Cropland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
1059,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
