Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWB_M_R
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
68,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
70,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
71,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
72,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
75,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
76,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
77,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
78,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
79,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
80,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
85,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
86,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
87,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
88,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
89,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
90,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
91,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
92,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Grassland
93,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Forest,Forest
94,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
95,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
97,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
99,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
100,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
101,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
102,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
103,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
104,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
105,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
106,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
107,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
108,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
109,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
110,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
111,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
112,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
113,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
114,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
115,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
116,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
117,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
118,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
119,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
120,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
121,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
122,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
123,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
124,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
125,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
126,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
127,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
128,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
129,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
130,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
131,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
132,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
133,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
134,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
135,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
136,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
137,NULL,NULL,Built-up,NULL,Non_Wetland,Shrubland,Wetland,Grassland
138,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
139,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
140,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Bareland
141,NULL,NULL,Water,Water,Water,Grassland,Wetland,Wetland
142,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
143,NULL,NULL,Water,Water,Water,Bareland,Water,Grassland
144,NULL,NULL,Water,Water,Water,Bareland,Water,Water
145,NULL,NULL,Water,Water,Water,Water,Water,Water
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
147,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
148,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
149,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
150,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
151,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
152,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
154,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
155,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
156,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
157,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
158,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
159,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
161,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
164,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
165,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
166,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
167,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
168,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
169,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
170,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
171,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
172,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
173,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
174,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
175,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
176,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
177,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
178,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
179,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
180,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
181,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
182,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
183,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
184,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
185,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
186,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
187,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
188,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
189,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
190,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
191,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
192,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
193,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
194,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
195,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
196,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
197,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
198,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
199,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
200,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
201,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
202,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
203,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
204,NULL,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Water
205,NULL,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
206,NULL,Bareland,Water,Water,Water,Grassland,Water,Water
207,NULL,Bareland,Water,Water,Water,Wetland,Water,Water
208,NULL,Bareland,Water,Water,Water,Water,Water,Water
209,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
210,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
211,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
212,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
213,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
214,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
215,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
216,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
217,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
218,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Wetland,Forest
219,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
220,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
221,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
222,NULL,Water,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
223,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
224,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
225,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
226,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
227,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
228,NULL,Water,Water,Water,Water,Grassland,Water,Water
229,NULL,Water,Water,Water,Water,Wetland,Water,Water
230,NULL,Water,Water,Water,Water,Bareland,Water,Bareland
231,NULL,Water,Water,Water,Water,Water,Water,Water
232,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
233,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
234,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
235,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
236,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
237,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
238,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
239,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
240,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
241,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
242,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
243,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
244,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
245,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
246,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
247,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
248,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
249,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
250,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
251,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
252,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
253,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
254,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
255,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
256,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,NULL
257,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
258,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Grassland
259,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
260,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
261,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
262,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
263,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
264,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
265,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
266,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
267,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
268,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
269,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
270,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
271,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
272,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
273,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
275,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
276,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
277,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
278,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
279,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
280,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
281,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
282,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
283,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
284,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
285,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
286,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
287,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
288,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
289,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
290,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
291,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
292,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
293,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
294,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
295,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
296,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
297,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
298,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
299,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
300,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
301,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
302,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
303,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
304,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
305,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
306,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
307,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
308,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
309,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
310,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
311,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
312,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
313,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
314,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
315,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
316,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
317,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
318,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
319,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
320,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
321,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
322,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
323,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
324,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
325,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
326,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
327,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
