Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LKG_M_R
2593,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2594,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
2595,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
2596,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2597,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2598,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2599,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
2600,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2601,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
2602,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
2603,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
2604,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
2605,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
2606,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2607,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
2608,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2609,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
2610,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2611,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2612,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
2613,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2614,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2615,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
2616,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
2617,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
2618,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2619,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Water
2620,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2621,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2622,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
2623,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
2624,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
2625,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
2626,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
2627,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
2628,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
2629,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
2630,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
2631,NULL,Water,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
2632,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
2633,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
2634,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,NULL
2635,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Bareland
2636,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Forest
2637,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
2638,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
2639,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Wetland
2640,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Bareland
2641,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
2642,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
2643,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
2644,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
2645,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Water,Grassland
2646,NULL,Water,Shrubland,Water,Non_Wetland,Shrubland,Water,Forest
2647,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
2648,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,NULL
2649,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
2650,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Bareland
2651,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Water
2652,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Water,Forest
2653,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2654,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
2655,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2656,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Water,NULL
2657,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Water,Forest
2658,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2659,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2660,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2661,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2662,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2663,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2664,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2665,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
2666,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,Grassland
2667,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,Water
2668,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,Forest
2669,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2670,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2671,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2672,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2673,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
2674,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2675,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2676,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
2677,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2678,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2679,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Water
2680,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
2681,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
2682,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2683,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,NULL
2684,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
2685,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
2686,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Water
2687,NULL,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
2688,NULL,Water,Cropland,Non_Water,Non_Wetland,Shrubland,Water,Forest
2689,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2690,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
2691,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,Water,Forest
2692,NULL,Water,Cropland,Water,Non_Wetland,Shrubland,Water,Bareland
2693,NULL,Water,Cropland,Water,Non_Wetland,Bareland,Shrubland,Forest
2694,NULL,Water,Cropland,Water,Non_Wetland,Bareland,Water,Water
2695,NULL,Water,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
2696,NULL,Water,Wetland,NULL,Wetland,Shrubland,Water,Grassland
2697,NULL,Water,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
2698,NULL,Water,Wetland,NULL,Wetland,Bareland,Shrubland,Forest
2699,NULL,Water,Wetland,NULL,Wetland,Bareland,Water,Bareland
2700,NULL,Water,Wetland,Non_Water,Wetland,Shrubland,Shrubland,NULL
2701,NULL,Water,Wetland,Non_Water,Wetland,Shrubland,Bareland,Forest
2702,NULL,Water,Wetland,Non_Water,Wetland,Shrubland,Water,NULL
2703,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
2704,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Shrubland,NULL
2705,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Shrubland,Forest
2706,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
2707,NULL,Water,Wetland,Water,Wetland,Shrubland,Water,NULL
2708,NULL,Water,Wetland,Water,Wetland,Shrubland,Water,Bareland
2709,NULL,Water,Wetland,Water,Wetland,Shrubland,Forest,Forest
2710,NULL,Water,Wetland,Water,Wetland,Bareland,Shrubland,Grassland
2711,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
2712,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
2713,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Forest
2714,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
2715,NULL,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Water
2716,NULL,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
2717,NULL,Water,Built-up,NULL,Non_Wetland,Shrubland,Water,Forest
2718,NULL,Water,Water,NULL,Water,Shrubland,Shrubland,NULL
2719,NULL,Water,Water,NULL,Water,Shrubland,Shrubland,Grassland
2720,NULL,Water,Water,NULL,Water,Shrubland,Shrubland,Forest
2721,NULL,Water,Water,NULL,Water,Shrubland,Grassland,Grassland
2722,NULL,Water,Water,NULL,Water,Shrubland,Water,Grassland
2723,NULL,Water,Water,NULL,Water,Shrubland,Water,Water
2724,NULL,Water,Water,NULL,Water,Shrubland,Water,Forest
2725,NULL,Water,Water,NULL,Water,Shrubland,Forest,Grassland
2726,NULL,Water,Water,NULL,Water,Grassland,NULL,Grassland
2727,NULL,Water,Water,NULL,Water,Grassland,Shrubland,Grassland
2728,NULL,Water,Water,NULL,Water,Grassland,Grassland,Grassland
2729,NULL,Water,Water,NULL,Water,Grassland,Grassland,Water
2730,NULL,Water,Water,NULL,Water,Bareland,Bareland,Forest
2731,NULL,Water,Water,NULL,Water,Bareland,Water,NULL
2732,NULL,Water,Water,NULL,Water,Bareland,Water,Water
2733,NULL,Water,Water,NULL,Water,Forest,Forest,Forest
2734,NULL,Water,Water,Non_Water,Water,Shrubland,NULL,Grassland
2735,NULL,Water,Water,Non_Water,Water,Shrubland,Water,Forest
2736,NULL,Water,Water,Non_Water,Water,Bareland,Water,Water
2737,NULL,Water,Water,Non_Water,Water,Bareland,Water,Forest
2738,NULL,Water,Water,Water,Water,Shrubland,Water,Water
2739,NULL,Water,Water,Water,Water,Bareland,Bareland,Forest
2740,NULL,Water,Water,Water,Water,Bareland,Water,Bareland
2741,NULL,Water,Water,Water,Water,Bareland,Water,Water
2742,NULL,Water,Water,Water,Water,Bareland,Water,Forest
2743,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2744,NULL,Water,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
2745,NULL,Water,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
2746,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
2747,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2748,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2749,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2750,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2751,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2752,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Water,Grassland
2753,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Water,Water
2754,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
2755,NULL,Water,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
2756,NULL,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
2757,NULL,Water,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
2758,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2759,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2760,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2761,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Shrubland,Water
2762,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2763,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
2764,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Bareland
2765,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Water,Water
2766,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Bareland
2767,NULL,Water,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
2768,NULL,Water,Forest,NULL,Non_Wetland,Forest,Water,Forest
2769,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2770,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
2771,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
2772,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
2773,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Water
2774,NULL,Water,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
2775,NULL,Water,Forest,Water,Non_Wetland,Bareland,Water,Bareland
2776,NULL,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
2777,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Water
2778,NULL,Water,Forest,Water,Non_Wetland,Forest,Water,Forest
2779,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
2780,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2781,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2782,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
2783,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
2784,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Built-up
2785,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
2786,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
2787,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2788,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2789,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2790,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2791,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
2792,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
2793,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2794,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2795,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
2796,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2797,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
2798,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2799,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2800,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
2801,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
2802,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2803,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
2804,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
2805,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
2806,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
2807,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
2808,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2809,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2810,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
2811,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2812,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2813,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
2814,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2815,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2816,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
2817,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2818,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
2819,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2820,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
2821,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
2822,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2823,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
2824,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2825,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
2826,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
2827,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2828,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
2829,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2830,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
2831,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
2832,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2833,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2834,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2835,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
2836,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
2837,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
2838,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2839,NULL,Forest,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
2840,NULL,Forest,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
2841,NULL,Forest,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
2842,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2843,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2844,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2845,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
2846,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2847,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
2848,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
2849,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
2850,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2851,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
2852,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
2853,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
2854,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
2855,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
2856,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
2857,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
2858,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
2859,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
2860,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2861,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2862,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2863,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2864,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2865,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2866,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
2867,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2868,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2869,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2870,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2871,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
2872,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2873,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
2874,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2875,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
2876,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2877,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
2878,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2879,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
2880,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2881,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2882,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
2883,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
2884,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2885,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2886,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2887,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2888,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2889,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2890,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2891,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2892,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2893,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2894,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2895,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
2896,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2897,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
2898,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
2899,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2900,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
2901,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
2902,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2903,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
2904,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
2905,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
2906,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
2907,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
2908,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2909,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
2910,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2911,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
2912,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
2913,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
2914,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
2915,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
2916,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
2917,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2918,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2919,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2920,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2921,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
2922,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2923,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2924,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2925,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
