Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBD_M_R
101,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
102,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
103,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
208,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
209,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
211,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
212,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
213,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
214,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Forest,Grassland
215,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
216,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
217,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
218,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
219,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
220,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
221,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
222,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
223,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
224,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
225,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
226,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
227,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
228,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
229,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
230,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
231,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
233,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
234,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
235,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
236,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
237,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Forest
238,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
239,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
241,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
242,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
246,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
254,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
255,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
258,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
259,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
260,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Cropland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Wetland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
276,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,NULL
279,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
281,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Wetland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
290,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
292,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
293,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
295,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
297,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
298,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Wetland
300,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Built-up
301,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Bareland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
306,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
307,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
312,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
313,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
314,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
316,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
317,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
318,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Bareland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Built-up
322,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
