Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDU_M_R
50,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
53,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
54,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
55,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
56,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
58,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
60,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
62,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
63,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
64,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
65,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
67,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
68,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
69,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
70,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Forest
71,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
73,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
74,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
75,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
76,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
78,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
79,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
81,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
82,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
84,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Built-up
86,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
87,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
88,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
89,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
90,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Forest
91,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
92,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Built-up
93,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
94,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
95,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Wetland,Grassland
96,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Built-up
97,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Built-up,Grassland
98,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Water,Grassland
99,NULL,Built-up,Water,NULL,Water,Wetland,Wetland,Grassland
100,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
101,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
102,NULL,Built-up,Water,Water,Water,Grassland,Wetland,Grassland
103,NULL,Built-up,Water,Water,Water,Grassland,Wetland,Water
104,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
106,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
108,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
109,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
110,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Built-up
111,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
112,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
113,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Built-up
114,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
115,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
116,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
117,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
118,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
119,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
120,NULL,Built-up,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
121,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
122,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
123,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
125,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
126,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
128,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
129,NULL,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
130,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
131,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
132,NULL,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
133,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
134,NULL,Water,Bareland,Water,Non_Wetland,Grassland,Water,Water
135,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
136,NULL,Water,Water,Non_Water,Water,Water,Water,Water
137,NULL,Water,Water,Water,Water,NULL,NULL,Water
138,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
139,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
140,NULL,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
141,NULL,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
142,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Water
143,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
146,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
149,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
150,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
151,Grassland,NULL,NULL,Water,Non_Wetland,Water,Water,Water
152,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
153,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
154,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
155,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
156,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
157,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
158,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
159,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
160,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
161,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
162,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
163,Grassland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
164,Grassland,NULL,Wetland,Water,Wetland,Water,Water,Water
165,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
166,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
167,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
168,Grassland,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
169,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
170,Grassland,NULL,Water,Water,Water,Water,Water,Grassland
171,Grassland,NULL,Water,Water,Water,Water,Water,Water
172,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
173,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
174,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Water
175,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
176,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
177,Grassland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
178,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
179,Grassland,Wetland,Wetland,Water,Wetland,Water,Water,Water
180,Grassland,Wetland,Water,Non_Water,Water,Grassland,Water,Water
181,Grassland,Wetland,Water,Water,Water,NULL,Water,Water
182,Grassland,Bareland,Wetland,Water,Wetland,Water,Water,Water
183,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
184,Grassland,Water,Wetland,Water,Wetland,Wetland,Water,Water
185,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
186,Grassland,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
187,Grassland,Water,Water,Water,Water,Wetland,Water,Water
188,Grassland,Water,Water,Water,Water,Water,Water,Water
189,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
190,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
191,Grassland,Forest,Wetland,Water,Wetland,Water,Water,Water
192,Grassland,Forest,Water,Water,Water,NULL,Water,Water
193,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
194,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
195,Cropland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
196,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
197,Cropland,Bareland,Wetland,Water,Wetland,Water,Water,Water
198,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
199,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
200,Wetland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
201,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
202,Wetland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
203,Wetland,NULL,Wetland,Water,Wetland,Grassland,Water,Water
204,Wetland,NULL,Wetland,Water,Wetland,Wetland,Water,Water
205,Wetland,NULL,Wetland,Water,Wetland,Water,Water,Water
206,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Water,Water
207,Wetland,NULL,Built-up,Non_Water,Non_Wetland,Water,Water,Water
208,Wetland,NULL,Water,Non_Water,Water,NULL,Water,Water
209,Wetland,NULL,Water,Non_Water,Water,Grassland,Water,Water
210,Wetland,NULL,Water,Non_Water,Water,Water,Water,Water
211,Wetland,NULL,Water,Water,Water,Grassland,Water,Water
212,Wetland,Wetland,Wetland,Water,Wetland,NULL,Water,Grassland
213,Wetland,Wetland,Wetland,Water,Wetland,Grassland,Water,Water
214,Wetland,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
215,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
216,Wetland,Wetland,Wetland,Water,Wetland,Water,Water,Water
217,Wetland,Wetland,Built-up,Water,Non_Wetland,Grassland,Water,Water
218,Wetland,Wetland,Water,Water,Water,NULL,Water,Grassland
219,Wetland,Wetland,Water,Water,Water,NULL,Water,Water
220,Wetland,Wetland,Water,Water,Water,Grassland,Water,Water
221,Wetland,Wetland,Water,Water,Water,Wetland,Water,Grassland
222,Wetland,Wetland,Water,Water,Water,Wetland,Water,Water
223,Wetland,Wetland,Water,Water,Water,Water,Water,Grassland
224,Wetland,Wetland,Water,Water,Water,Water,Water,Water
225,Wetland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
226,Wetland,Bareland,Wetland,Water,Wetland,Water,Water,Water
227,Wetland,Bareland,Built-up,Water,Non_Wetland,Grassland,Water,Water
228,Wetland,Water,Wetland,Water,Wetland,Wetland,Water,Water
229,Wetland,Water,Wetland,Water,Wetland,Water,Water,Water
230,Bareland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
231,Bareland,NULL,Wetland,Water,Wetland,Water,Water,Water
232,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
233,Bareland,Wetland,Wetland,Water,Wetland,Water,Water,Water
234,Bareland,Bareland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
235,Bareland,Bareland,Shrubland,Water,Non_Wetland,Water,Water,Water
236,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
237,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
238,Bareland,Bareland,Wetland,NULL,Wetland,Water,Water,Water
239,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
240,Bareland,Bareland,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
241,Bareland,Bareland,Wetland,Non_Water,Wetland,Grassland,Water,Water
242,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Water
243,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
244,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
245,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Wetland,Water
246,Bareland,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
247,Bareland,Bareland,Wetland,Water,Wetland,Water,NULL,Water
248,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
249,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
250,Bareland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
251,Bareland,Bareland,Bareland,NULL,Non_Wetland,Water,Water,Bareland
252,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
253,Bareland,Bareland,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
254,Bareland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
255,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
256,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Bareland
257,Bareland,Bareland,Built-up,NULL,Non_Wetland,Grassland,Forest,Bareland
258,Bareland,Bareland,Built-up,Non_Water,Non_Wetland,Grassland,Water,Water
259,Bareland,Bareland,Built-up,Water,Non_Wetland,Grassland,Water,Water
260,Bareland,Bareland,Water,NULL,Water,Water,Water,Water
261,Bareland,Bareland,Water,Non_Water,Water,Grassland,Wetland,Water
262,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Water
263,Bareland,Bareland,Water,Water,Water,NULL,NULL,Water
264,Bareland,Bareland,Water,Water,Water,Grassland,Water,Water
265,Bareland,Bareland,Water,Water,Water,Water,NULL,Water
266,Bareland,Bareland,Water,Water,Water,Water,Wetland,Water
267,Bareland,Bareland,Water,Water,Water,Water,Water,Water
268,Bareland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
269,Bareland,Water,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
270,Bareland,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
271,Bareland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
272,Bareland,Water,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
273,Bareland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
274,Bareland,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
275,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Water
276,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
277,Bareland,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
278,Bareland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
279,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
280,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
281,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
282,Bareland,Water,Wetland,Water,Wetland,NULL,NULL,Water
283,Bareland,Water,Wetland,Water,Wetland,Grassland,Wetland,Water
284,Bareland,Water,Wetland,Water,Wetland,Grassland,Water,Water
285,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
286,Bareland,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
287,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
288,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
289,Bareland,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
290,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
291,Bareland,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
292,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
293,Bareland,Water,Water,Non_Water,Water,Grassland,Wetland,Water
294,Bareland,Water,Water,Non_Water,Water,Grassland,Water,Water
295,Bareland,Water,Water,Non_Water,Water,Water,Wetland,Water
296,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
297,Bareland,Water,Water,Water,Water,NULL,NULL,Water
298,Bareland,Water,Water,Water,Water,Grassland,Water,Water
299,Bareland,Water,Water,Water,Water,Water,Water,Water
300,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Water
301,Bareland,Forest,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
302,Water,NULL,Wetland,Water,Wetland,Wetland,Water,Water
303,Water,NULL,Wetland,Water,Wetland,Water,Water,Water
304,Water,NULL,Water,Water,Water,Water,Water,Water
305,Water,Wetland,Grassland,NULL,Non_Wetland,Water,NULL,Water
306,Water,Wetland,Grassland,Non_Water,Non_Wetland,Forest,NULL,Water
307,Water,Wetland,Wetland,NULL,Wetland,Water,NULL,Forest
308,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
309,Water,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
310,Water,Wetland,Wetland,Non_Water,Wetland,Water,NULL,Water
311,Water,Wetland,Wetland,Non_Water,Wetland,Water,NULL,Forest
312,Water,Wetland,Wetland,Non_Water,Wetland,Water,Water,Water
313,Water,Wetland,Wetland,Non_Water,Wetland,Forest,NULL,Forest
314,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
315,Water,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
316,Water,Wetland,Wetland,Water,Wetland,Water,NULL,Water
317,Water,Wetland,Wetland,Water,Wetland,Water,Wetland,Water
318,Water,Wetland,Wetland,Water,Wetland,Water,Water,Water
319,Water,Wetland,Bareland,NULL,Non_Wetland,Water,NULL,Water
320,Water,Wetland,Bareland,Non_Water,Non_Wetland,Water,NULL,Water
321,Water,Wetland,Water,Non_Water,Water,Wetland,NULL,Forest
322,Water,Wetland,Water,Non_Water,Water,Water,Wetland,Water
323,Water,Wetland,Water,Water,Water,NULL,NULL,Water
324,Water,Wetland,Water,Water,Water,NULL,NULL,Forest
325,Water,Wetland,Water,Water,Water,Water,NULL,Water
326,Water,Wetland,Water,Water,Water,Water,NULL,Forest
327,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
328,Water,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
329,Water,Wetland,Forest,NULL,Non_Wetland,Water,NULL,Forest
330,Water,Wetland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
331,Water,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
332,Water,Wetland,Forest,Non_Water,Non_Wetland,Water,NULL,Water
333,Water,Wetland,Forest,Non_Water,Non_Wetland,Forest,NULL,Water
334,Water,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
335,Water,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
336,Water,Bareland,Wetland,NULL,Wetland,Water,Water,Water
337,Water,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Water
338,Water,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
339,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
340,Water,Bareland,Wetland,Water,Wetland,Grassland,Water,Water
341,Water,Bareland,Wetland,Water,Wetland,Water,NULL,Water
342,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
343,Water,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
344,Water,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
345,Water,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
346,Water,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
347,Water,Bareland,Built-up,Water,Non_Wetland,Grassland,Water,Water
348,Water,Bareland,Water,NULL,Water,Water,Water,Water
349,Water,Bareland,Water,Non_Water,Water,NULL,NULL,Water
350,Water,Bareland,Water,Water,Water,NULL,NULL,Water
351,Water,Bareland,Water,Water,Water,Grassland,Water,Water
352,Water,Bareland,Water,Water,Water,Water,NULL,Water
353,Water,Bareland,Water,Water,Water,Water,Water,Water
354,Water,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
355,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
