Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQU_M_R
118,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
119,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
120,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
121,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL
122,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
123,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
124,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
125,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL
126,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
127,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
128,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
129,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
130,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
131,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
132,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
133,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL
134,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
135,NULL,Cropland,Grassland,Water,Non_Wetland,Grassland
136,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
137,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
138,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
139,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
140,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
141,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
142,NULL,Cropland,Wetland,NULL,Wetland,Grassland
143,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
144,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
145,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
146,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
147,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
148,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
149,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
150,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
151,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
152,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
153,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
154,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
155,NULL,Cropland,Water,NULL,Water,Grassland
156,NULL,Cropland,Water,NULL,Water,Cropland
157,NULL,Cropland,Water,NULL,Water,Forest
158,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
159,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
160,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
161,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
162,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
163,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
164,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
165,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
166,NULL,Wetland,Shrubland,NULL,Non_Wetland,Cropland
167,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland
168,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
169,NULL,Wetland,Shrubland,NULL,Non_Wetland,Water
170,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
171,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland
172,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Cropland
173,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland
174,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
175,NULL,Wetland,Water,NULL,Water,NULL
176,NULL,Wetland,Water,NULL,Water,Grassland
177,NULL,Wetland,Water,NULL,Water,Cropland
178,NULL,Wetland,Forest,NULL,Non_Wetland,Cropland
179,NULL,Bareland,NULL,NULL,Non_Wetland,Grassland
180,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
181,NULL,Bareland,NULL,NULL,Non_Wetland,Permanent_ice_and_snow
182,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
183,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
184,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
185,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
186,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
187,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
188,NULL,Bareland,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
189,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
190,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
191,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
192,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
193,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
194,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
195,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
196,NULL,Bareland,Grassland,NULL,Non_Wetland,Permanent_ice_and_snow
197,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
198,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Forest
199,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
200,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
201,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
202,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
203,NULL,Bareland,Wetland,NULL,Wetland,Grassland
204,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
205,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
206,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
207,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
208,NULL,Bareland,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
209,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
210,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
211,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
212,NULL,Bareland,Water,NULL,Water,Grassland
213,NULL,Bareland,Water,NULL,Water,Cropland
214,NULL,Bareland,Water,NULL,Water,Wetland
215,NULL,Bareland,Water,NULL,Water,Bareland
216,NULL,Bareland,Water,NULL,Water,Permanent_ice_and_snow
217,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
218,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Cropland
219,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
220,NULL,Bareland,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
221,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
222,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
223,NULL,Bareland,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
224,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
225,NULL,Built-up,NULL,NULL,Non_Wetland,NULL
226,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
227,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
228,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
229,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up
230,NULL,Built-up,NULL,NULL,Non_Wetland,Forest
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
235,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
239,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
240,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
241,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
242,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
243,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
244,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
245,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
246,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
247,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
248,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
249,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
250,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
251,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
252,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
253,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
254,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
255,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
256,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
257,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
258,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
259,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
260,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
261,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
262,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
263,NULL,Built-up,Wetland,NULL,Wetland,Grassland
264,NULL,Built-up,Wetland,NULL,Wetland,Water
265,NULL,Built-up,Wetland,NULL,Wetland,Forest
266,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland
267,NULL,Built-up,Wetland,Water,Wetland,Cropland
268,NULL,Built-up,Wetland,Water,Wetland,Bareland
269,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
270,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
271,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
272,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
273,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
274,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
275,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
276,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
277,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
278,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
279,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
280,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
281,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
282,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
283,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
284,NULL,Built-up,Built-up,NULL,Non_Wetland,Water
285,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
286,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
287,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
288,NULL,Built-up,Water,NULL,Water,Grassland
289,NULL,Built-up,Water,NULL,Water,Cropland
290,NULL,Built-up,Water,NULL,Water,Bareland
291,NULL,Built-up,Water,NULL,Water,Built-up
292,NULL,Built-up,Water,NULL,Water,Water
293,NULL,Built-up,Water,NULL,Water,Forest
294,NULL,Built-up,Water,Non_Water,Water,Grassland
295,NULL,Built-up,Water,Non_Water,Water,Cropland
296,NULL,Built-up,Water,Water,Water,Grassland
297,NULL,Built-up,Water,Water,Water,Cropland
298,NULL,Built-up,Water,Water,Water,Forest
299,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
300,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
301,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
302,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland
303,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
304,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
305,NULL,Built-up,Forest,NULL,Non_Wetland,Water
306,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
307,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
308,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
309,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
310,NULL,Built-up,Forest,Water,Non_Wetland,Cropland
311,NULL,Built-up,Forest,Water,Non_Wetland,Water
312,NULL,Built-up,Forest,Water,Non_Wetland,Forest
313,NULL,Water,NULL,NULL,Non_Wetland,Bareland
314,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
315,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
316,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
317,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland
318,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
319,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
320,NULL,Water,Shrubland,NULL,Non_Wetland,Water
321,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
322,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland
323,NULL,Water,Shrubland,Non_Water,Non_Wetland,Cropland
324,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland
325,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water
326,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
327,NULL,Water,Shrubland,Water,Non_Wetland,NULL
328,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
329,NULL,Water,Shrubland,Water,Non_Wetland,Bareland
330,NULL,Water,Shrubland,Water,Non_Wetland,Water
331,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
332,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
333,NULL,Water,Grassland,NULL,Non_Wetland,Water
334,NULL,Water,Grassland,NULL,Non_Wetland,Forest
335,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
336,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
337,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
338,NULL,Water,Cropland,NULL,Non_Wetland,Forest
339,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
340,NULL,Water,Wetland,NULL,Wetland,Forest
341,NULL,Water,Wetland,Water,Wetland,Water
342,NULL,Water,Bareland,NULL,Non_Wetland,Grassland
343,NULL,Water,Bareland,Water,Non_Wetland,Grassland
344,NULL,Water,Bareland,Water,Non_Wetland,Water
345,NULL,Water,Built-up,NULL,Non_Wetland,Grassland
346,NULL,Water,Built-up,NULL,Non_Wetland,Built-up
347,NULL,Water,Water,NULL,Water,NULL
348,NULL,Water,Water,NULL,Water,Grassland
349,NULL,Water,Water,NULL,Water,Cropland
350,NULL,Water,Water,NULL,Water,Wetland
351,NULL,Water,Water,NULL,Water,Bareland
352,NULL,Water,Water,NULL,Water,Water
353,NULL,Water,Water,NULL,Water,Forest
354,NULL,Water,Water,Non_Water,Water,Grassland
355,NULL,Water,Water,Non_Water,Water,Water
356,NULL,Water,Water,Water,Water,Grassland
357,NULL,Water,Water,Water,Water,Wetland
358,NULL,Water,Water,Water,Water,Bareland
359,NULL,Water,Water,Water,Water,Water
360,NULL,Water,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
361,NULL,Water,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
362,NULL,Water,Forest,NULL,Non_Wetland,NULL
363,NULL,Water,Forest,NULL,Non_Wetland,Grassland
364,NULL,Water,Forest,NULL,Non_Wetland,Bareland
365,NULL,Water,Forest,NULL,Non_Wetland,Water
366,NULL,Water,Forest,NULL,Non_Wetland,Forest
367,NULL,Water,Forest,Non_Water,Non_Wetland,Grassland
368,NULL,Water,Forest,Water,Non_Wetland,Grassland
369,NULL,Water,Forest,Water,Non_Wetland,Water
370,NULL,Water,Forest,Water,Non_Wetland,Forest
371,NULL,Forest,NULL,NULL,Non_Wetland,NULL
372,NULL,Forest,NULL,NULL,Non_Wetland,Grassland
373,NULL,Forest,NULL,NULL,Non_Wetland,Forest
374,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
375,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
376,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland
377,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland
378,NULL,Forest,Shrubland,NULL,Non_Wetland,Built-up
379,NULL,Forest,Shrubland,NULL,Non_Wetland,Water
380,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
381,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
382,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Forest
383,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland
384,NULL,Forest,Shrubland,Water,Non_Wetland,Water
385,NULL,Forest,Grassland,NULL,Non_Wetland,NULL
386,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland
387,NULL,Forest,Grassland,NULL,Non_Wetland,Cropland
388,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland
389,NULL,Forest,Grassland,NULL,Non_Wetland,Forest
390,NULL,Forest,Cropland,NULL,Non_Wetland,NULL
391,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
392,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland
393,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
394,NULL,Forest,Bareland,NULL,Non_Wetland,NULL
395,NULL,Forest,Bareland,NULL,Non_Wetland,Grassland
396,NULL,Forest,Bareland,NULL,Non_Wetland,Cropland
397,NULL,Forest,Bareland,NULL,Non_Wetland,Forest
398,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland
399,NULL,Forest,Built-up,NULL,Non_Wetland,Cropland
400,NULL,Forest,Built-up,NULL,Non_Wetland,Built-up
401,NULL,Forest,Built-up,NULL,Non_Wetland,Forest
402,NULL,Forest,Water,NULL,Water,NULL
403,NULL,Forest,Water,NULL,Water,Grassland
404,NULL,Forest,Water,Water,Water,Forest
405,NULL,Forest,Permanent_ice_and_snow,NULL,Non_Wetland,NULL
406,NULL,Forest,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
407,NULL,Forest,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
408,NULL,Forest,Forest,NULL,Non_Wetland,NULL
409,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
410,NULL,Forest,Forest,NULL,Non_Wetland,Cropland
411,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
412,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
413,NULL,Forest,Forest,NULL,Non_Wetland,Forest
414,NULL,Forest,Forest,Water,Non_Wetland,Cropland
415,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland
416,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland
417,Grassland,NULL,NULL,NULL,Non_Wetland,Forest
418,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL
419,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
420,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland
421,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland
422,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland
423,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up
424,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water
