Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LHL_M_R
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
75,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
77,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
78,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
89,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
92,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
93,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
94,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
96,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
98,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
99,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
100,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
102,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
103,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Grassland
104,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
105,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
106,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
107,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
108,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
109,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
110,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
111,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
112,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
113,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
114,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
115,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
116,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
117,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
118,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
119,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
120,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
121,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
122,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
123,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
125,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
126,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
127,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
128,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
129,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
130,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
131,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
132,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
133,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
134,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
135,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
136,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Wetland
137,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
138,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
139,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
140,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
141,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
142,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
143,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
144,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
145,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
146,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
147,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
148,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
149,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
150,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
151,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
152,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
153,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
154,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
155,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
156,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
157,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
158,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
159,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
160,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
161,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
163,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
164,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
165,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
166,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
167,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
168,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
169,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
170,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
171,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
172,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
173,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
174,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
175,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,NULL
176,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
177,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
178,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
179,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
180,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
181,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
182,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
183,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
184,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
185,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
186,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
187,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
188,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
189,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
190,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
191,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
192,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
193,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
194,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
195,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
196,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
197,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
198,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
199,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
200,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
201,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
202,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
203,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
204,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
205,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
206,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Forest
207,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
209,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
210,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
211,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
212,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
213,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
214,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
215,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
216,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
217,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
218,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
219,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
220,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
221,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
222,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
223,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
224,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
225,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
226,NULL,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
227,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
229,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
230,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
232,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
233,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
234,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
235,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
236,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
237,NULL,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
238,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
239,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
240,NULL,Bareland,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
241,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
242,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
243,NULL,Bareland,Grassland,Water,Non_Wetland,Wetland,Water,Forest
244,NULL,Bareland,Grassland,Water,Non_Wetland,Water,Grassland,Grassland
245,NULL,Bareland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
246,NULL,Bareland,Wetland,Water,Wetland,Grassland,Water,Grassland
247,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
248,NULL,Bareland,Water,Water,Water,Water,Water,Bareland
249,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
250,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
251,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
252,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
253,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
254,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
255,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
256,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
257,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
258,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
259,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
260,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
261,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
262,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
264,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
265,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Forest
266,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
267,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
268,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
269,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
270,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
271,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
272,NULL,Built-up,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
273,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
274,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
275,NULL,Water,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
276,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Water
277,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
278,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Bareland
279,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Wetland,Water
280,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
281,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
282,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
283,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
284,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
285,NULL,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Bareland
286,NULL,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
287,NULL,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
288,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Water,Forest
289,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Forest,Grassland
290,NULL,Water,Grassland,Water,Non_Wetland,Bareland,Forest,Water
291,NULL,Water,Grassland,Water,Non_Wetland,Water,Water,Grassland
292,NULL,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
293,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
295,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
296,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
297,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
298,NULL,Water,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
299,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Wetland,Forest
300,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
301,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
302,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
303,NULL,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
304,NULL,Water,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
305,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
306,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
307,NULL,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
308,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
309,NULL,Water,Wetland,Water,Wetland,Water,Grassland,Grassland
310,NULL,Water,Wetland,Water,Wetland,Water,Water,Bareland
311,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
312,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
313,NULL,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
314,NULL,Water,Bareland,Water,Non_Wetland,Grassland,Water,Grassland
315,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
316,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
317,NULL,Water,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
318,NULL,Water,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
319,NULL,Water,Built-up,Non_Water,Non_Wetland,Wetland,Water,Grassland
320,NULL,Water,Water,NULL,Water,Water,Wetland,Forest
321,NULL,Water,Water,Water,Water,Grassland,Water,Water
322,NULL,Water,Water,Water,Water,Wetland,Water,Bareland
323,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
324,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
325,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
326,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
327,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
328,NULL,Water,Forest,Water,Non_Wetland,Water,Water,Grassland
329,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
330,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
