Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LTQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LTQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LTQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LTQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LTQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LTQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LTQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LTQ_M_R
2150,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland,NULL,Forest
2151,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,NULL
2152,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2153,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,Bareland
2154,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,Forest
2155,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
2156,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
2157,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Wetland
2158,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,NULL
2159,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
2160,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Cropland
2161,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Wetland
2162,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Forest
2163,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Shrubland,NULL
2164,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Shrubland,Grassland
2165,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Shrubland,Wetland
2166,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
2167,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,NULL
2168,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
2169,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
2170,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Forest
2171,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Wetland
2172,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
2173,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Shrubland,NULL
2174,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Forest
2175,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
2176,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
2177,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
2178,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
2179,NULL,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,NULL
2180,NULL,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,Grassland
2181,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Wetland
2182,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,NULL
2183,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Grassland
2184,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Wetland
2185,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Forest
2186,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,NULL
2187,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Grassland
2188,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Forest
2189,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Water,Grassland
2190,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Water,Forest
2191,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
2192,NULL,NULL,Forest,Water,Non_Wetland,Cropland,NULL,NULL
2193,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Shrubland,NULL
2194,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Grassland,Wetland
2195,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,NULL
2196,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Grassland
2197,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Wetland
2198,NULL,NULL,Forest,Water,Non_Wetland,Water,Shrubland,NULL
2199,NULL,NULL,Forest,Water,Non_Wetland,Water,Shrubland,Grassland
2200,NULL,NULL,Forest,Water,Non_Wetland,Water,Grassland,Grassland
2201,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
2202,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Bareland
2203,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Water
2204,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
2205,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2206,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2207,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2208,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2209,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
2210,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2211,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
2212,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
2213,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
2214,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Wetland
2215,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Bareland
2216,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
2217,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2218,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
2219,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
2220,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
2221,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
2222,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Cropland
2223,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
2224,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
2225,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
2226,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
2227,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
2228,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Water,NULL
2229,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
2230,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
2231,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
2232,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
2233,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
2234,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
2235,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
2236,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2237,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2238,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
2239,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2240,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2241,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
2242,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2243,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2244,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
2245,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2246,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
2247,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
2248,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
2249,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
2250,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2251,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
2252,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
2253,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
2254,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
2255,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2256,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
2257,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2258,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2259,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2260,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2261,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
2262,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
2263,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
2264,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
2265,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
2266,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
2267,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
2268,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
2269,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
2270,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
2271,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
2272,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
2273,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
2274,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
2275,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
2276,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
2277,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
2278,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
2279,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2280,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
2281,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
2282,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
2283,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
2284,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
2285,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2286,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2287,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2288,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
2289,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2290,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
2291,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
2292,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
2293,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
2294,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
2295,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
2296,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
2297,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
2298,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
2299,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
2300,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
2301,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
2302,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
2303,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
2304,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
2305,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
2306,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
2307,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
2308,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
2309,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
2310,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
2311,NULL,Cropland,NULL,NULL,Non_Wetland,Water,NULL,NULL
2312,NULL,Cropland,NULL,NULL,Non_Wetland,Water,NULL,Grassland
2313,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
2314,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
2315,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Water,Grassland
2316,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
2317,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
2318,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
2319,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
2320,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
2321,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
2322,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
2323,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
2324,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
2325,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
2326,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
2327,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
2328,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
2329,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
2330,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
2331,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Built-up,NULL
2332,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
2333,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
2334,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
2335,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
2336,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
2337,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
2338,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
2339,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
2340,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
2341,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
2342,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
2343,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
2344,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
2345,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
2346,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
2347,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2348,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
2349,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
2350,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
2351,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
2352,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
2353,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2354,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
2355,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
2356,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
2357,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
2358,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Bareland
2359,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2360,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
2361,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
2362,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
2363,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
2364,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
2365,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
2366,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
2367,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
2368,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
2369,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
2370,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,Bareland,Bareland
2371,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
2372,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
2373,NULL,Cropland,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
2374,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,NULL
2375,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
2376,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Cropland
2377,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
2378,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
2379,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
2380,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
2381,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
2382,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Water,NULL
2383,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
2384,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
2385,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,NULL,Cropland
2386,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
2387,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
2388,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
2389,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
2390,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
2391,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
2392,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
2393,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
2394,NULL,Cropland,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
2395,NULL,Cropland,NULL,Water,Non_Wetland,Water,NULL,NULL
2396,NULL,Cropland,NULL,Water,Non_Wetland,Water,NULL,Grassland
2397,NULL,Cropland,NULL,Water,Non_Wetland,Water,NULL,Cropland
2398,NULL,Cropland,NULL,Water,Non_Wetland,Water,NULL,Wetland
2399,NULL,Cropland,NULL,Water,Non_Wetland,Water,NULL,Water
2400,NULL,Cropland,NULL,Water,Non_Wetland,Water,Grassland,Cropland
2401,NULL,Cropland,NULL,Water,Non_Wetland,Water,Water,NULL
2402,NULL,Cropland,NULL,Water,Non_Wetland,Water,Water,Grassland
2403,NULL,Cropland,NULL,Water,Non_Wetland,Water,Water,Cropland
2404,NULL,Cropland,NULL,Water,Non_Wetland,Water,Water,Wetland
2405,NULL,Cropland,NULL,Water,Non_Wetland,Water,Water,Water
2406,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2407,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2408,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
2409,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
2410,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
2411,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
2412,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2413,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
2414,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2415,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
2416,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
2417,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
2418,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
2419,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
2420,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
2421,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2422,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
2423,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
2424,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
2425,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
2426,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
2427,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
2428,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
2429,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
2430,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
2431,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
2432,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
2433,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
2434,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
2435,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
2436,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
2437,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2438,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
2439,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
2440,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
2441,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
2442,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2443,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2444,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2445,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
2446,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2447,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2448,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2449,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2450,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2451,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2452,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2453,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
2454,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2455,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
2456,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
2457,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
2458,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2459,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2460,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
2461,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
2462,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
2463,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2464,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2465,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2466,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2467,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
2468,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2469,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2470,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2471,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
