Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KTC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KTC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KTC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KTC_M_R
3625,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
3626,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
3627,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
3628,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
3629,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Grassland
3630,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
3631,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
3632,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
3633,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Built-up
3634,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
3635,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
3636,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
3637,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
3638,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
3639,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
3640,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
3641,Grassland,NULL,Forest,NULL,Non_Wetland,Cropland,Wetland,Grassland
3642,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
3643,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
3644,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
3645,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
3646,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
3647,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
3648,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
3649,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
3650,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
3651,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
3652,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
3653,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,NULL,Grassland
3654,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,NULL,Cropland
3655,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
3656,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Built-up
3657,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
3658,Grassland,NULL,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
3659,Grassland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
3660,Grassland,NULL,Forest,NULL,Non_Wetland,Water,NULL,Water
3661,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
3662,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Water,Forest
3663,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
3664,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
3665,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
3666,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
3667,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
3668,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Bareland
3669,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
3670,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
3671,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
3672,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
3673,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
3674,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Water,Grassland
3675,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
3676,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
3677,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Bareland
3678,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
3679,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
3680,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
3681,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Water
3682,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Grassland
3683,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3684,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Forest
3685,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3686,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3687,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
3688,Grassland,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
3689,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
3690,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
3691,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Grassland
3692,Grassland,NULL,Forest,Water,Non_Wetland,NULL,Wetland,Water
3693,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Grassland
3694,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
3695,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
3696,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Water,Forest
3697,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Grassland
3698,Grassland,NULL,Forest,Water,Non_Wetland,Water,Water,Water
3699,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
3700,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3701,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3702,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3703,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
3704,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3705,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3706,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
3707,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
3708,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3709,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3710,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Cropland
3711,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
3712,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Grassland
3713,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Cropland
3714,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Water
3715,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Forest
3716,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
3717,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
3718,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3719,Grassland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3720,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3721,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
3722,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
3723,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
3724,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Water
3725,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3726,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3727,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
3728,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
3729,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3730,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3731,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
3732,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
3733,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
3734,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
3735,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Forest
3736,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
3737,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
3738,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
3739,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
3740,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
3741,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
3742,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
3743,Grassland,Cropland,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
3744,Grassland,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
3745,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
3746,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
3747,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
3748,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
3749,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
3750,Grassland,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
3751,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
3752,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
3753,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
3754,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
3755,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
3756,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
3757,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
3758,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
3759,Grassland,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3760,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
3761,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
3762,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
3763,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3764,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3765,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
3766,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
3767,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
3768,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3769,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3770,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
3771,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
3772,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3773,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
3774,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
3775,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
3776,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
3777,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3778,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3779,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3780,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3781,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3782,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3783,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3784,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3785,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3786,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3787,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3788,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3789,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3790,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3791,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
3792,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3793,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
3794,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3795,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
3796,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3797,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3798,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
3799,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
3800,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3801,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
3802,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3803,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3804,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
3805,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
3806,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3807,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3808,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
3809,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
3810,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Bareland
3811,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3812,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
3813,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
3814,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3815,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
3816,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
3817,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
3818,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
3819,Grassland,Cropland,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
3820,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3821,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3822,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
3823,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3824,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
3825,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
3826,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3827,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3828,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3829,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
3830,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3831,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3832,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
3833,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3834,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3835,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
3836,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
3837,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
3838,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
3839,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
3840,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
3841,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
3842,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
3843,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
3844,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
3845,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
3846,Grassland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3847,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3848,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3849,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
3850,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3851,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3852,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3853,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3854,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3855,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
3856,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3857,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3858,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3859,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
3860,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
3861,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3862,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
3863,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
3864,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
3865,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
3866,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
3867,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
3868,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
3869,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
3870,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3871,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3872,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
3873,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
3874,Grassland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
3875,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
3876,Grassland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3877,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
3878,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3879,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
3880,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
3881,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
3882,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
3883,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
3884,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
3885,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3886,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
3887,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
3888,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3889,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
3890,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
3891,Grassland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
3892,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
3893,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,Built-up,Grassland
3894,Grassland,Cropland,Cropland,NULL,Non_Wetland,Water,Water,Grassland
3895,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
3896,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
3897,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
3898,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
3899,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
3900,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Bareland
3901,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
3902,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Bareland,Grassland
3903,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
3904,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Cropland
3905,Grassland,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
3906,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3907,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
3908,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
3909,Grassland,Cropland,Cropland,Water,Non_Wetland,Grassland,Water,Grassland
3910,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
3911,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
3912,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3913,Grassland,Cropland,Bareland,Water,Non_Wetland,Grassland,Grassland,Forest
3914,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
3915,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
3916,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
3917,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
3918,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
3919,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
3920,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
3921,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
3922,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
3923,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
3924,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
3925,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
3926,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
3927,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
3928,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
3929,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Water
3930,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
3931,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
3932,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
3933,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
3934,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
3935,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
3936,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
3937,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
3938,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
3939,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
3940,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Cropland
