Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHJ_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Cropland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Bareland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Forest
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Cropland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Bareland
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Water
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Forest
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Cropland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Cropland
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Forest
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
67,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,Cropland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,Built-up
72,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
73,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Cropland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Built-up
80,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
81,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL
83,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
84,NULL,NULL,Wetland,Water,Wetland,NULL,Cropland
85,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
86,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
87,NULL,NULL,Wetland,Water,Wetland,NULL,Water
88,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
89,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Grassland
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Cropland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Bareland
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Built-up
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Water
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Forest
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Grassland
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Wetland
100,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Bareland
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Water
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,Forest
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Grassland
104,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Wetland
105,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Bareland
106,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Water
107,NULL,NULL,Bareland,Water,Non_Wetland,NULL,Forest
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
112,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Grassland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Built-up
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Forest
117,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Grassland
118,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Wetland
119,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Bareland
120,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Built-up
121,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Forest
122,NULL,NULL,Water,NULL,Water,NULL,Grassland
123,NULL,NULL,Water,NULL,Water,NULL,Wetland
124,NULL,NULL,Water,NULL,Water,NULL,Water
125,NULL,NULL,Water,NULL,Water,NULL,Forest
126,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
127,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
128,NULL,NULL,Water,Non_Water,Water,NULL,Forest
129,NULL,NULL,Water,Water,Water,NULL,Grassland
130,NULL,NULL,Water,Water,Water,NULL,Wetland
131,NULL,NULL,Water,Water,Water,NULL,Bareland
132,NULL,NULL,Water,Water,Water,NULL,Water
133,NULL,NULL,Water,Water,Water,NULL,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL
135,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
136,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
137,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
138,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
139,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
140,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
141,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Bareland
142,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
143,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
144,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
145,NULL,NULL,Forest,Water,Non_Wetland,NULL,Bareland
146,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
147,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
148,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
149,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
150,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up
151,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
152,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
153,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Grassland
154,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland
155,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL
156,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
157,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland
158,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up
159,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
160,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
161,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,Grassland
162,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,Wetland
163,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,Forest
164,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
165,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
166,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland
167,NULL,Cropland,Wetland,NULL,Wetland,NULL,Wetland
168,NULL,Cropland,Wetland,NULL,Wetland,NULL,Forest
169,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland
170,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Wetland
171,NULL,Cropland,Wetland,Water,Wetland,NULL,Grassland
172,NULL,Cropland,Wetland,Water,Wetland,NULL,Wetland
173,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Grassland
174,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Wetland
175,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Bareland
176,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Built-up
177,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,Wetland
178,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,Grassland
179,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
180,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up
181,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
182,NULL,Cropland,Water,NULL,Water,NULL,Wetland
183,NULL,Cropland,Water,Water,Water,NULL,Wetland
184,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
185,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
186,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland
187,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland
188,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland
189,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Grassland
190,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Wetland
191,NULL,Wetland,NULL,Water,Non_Wetland,NULL,Grassland
192,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL
193,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
194,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
195,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
196,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Built-up
197,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
198,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
199,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
200,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
201,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
202,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Grassland
203,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Wetland
204,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
205,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Forest
206,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL
207,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
208,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Wetland
209,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Bareland
210,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Built-up
211,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
212,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
213,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Wetland
214,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,Forest
215,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Grassland
216,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Wetland
217,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,Forest
218,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
219,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest
220,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,Grassland
221,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL
222,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
223,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
224,NULL,Wetland,Wetland,NULL,Wetland,NULL,Bareland
225,NULL,Wetland,Wetland,NULL,Wetland,NULL,Built-up
226,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
227,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL
228,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Grassland
229,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
230,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Built-up
231,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Forest
232,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL
233,NULL,Wetland,Wetland,Water,Wetland,NULL,Grassland
234,NULL,Wetland,Wetland,Water,Wetland,NULL,Cropland
235,NULL,Wetland,Wetland,Water,Wetland,NULL,Wetland
236,NULL,Wetland,Wetland,Water,Wetland,NULL,Bareland
237,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
238,NULL,Wetland,Wetland,Water,Wetland,NULL,Forest
239,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Grassland
240,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Wetland
241,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Bareland
242,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Built-up
243,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,Forest
244,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Grassland
245,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,Wetland
246,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,Grassland
247,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,Forest
248,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Grassland
249,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Bareland
250,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Built-up
251,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Forest
252,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
253,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,Bareland
254,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,Grassland
255,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,Bareland
256,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,Forest
257,NULL,Wetland,Water,NULL,Water,NULL,Grassland
258,NULL,Wetland,Water,NULL,Water,NULL,Wetland
259,NULL,Wetland,Water,Non_Water,Water,NULL,Grassland
260,NULL,Wetland,Water,Non_Water,Water,NULL,Wetland
261,NULL,Wetland,Water,Water,Water,NULL,Grassland
262,NULL,Wetland,Water,Water,Water,NULL,Wetland
263,NULL,Wetland,Water,Water,Water,NULL,Forest
264,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL
265,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
266,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
267,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
268,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL
269,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
270,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Wetland
271,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Forest
272,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Grassland
273,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Wetland
274,NULL,Wetland,Forest,Water,Non_Wetland,NULL,Forest
275,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,Bareland
276,NULL,Bareland,NULL,Water,Non_Wetland,NULL,Bareland
277,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
278,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
279,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Bareland
280,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,Grassland
281,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,Grassland
282,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
283,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Bareland
284,NULL,Bareland,Wetland,Water,Wetland,NULL,Grassland
285,NULL,Bareland,Wetland,Water,Wetland,NULL,Bareland
286,NULL,Bareland,Wetland,Water,Wetland,NULL,Water
287,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Grassland
288,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,Bareland
289,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,Bareland
290,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,Bareland
291,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Grassland
292,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Bareland
293,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Built-up
294,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,Grassland
295,NULL,Bareland,Built-up,Non_Water,Non_Wetland,NULL,Bareland
296,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,Bareland
297,NULL,Bareland,Water,Water,Water,NULL,Bareland
298,NULL,Bareland,Water,Water,Water,NULL,Water
299,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
300,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up
301,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Forest
302,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL
303,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland
304,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Cropland
305,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland
306,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up
307,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Forest
308,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
309,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Built-up
310,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,Forest
311,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Grassland
312,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Bareland
313,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Built-up
314,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,Forest
315,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL
316,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland
317,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland
318,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up
319,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest
320,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Grassland
321,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Forest
322,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Grassland
323,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Bareland
324,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,Forest
325,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland
326,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland
327,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up
328,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest
329,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,Forest
330,NULL,Built-up,Wetland,NULL,Wetland,NULL,Grassland
331,NULL,Built-up,Wetland,NULL,Wetland,NULL,Built-up
332,NULL,Built-up,Wetland,NULL,Wetland,NULL,Forest
333,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Grassland
334,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Bareland
335,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Forest
336,NULL,Built-up,Wetland,Water,Wetland,NULL,Grassland
337,NULL,Built-up,Wetland,Water,Wetland,NULL,Wetland
338,NULL,Built-up,Wetland,Water,Wetland,NULL,Forest
339,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Grassland
340,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Bareland
341,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Built-up
342,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,Forest
343,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,Forest
344,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL
345,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland
346,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Cropland
347,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland
348,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up
349,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Forest
350,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Grassland
351,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Bareland
352,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Built-up
353,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Forest
354,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Grassland
355,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Bareland
356,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Built-up
357,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Forest
358,NULL,Built-up,Water,Non_Water,Water,NULL,Forest
359,NULL,Built-up,Water,Water,Water,NULL,Forest
360,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland
361,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up
362,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest
363,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,Forest
364,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Forest
365,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland
366,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland
367,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest
368,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
369,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Forest
370,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Grassland
371,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Wetland
372,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Bareland
373,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Forest
374,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Grassland
375,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Bareland
376,NULL,Water,Grassland,NULL,Non_Wetland,NULL,Forest
377,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,Grassland
