Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NRL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NRL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NRL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NRL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NRL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NRL_M_R
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Bareland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,NULL
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Bareland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Water
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,NULL
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Bareland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Forest
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Water
193,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
194,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
195,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
197,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
198,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
199,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
200,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Bareland
201,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
202,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Bareland
203,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
204,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
205,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
206,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
207,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
209,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
210,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
211,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Bareland
212,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Water
213,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Forest
214,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,NULL
215,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
216,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
217,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
218,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,NULL
219,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
220,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
221,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,NULL
222,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
223,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Bareland
224,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Water
225,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Forest
226,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Forest
227,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
228,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
229,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Bareland
230,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Water
231,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
232,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
233,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Bareland
234,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
235,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
237,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
238,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
239,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
240,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
241,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,NULL
242,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
243,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,NULL
244,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
245,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Bareland
246,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Water
247,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,NULL
248,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
249,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Bareland
250,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
251,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
252,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
253,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
254,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
255,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
256,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
257,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
258,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
259,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
260,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
262,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
263,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
265,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
266,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
269,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
272,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
275,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
276,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
277,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
279,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
282,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
283,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Bareland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Bareland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
287,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,NULL
290,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
291,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,NULL
293,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Grassland
297,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
300,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
301,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
302,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
303,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
305,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Water
306,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
308,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
309,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
310,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
312,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
313,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
317,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
319,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
321,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
322,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
