Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MPP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MPP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MPP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MPP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MPP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MPP_M_R
123,NULL,NULL,Forest,Water,Non_Wetland,Cropland
124,NULL,NULL,Forest,Water,Non_Wetland,Bareland
125,NULL,NULL,Forest,Water,Non_Wetland,Water
126,NULL,NULL,Forest,Water,Non_Wetland,Forest
127,NULL,Cropland,NULL,NULL,Non_Wetland,NULL
128,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland
129,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
136,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
137,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Cropland
138,NULL,Cropland,Shrubland,Water,Non_Wetland,Bareland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
140,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
141,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
142,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
143,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
144,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
145,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Grassland
146,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Cropland
147,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
148,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL
149,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
150,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
151,NULL,Cropland,Cropland,NULL,Non_Wetland,Wetland
152,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
153,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
154,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
155,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
156,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
157,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Cropland
158,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Bareland
159,NULL,Cropland,Wetland,NULL,Wetland,Cropland
160,NULL,Cropland,Wetland,Non_Water,Wetland,Grassland
161,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL
162,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
163,NULL,Cropland,Bareland,NULL,Non_Wetland,Cropland
164,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
165,NULL,Cropland,Bareland,NULL,Non_Wetland,Built-up
166,NULL,Cropland,Bareland,NULL,Non_Wetland,Water
167,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
168,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL
169,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
170,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Cropland
171,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
172,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Water
173,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Forest
174,NULL,Cropland,Bareland,Water,Non_Wetland,Cropland
175,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
176,NULL,Cropland,Bareland,Water,Non_Wetland,Water
177,NULL,Cropland,Bareland,Water,Non_Wetland,Forest
178,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL
179,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
180,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
181,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
182,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
183,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
184,NULL,Cropland,Water,NULL,Water,Bareland
185,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
186,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
187,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
188,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland
189,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
190,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
191,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
192,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
193,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
194,NULL,Cropland,Forest,Water,Non_Wetland,Cropland
195,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL
196,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
197,NULL,Bareland,Shrubland,NULL,Non_Wetland,Cropland
198,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
199,NULL,Bareland,Shrubland,NULL,Non_Wetland,Built-up
200,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
201,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL
202,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
203,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
204,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Built-up
205,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
206,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
207,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
208,NULL,Bareland,Shrubland,Water,Non_Wetland,Built-up
209,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
210,NULL,Bareland,Shrubland,Water,Non_Wetland,Forest
211,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL
212,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
213,NULL,Bareland,Grassland,NULL,Non_Wetland,Cropland
214,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland
215,NULL,Bareland,Grassland,NULL,Non_Wetland,Built-up
216,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
217,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland
218,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL
219,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
220,NULL,Bareland,Cropland,NULL,Non_Wetland,Cropland
221,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
222,NULL,Bareland,Cropland,NULL,Non_Wetland,Built-up
223,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
224,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
225,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL
226,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
227,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
228,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Built-up
229,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
230,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
231,NULL,Bareland,Cropland,Water,Non_Wetland,Cropland
232,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
233,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
234,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
235,NULL,Bareland,Wetland,Water,Wetland,Bareland
236,NULL,Bareland,Wetland,Water,Wetland,Forest
237,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL
238,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
239,NULL,Bareland,Bareland,NULL,Non_Wetland,Cropland
240,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
241,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
242,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
243,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
244,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL
245,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
246,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
247,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Built-up
248,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
249,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
250,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
251,NULL,Bareland,Bareland,Water,Non_Wetland,Built-up
252,NULL,Bareland,Bareland,Water,Non_Wetland,Water
253,NULL,Bareland,Bareland,Water,Non_Wetland,Forest
254,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL
255,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland
256,NULL,Bareland,Built-up,NULL,Non_Wetland,Cropland
257,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
258,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
259,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
260,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
261,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Built-up
262,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
263,NULL,Bareland,Built-up,Water,Non_Wetland,Built-up
264,NULL,Bareland,Water,NULL,Water,Bareland
265,NULL,Bareland,Water,NULL,Water,Water
266,NULL,Bareland,Water,NULL,Water,Forest
267,NULL,Bareland,Water,Water,Water,Grassland
268,NULL,Bareland,Water,Water,Water,Bareland
269,NULL,Bareland,Forest,NULL,Non_Wetland,NULL
270,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
271,NULL,Bareland,Forest,NULL,Non_Wetland,Cropland
272,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
273,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
274,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
275,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
276,NULL,Bareland,Forest,Non_Water,Non_Wetland,Built-up
277,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
278,NULL,Bareland,Forest,Water,Non_Wetland,Water
279,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland
280,NULL,Built-up,NULL,NULL,Non_Wetland,Cropland
281,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland
282,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
283,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
284,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
285,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland
286,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
287,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
288,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
289,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
290,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL
291,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
292,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Cropland
293,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
294,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
295,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
296,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland
297,NULL,Built-up,Shrubland,Water,Non_Wetland,Cropland
298,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland
299,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up
300,NULL,Built-up,Shrubland,Water,Non_Wetland,Water
301,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
302,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL
303,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
304,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
305,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
306,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
307,NULL,Built-up,Grassland,NULL,Non_Wetland,Water
308,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
309,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL
310,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland
311,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Bareland
312,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Built-up
313,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
314,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL
315,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
316,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland
317,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland
318,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up
319,NULL,Built-up,Cropland,NULL,Non_Wetland,Water
320,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest
321,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL
322,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland
323,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Cropland
324,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland
325,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up
326,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Forest
327,NULL,Built-up,Cropland,Water,Non_Wetland,Grassland
328,NULL,Built-up,Cropland,Water,Non_Wetland,Cropland
329,NULL,Built-up,Cropland,Water,Non_Wetland,Bareland
330,NULL,Built-up,Cropland,Water,Non_Wetland,Built-up
331,NULL,Built-up,Cropland,Water,Non_Wetland,Water
332,NULL,Built-up,Cropland,Water,Non_Wetland,Forest
333,NULL,Built-up,Wetland,NULL,Wetland,NULL
334,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland
335,NULL,Built-up,Wetland,Water,Wetland,Cropland
336,NULL,Built-up,Wetland,Water,Wetland,Bareland
337,NULL,Built-up,Wetland,Water,Wetland,Water
338,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL
339,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland
340,NULL,Built-up,Bareland,NULL,Non_Wetland,Cropland
341,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland
342,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up
343,NULL,Built-up,Bareland,NULL,Non_Wetland,Water
344,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest
345,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL
346,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Grassland
347,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Cropland
348,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland
349,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up
350,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water
351,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Forest
352,NULL,Built-up,Bareland,Water,Non_Wetland,Grassland
353,NULL,Built-up,Bareland,Water,Non_Wetland,Cropland
354,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland
355,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up
356,NULL,Built-up,Bareland,Water,Non_Wetland,Water
357,NULL,Built-up,Bareland,Water,Non_Wetland,Forest
358,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL
359,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland
360,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland
361,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland
362,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up
363,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest
364,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland
365,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland
366,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up
367,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest
368,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland
369,NULL,Built-up,Built-up,Water,Non_Wetland,Cropland
370,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland
371,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up
372,NULL,Built-up,Built-up,Water,Non_Wetland,Forest
373,NULL,Built-up,Water,NULL,Water,Grassland
374,NULL,Built-up,Water,NULL,Water,Bareland
375,NULL,Built-up,Water,NULL,Water,Built-up
376,NULL,Built-up,Water,NULL,Water,Water
377,NULL,Built-up,Water,NULL,Water,Forest
378,NULL,Built-up,Water,Non_Water,Water,Cropland
379,NULL,Built-up,Water,Non_Water,Water,Bareland
380,NULL,Built-up,Water,Non_Water,Water,Forest
381,NULL,Built-up,Water,Water,Water,Grassland
382,NULL,Built-up,Water,Water,Water,Cropland
383,NULL,Built-up,Water,Water,Water,Bareland
384,NULL,Built-up,Water,Water,Water,Water
385,NULL,Built-up,Water,Water,Water,Forest
386,NULL,Built-up,Forest,NULL,Non_Wetland,NULL
387,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland
388,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland
389,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland
390,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up
391,NULL,Built-up,Forest,NULL,Non_Wetland,Water
392,NULL,Built-up,Forest,NULL,Non_Wetland,Forest
393,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
394,NULL,Built-up,Forest,Non_Water,Non_Wetland,Cropland
395,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland
396,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
397,NULL,Built-up,Forest,Water,Non_Wetland,Grassland
398,NULL,Built-up,Forest,Water,Non_Wetland,Cropland
399,NULL,Built-up,Forest,Water,Non_Wetland,Bareland
400,NULL,Built-up,Forest,Water,Non_Wetland,Built-up
401,NULL,Built-up,Forest,Water,Non_Wetland,Water
402,NULL,Built-up,Forest,Water,Non_Wetland,Forest
403,NULL,Water,Shrubland,NULL,Non_Wetland,NULL
404,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
405,NULL,Water,Shrubland,NULL,Non_Wetland,Cropland
406,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland
407,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up
408,NULL,Water,Shrubland,NULL,Non_Wetland,Water
409,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
410,NULL,Water,Shrubland,Non_Water,Non_Wetland,Cropland
411,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest
412,NULL,Water,Shrubland,Water,Non_Wetland,Grassland
413,NULL,Water,Shrubland,Water,Non_Wetland,Water
414,NULL,Water,Grassland,NULL,Non_Wetland,NULL
415,NULL,Water,Grassland,NULL,Non_Wetland,Grassland
416,NULL,Water,Grassland,NULL,Non_Wetland,Cropland
417,NULL,Water,Grassland,NULL,Non_Wetland,Bareland
418,NULL,Water,Grassland,NULL,Non_Wetland,Water
419,NULL,Water,Grassland,NULL,Non_Wetland,Forest
420,NULL,Water,Cropland,NULL,Non_Wetland,NULL
421,NULL,Water,Cropland,NULL,Non_Wetland,Grassland
422,NULL,Water,Cropland,NULL,Non_Wetland,Cropland
423,NULL,Water,Cropland,NULL,Non_Wetland,Bareland
424,NULL,Water,Cropland,NULL,Non_Wetland,Forest
425,NULL,Water,Cropland,Non_Water,Non_Wetland,Grassland
