Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLT_M_R
4101,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Water,Built-up
4102,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,Water,Forest
4103,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Shrubland,Built-up,Built-up
4104,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4105,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
4106,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Built-up,Cropland
4107,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Built-up,Built-up
4108,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Grassland,Water,Grassland
4109,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
4110,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Built-up
4111,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
4112,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
4113,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
4114,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Water
4115,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Forest
4116,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
4117,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
4118,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Built-up
4119,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Forest
4120,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
4121,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Built-up
4122,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Forest
4123,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
4124,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
4125,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Cropland
4126,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Bareland
4127,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
4128,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Forest
4129,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Water,Grassland
4130,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Water,Bareland
4131,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Water,Built-up
4132,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Water,Forest
4133,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,NULL,Forest
4134,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Built-up,Grassland
4135,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Built-up,Bareland
4136,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Built-up,Built-up
4137,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Built-up,Forest
4138,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Water,Grassland
4139,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Water,Bareland
4140,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Water,Water,Built-up
4141,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest,Built-up,Forest
4142,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest,Water,Grassland
4143,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Forest,Water,Built-up
4144,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
4145,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
4146,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Built-up,Grassland
4147,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Built-up,Built-up
4148,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,Water,Grassland
4149,NULL,Built-up,Built-up,Water,Non_Wetland,Grassland,Built-up,Grassland
4150,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
4151,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
4152,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Built-up
4153,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Forest
4154,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Built-up,Bareland
4155,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Built-up,Built-up
4156,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Water,Bareland
4157,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Grassland
4158,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Bareland
4159,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Built-up
4160,NULL,Built-up,Water,NULL,Water,NULL,Bareland,Forest
4161,NULL,Built-up,Water,NULL,Water,NULL,Water,Cropland
4162,NULL,Built-up,Water,NULL,Water,Grassland,Water,Grassland
4163,NULL,Built-up,Water,NULL,Water,Wetland,Water,Built-up
4164,NULL,Built-up,Water,NULL,Water,Bareland,Water,Forest
4165,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Grassland
4166,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Water
4167,NULL,Built-up,Water,Non_Water,Water,Bareland,Water,Built-up
4168,NULL,Built-up,Water,Non_Water,Water,Bareland,Water,Forest
4169,NULL,Built-up,Water,Non_Water,Water,Water,Water,Bareland
4170,NULL,Built-up,Water,Water,Water,NULL,Water,Water
4171,NULL,Built-up,Water,Water,Water,Grassland,Water,Grassland
4172,NULL,Built-up,Water,Water,Water,Water,Water,Built-up
4173,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
4174,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4175,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
4176,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
4177,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4178,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
4179,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
4180,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
4181,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
4182,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
4183,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,NULL
4184,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
4185,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
4186,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Grassland
4187,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Built-up
4188,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
4189,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Water,Forest
4190,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,NULL
4191,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
4192,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
4193,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Built-up
4194,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Forest,Forest
4195,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
4196,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Built-up
4197,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
4198,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
4199,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4200,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
4201,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Grassland,NULL
4202,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Bareland,Grassland
4203,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Grassland
4204,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Built-up,Forest
4205,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Water,Forest
4206,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
4207,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
4208,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4209,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Built-up
4210,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
4211,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
4212,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4213,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
4214,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
4215,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
4216,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,NULL
4217,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
4218,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Cropland
4219,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
4220,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
4221,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
4222,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Built-up
4223,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
4224,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
4225,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
4226,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
4227,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
4228,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Built-up
4229,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
4230,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
4231,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
4232,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
4233,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
4234,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
4235,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4236,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Built-up
4237,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
4238,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Water
4239,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
4240,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
4241,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
4242,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
4243,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Water
4244,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
4245,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,Forest
4246,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
4247,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
4248,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,NULL
4249,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Cropland
4250,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Built-up
4251,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
4252,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Grassland
4253,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Built-up
4254,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Bareland
4255,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,NULL
4256,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
4257,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Built-up
4258,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
4259,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Grassland
4260,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Built-up
4261,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
4262,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Built-up,Forest
4263,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,NULL
4264,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
4265,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
4266,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
4267,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
4268,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
4269,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
4270,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
4271,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
4272,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,NULL
4273,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Grassland
4274,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Built-up
4275,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Built-up,Forest
4276,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Water,Forest
4277,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,NULL
4278,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
4279,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Built-up
4280,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
4281,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
4282,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,NULL,Grassland
4283,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Water,Grassland
4284,NULL,Built-up,Forest,Non_Water,Non_Wetland,Bareland,Forest,Bareland
4285,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest,NULL,Forest
4286,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest,Built-up,Forest
4287,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
4288,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4289,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4290,NULL,Water,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
4291,NULL,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4292,NULL,Water,NULL,NULL,Non_Wetland,NULL,Water,Grassland
4293,NULL,Water,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
4294,NULL,Water,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4295,NULL,Water,NULL,NULL,Non_Wetland,Shrubland,Water,Water
4296,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4297,NULL,Water,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
4298,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
4299,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
4300,NULL,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
4301,NULL,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
4302,NULL,Water,NULL,NULL,Non_Wetland,Forest,Water,Forest
4303,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
4304,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Built-up,Bareland
4305,NULL,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
4306,NULL,Water,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
4307,NULL,Water,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
4308,NULL,Water,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
4309,NULL,Water,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
4310,NULL,Water,NULL,Water,Non_Wetland,NULL,Water,Grassland
4311,NULL,Water,NULL,Water,Non_Wetland,NULL,Forest,Forest
4312,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4313,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4314,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4315,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
4316,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4317,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
4318,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland,Water
4319,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
4320,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
4321,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Water
4322,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
4323,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
4324,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
4325,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4326,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
4327,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
4328,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4329,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4330,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
4331,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
4332,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
4333,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4334,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
4335,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
4336,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
4337,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4338,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4339,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
4340,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
4341,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
4342,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4343,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
4344,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
4345,NULL,Water,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
4346,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
4347,NULL,Water,Shrubland,NULL,Non_Wetland,Water,NULL,Built-up
4348,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
4349,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
4350,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4351,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
4352,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
4353,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
4354,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4355,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
4356,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Cropland
4357,NULL,Water,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Grassland
4358,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4359,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
4360,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Forest
4361,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
4362,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
4363,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Forest
4364,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
4365,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Built-up,Grassland
4366,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
4367,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Bareland
4368,NULL,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
4369,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest,Water,Grassland
4370,NULL,Water,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Grassland
4371,NULL,Water,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
4372,NULL,Water,Shrubland,Water,Non_Wetland,Grassland,Water,NULL
4373,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
4374,NULL,Water,Shrubland,Water,Non_Wetland,Water,NULL,Grassland
4375,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Grassland
4376,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4377,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4378,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4379,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
4380,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Water
4381,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4382,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
4383,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
4384,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4385,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4386,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4387,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
4388,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
4389,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
4390,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
4391,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
4392,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Water,Water
4393,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Water,Forest
4394,NULL,Water,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
4395,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
4396,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4397,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
4398,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Water,Forest
4399,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
4400,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4401,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
4402,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4403,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4404,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
4405,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4406,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
4407,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,NULL,Built-up
4408,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4409,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
4410,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
4411,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
4412,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
4413,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
4414,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4415,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Wetland,Water
4416,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
4417,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
4418,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
4419,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
4420,NULL,Water,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
4421,NULL,Water,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
4422,NULL,Water,Cropland,NULL,Non_Wetland,Water,NULL,Bareland
4423,NULL,Water,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
4424,NULL,Water,Cropland,NULL,Non_Wetland,Water,Built-up,Bareland
4425,NULL,Water,Cropland,NULL,Non_Wetland,Water,Water,Bareland
4426,NULL,Water,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
4427,NULL,Water,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
4428,NULL,Water,Cropland,NULL,Non_Wetland,Forest,Wetland,Forest
4429,NULL,Water,Cropland,NULL,Non_Wetland,Forest,Water,Forest
4430,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
