Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKD_M_R
80,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
81,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
82,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
83,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
84,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,Forest
86,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
88,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
89,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
92,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
93,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
94,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Wetland
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Water,Grassland
97,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
98,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
99,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
100,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
101,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
102,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
103,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
104,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
105,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
106,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
107,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
108,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
109,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water,Wetland,Grassland
110,NULL,NULL,Built-up,Water,Non_Wetland,Water,Wetland,Grassland
111,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
112,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
113,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Water
114,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
115,NULL,NULL,Water,NULL,Water,Wetland,Forest,Grassland
116,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Forest
117,NULL,NULL,Water,NULL,Water,Water,Wetland,Grassland
118,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
119,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
120,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Grassland
121,NULL,NULL,Water,Non_Water,Water,Water,Water,Wetland
122,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
123,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
124,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
125,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
126,NULL,NULL,Water,Water,Water,Wetland,Water,Water
127,NULL,NULL,Water,Water,Water,Wetland,Water,Forest
128,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
129,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
130,NULL,NULL,Water,Water,Water,Water,Water,Grassland
131,NULL,NULL,Water,Water,Water,Water,Water,Water
132,NULL,NULL,Water,Water,Water,Water,Water,Forest
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
135,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
136,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
138,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
139,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
140,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
141,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
142,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
143,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
144,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
145,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
146,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
147,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
148,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
149,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
150,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
151,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
152,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
153,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
154,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Wetland
155,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
156,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
157,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
158,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
160,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
161,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
162,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
163,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
164,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
165,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
166,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
168,NULL,Wetland,Grassland,Water,Non_Wetland,Wetland,Wetland,Forest
169,NULL,Wetland,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
170,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
171,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
172,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
173,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
174,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
175,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
176,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
177,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
178,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
179,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
180,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Forest
181,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
182,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
183,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Grassland
184,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Wetland
185,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Water,Forest
186,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
187,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
188,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
189,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
190,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
191,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
192,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
193,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
194,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
195,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
196,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
197,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Water
198,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
199,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
200,NULL,Wetland,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
201,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
203,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
204,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
205,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
206,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Wetland,Grassland
207,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Water,Grassland
208,NULL,Wetland,Bareland,Water,Non_Wetland,Water,Water,Forest
209,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
210,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
211,NULL,Wetland,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Forest
212,NULL,Wetland,Water,NULL,Water,Wetland,Wetland,Forest
213,NULL,Wetland,Water,NULL,Water,Wetland,Water,Forest
214,NULL,Wetland,Water,Non_Water,Water,Wetland,Wetland,Grassland
215,NULL,Wetland,Water,Non_Water,Water,Wetland,Wetland,Wetland
216,NULL,Wetland,Water,Non_Water,Water,Wetland,Wetland,Forest
217,NULL,Wetland,Water,Non_Water,Water,Water,Wetland,Grassland
218,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
219,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
220,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Water
221,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Forest
222,NULL,Wetland,Water,Water,Water,Wetland,Water,Grassland
223,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
224,NULL,Wetland,Water,Water,Water,Water,Wetland,Grassland
225,NULL,Wetland,Water,Water,Water,Water,Wetland,Wetland
226,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
227,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
228,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
229,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
230,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
231,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
232,NULL,Wetland,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
233,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
234,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
235,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
236,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
237,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
238,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
239,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
240,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
241,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
242,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
243,NULL,Built-up,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
244,NULL,Built-up,NULL,Water,Non_Wetland,Built-up,Built-up,Water
245,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
246,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
247,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
248,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
249,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
250,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
251,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
252,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
253,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
254,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Bareland
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Forest
258,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
259,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
260,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
261,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
262,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
263,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
264,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Water,Grassland
265,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
266,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Forest
267,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
268,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Water,Bareland
269,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Grassland
270,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Water
271,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Water,Water
272,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
273,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
274,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
275,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
276,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
277,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
278,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
279,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
280,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
281,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
282,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
283,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
284,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
285,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
286,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Wetland,Forest
287,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
288,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
289,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
290,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
291,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
292,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
293,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
294,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Built-up,Forest
295,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
296,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
297,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
298,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,Forest
299,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Built-up,Forest
300,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Wetland,Forest
301,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Built-up,Forest
302,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Wetland,Forest
303,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Bareland,Forest
304,NULL,Built-up,Wetland,NULL,Wetland,Built-up,Built-up,Forest
305,NULL,Built-up,Wetland,Non_Water,Wetland,Built-up,Built-up,Forest
306,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Forest
307,NULL,Built-up,Wetland,Water,Wetland,Built-up,Built-up,Water
308,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
309,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Built-up,Forest
310,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
311,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Forest
312,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Bareland,Forest
313,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Water
314,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Water,Forest
315,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
316,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up,Built-up,Water
317,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Built-up,Water,Water
318,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Water,Built-up,Water
319,NULL,Built-up,Bareland,Water,Non_Wetland,Bareland,Water,Forest
320,NULL,Built-up,Bareland,Water,Non_Wetland,Built-up,Water,Water
321,NULL,Built-up,Bareland,Water,Non_Wetland,Water,Built-up,Water
322,NULL,Built-up,Bareland,Water,Non_Wetland,Water,Water,Water
323,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Wetland,Forest
324,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Bareland,Forest
325,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Grassland
326,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
327,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Water,Forest
328,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
329,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
330,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Built-up
331,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Forest
332,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
333,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
334,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
335,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
