Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LVE_M_R
2607,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Bareland,Cropland
2608,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Bareland,Forest
2609,NULL,Built-up,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
2610,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
2611,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
2612,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
2613,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,NULL
2614,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
2615,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Cropland
2616,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
2617,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
2618,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
2619,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
2620,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2621,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
2622,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
2623,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2624,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Cropland
2625,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
2626,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2627,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
2628,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
2629,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
2630,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,NULL
2631,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
2632,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Cropland
2633,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
2634,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
2635,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2636,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
2637,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
2638,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Forest,Grassland
2639,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2640,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
2641,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
2642,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
2643,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2644,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2645,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
2646,NULL,Water,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
2647,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
2648,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
2649,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2650,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2651,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2652,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2653,NULL,Water,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2654,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2655,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
2656,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2657,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2658,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2659,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
2660,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
2661,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
2662,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
2663,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
2664,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
2665,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
2666,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2667,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
2668,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2669,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2670,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
2671,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
2672,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
2673,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
2674,NULL,Water,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
2675,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2676,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
2677,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2678,NULL,Water,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2679,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2680,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2681,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2682,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2683,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2684,NULL,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
2685,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2686,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
2687,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
2688,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2689,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
2690,NULL,Water,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
2691,NULL,Water,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
2692,NULL,Water,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
2693,NULL,Water,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
2694,NULL,Water,Wetland,NULL,Wetland,Grassland,NULL,Water
2695,NULL,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
2696,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Grassland
2697,NULL,Water,Wetland,NULL,Wetland,Bareland,NULL,Grassland
2698,NULL,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
2699,NULL,Water,Wetland,Non_Water,Wetland,Bareland,Grassland,Bareland
2700,NULL,Water,Water,NULL,Water,Grassland,Grassland,Grassland
2701,NULL,Water,Water,NULL,Water,Grassland,Bareland,Forest
2702,NULL,Water,Water,NULL,Water,Wetland,Bareland,Water
2703,NULL,Water,Water,NULL,Water,Bareland,Grassland,Grassland
2704,NULL,Water,Water,NULL,Water,Bareland,Grassland,Water
2705,NULL,Water,Water,NULL,Water,Bareland,Wetland,Grassland
2706,NULL,Water,Water,NULL,Water,Bareland,Wetland,Bareland
2707,NULL,Water,Water,NULL,Water,Bareland,Water,Grassland
2708,NULL,Water,Water,NULL,Water,Bareland,Water,Bareland
2709,NULL,Water,Water,NULL,Water,Water,Shrubland,Water
2710,NULL,Water,Water,NULL,Water,Water,Water,Water
2711,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2712,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
2713,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
2714,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
2715,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2716,NULL,Water,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2717,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
2718,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2719,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2720,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
2721,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
2722,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2723,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
2724,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2725,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
2726,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
2727,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
2728,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2729,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2730,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2731,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
2732,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2733,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
2734,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
2735,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
2736,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
2737,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
2738,NULL,Forest,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
2739,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
2740,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2741,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2742,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
2743,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2744,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
2745,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2746,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2747,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2748,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2749,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
2750,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
2751,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
2752,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
2753,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2754,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2755,NULL,Forest,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
2756,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
2757,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
2758,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2759,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
2760,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2761,NULL,Forest,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
2762,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
2763,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2764,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
2765,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
2766,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
2767,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2768,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
2769,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2770,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
2771,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
2772,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
2773,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
2774,NULL,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
2775,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
2776,NULL,Forest,NULL,NULL,Non_Wetland,Forest,NULL,Forest
2777,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2778,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,NULL
2779,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
2780,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2781,NULL,Forest,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
2782,NULL,Forest,NULL,Water,Non_Wetland,Wetland,Shrubland,Wetland
2783,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2784,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2785,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
2786,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
2787,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2788,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
2789,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
2790,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
2791,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2792,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
2793,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
2794,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
2795,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
2796,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
2797,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
2798,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
2799,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2800,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2801,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2802,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2803,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2804,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2805,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2806,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2807,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2808,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
2809,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2810,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
2811,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2812,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
2813,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
2814,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2815,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
2816,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
2817,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2818,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
2819,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
2820,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
2821,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
2822,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
2823,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2824,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2825,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2826,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2827,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
2828,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2829,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2830,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
2831,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2832,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
2833,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
2834,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2835,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
2836,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
2837,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
2838,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2839,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
2840,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
2841,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
2842,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
2843,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
2844,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2845,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
2846,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
2847,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
2848,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
2849,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2850,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
2851,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
2852,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
2853,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
2854,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
2855,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
2856,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
2857,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
2858,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
2859,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
2860,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
2861,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
2862,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
2863,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
2864,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2865,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
2866,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2867,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2868,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
2869,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2870,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2871,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2872,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
2873,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
2874,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2875,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
2876,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
2877,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2878,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
2879,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
2880,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
2881,NULL,Forest,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
2882,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Cropland
2883,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
2884,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
2885,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
2886,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
2887,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
2888,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
2889,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
2890,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
2891,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2892,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
2893,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2894,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2895,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2896,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
2897,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2898,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
2899,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2900,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
2901,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
2902,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
2903,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
2904,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
2905,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
2906,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2907,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
2908,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2909,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2910,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2911,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2912,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2913,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2914,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2915,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
2916,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2917,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
2918,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
2919,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2920,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
2921,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
2922,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2923,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2924,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2925,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2926,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
2927,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2928,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2929,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2930,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2931,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
2932,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
