Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KHG_M_R
2284,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
2285,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Forest,Grassland
2286,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,NULL,Forest
2287,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
2288,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
2289,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,NULL
2290,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
2291,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,NULL
2292,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
2293,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Forest,NULL
2294,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,NULL,Grassland
2295,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,NULL
2296,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
2297,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,NULL
2298,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
2299,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Bareland,Forest
2300,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Forest,Water
2301,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
2302,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Water
2303,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Shrubland,Grassland
2304,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Wetland
2305,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Water,Wetland
2306,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Water,Grassland
2307,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest,Forest,Forest
2308,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
2309,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
2310,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
2311,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
2312,NULL,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,Wetland
2313,NULL,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,Water
2314,NULL,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,Forest
2315,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland,Wetland
2316,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water,Grassland
2317,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water,Wetland
2318,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Grassland
2319,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Wetland
2320,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,NULL
2321,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Grassland
2322,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Wetland
2323,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Water
2324,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Forest
2325,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Wetland,Grassland
2326,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Wetland,Wetland
2327,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Water,Grassland
2328,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Water,Water
2329,NULL,NULL,Forest,Water,Non_Wetland,Shrubland,Forest,Water
2330,NULL,NULL,Forest,Water,Non_Wetland,Grassland,NULL,Grassland
2331,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Shrubland,Grassland
2332,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Shrubland,Wetland
2333,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
2334,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Grassland
2335,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Water,Water
2336,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Forest,Grassland
2337,NULL,NULL,Forest,Water,Non_Wetland,Wetland,NULL,NULL
2338,NULL,NULL,Forest,Water,Non_Wetland,Wetland,NULL,Water
2339,NULL,NULL,Forest,Water,Non_Wetland,Wetland,NULL,Forest
2340,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Shrubland,Grassland
2341,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Shrubland,Forest
2342,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,NULL
2343,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Wetland
2344,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Water
2345,NULL,NULL,Forest,Water,Non_Wetland,Bareland,NULL,Water
2346,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Wetland,Wetland
2347,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Water,Grassland
2348,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Water,Wetland
2349,NULL,NULL,Forest,Water,Non_Wetland,Bareland,Water,Water
2350,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Grassland
2351,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Wetland
2352,NULL,NULL,Forest,Water,Non_Wetland,Water,NULL,Forest
2353,NULL,NULL,Forest,Water,Non_Wetland,Water,Shrubland,Water
2354,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
2355,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Water
2356,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Forest
2357,NULL,NULL,Forest,Water,Non_Wetland,Water,Forest,Water
2358,NULL,NULL,Forest,Water,Non_Wetland,Forest,Water,Grassland
2359,NULL,NULL,Forest,Water,Non_Wetland,Forest,Water,Water
2360,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
2361,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2362,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2363,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2364,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2365,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
2366,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2367,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
2368,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
2369,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
2370,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Bareland
2371,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
2372,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
2373,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2374,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
2375,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
2376,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Bareland
2377,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2378,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2379,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
2380,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,NULL
2381,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
2382,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
2383,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
2384,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Grassland
2385,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,NULL
2386,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
2387,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
2388,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2389,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
2390,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
2391,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
2392,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
2393,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2394,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2395,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
2396,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
2397,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
2398,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2399,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
2400,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2401,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
2402,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
2403,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2404,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
2405,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
2406,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
2407,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
2408,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
2409,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
2410,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
2411,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
2412,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
2413,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2414,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
2415,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
2416,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
2417,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2418,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
2419,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2420,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2421,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
2422,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2423,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
2424,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2425,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2426,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
2427,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
2428,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
2429,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2430,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
2431,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2432,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
2433,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
2434,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
2435,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
2436,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
2437,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
2438,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
2439,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
2440,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Water,Water
2441,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
2442,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2443,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
2444,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2445,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
2446,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
2447,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
2448,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
2449,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
2450,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2451,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
2452,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
2453,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
2454,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
2455,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
2456,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
2457,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
2458,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
2459,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
2460,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
2461,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
2462,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
2463,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
2464,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
2465,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
2466,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
2467,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
2468,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
2469,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
2470,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
2471,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
2472,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
2473,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
2474,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
2475,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
2476,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2477,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
2478,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2479,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
2480,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
2481,NULL,Cropland,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
2482,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
2483,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2484,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
2485,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
2486,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Water
2487,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
2488,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
2489,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2490,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2491,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2492,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
2493,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
2494,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2495,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
2496,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
2497,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
2498,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
2499,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
2500,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
2501,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
2502,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
2503,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
2504,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
2505,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
2506,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
2507,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
2508,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
2509,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
2510,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
2511,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
2512,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
2513,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
2514,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
2515,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
2516,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
2517,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2518,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
2519,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
2520,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
2521,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
2522,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
2523,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
2524,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
2525,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
2526,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
2527,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,NULL
2528,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
2529,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
2530,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
2531,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
2532,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
2533,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
2534,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
2535,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
2536,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
2537,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2538,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
2539,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
2540,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
2541,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
2542,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
2543,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
2544,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
2545,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
2546,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2547,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
2548,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
2549,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
2550,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
2551,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
2552,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
2553,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
2554,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
2555,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
2556,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
2557,NULL,Cropland,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
2558,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2559,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
2560,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2561,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
2562,NULL,Cropland,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
2563,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
2564,NULL,Cropland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
2565,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
2566,NULL,Cropland,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
2567,NULL,Cropland,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
2568,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
2569,NULL,Cropland,NULL,Water,Non_Wetland,NULL,Water,Grassland
2570,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,NULL,Water
2571,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
2572,NULL,Cropland,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
2573,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,NULL,Bareland
2574,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,Shrubland,Wetland
2575,NULL,Cropland,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
2576,NULL,Cropland,NULL,Water,Non_Wetland,Bareland,Water,Water
2577,NULL,Cropland,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
2578,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2579,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2580,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
2581,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
2582,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
2583,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
2584,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
2585,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2586,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
2587,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2588,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
2589,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
2590,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
2591,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
2592,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
2593,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
2594,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
2595,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2596,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
2597,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
2598,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
2599,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
2600,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
2601,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
2602,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
2603,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
2604,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
2605,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
2606,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
2607,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
2608,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
2609,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
