Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LRP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LRP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LRP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LRP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LRP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LRP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LRP_M_R
1463,Grassland,Water,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1464,Grassland,Water,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1465,Grassland,Water,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1466,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1467,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1468,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1469,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
1470,Grassland,Water,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
1471,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1472,Grassland,Water,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1473,Grassland,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1474,Grassland,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1475,Grassland,Water,Wetland,Non_Water,Wetland,Grassland,Water,Bareland
1476,Grassland,Water,Water,NULL,Water,Grassland,Grassland,Grassland
1477,Grassland,Water,Water,Water,Water,Grassland,Water,Bareland
1478,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1479,Grassland,Water,Forest,NULL,Non_Wetland,Water,Water,Grassland
1480,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1481,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1482,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1483,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1484,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1485,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1486,Grassland,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1487,Grassland,Forest,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1488,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1489,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1490,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1491,Grassland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1492,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1493,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1494,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1495,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1496,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
1497,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1498,Grassland,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1499,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1500,Grassland,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1501,Grassland,Forest,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1502,Grassland,Forest,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1503,Grassland,Forest,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
1504,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1505,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1506,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1507,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1508,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1509,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1510,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1511,Grassland,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1512,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1513,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1514,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1515,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1516,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1517,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1518,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1519,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1520,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1521,Cropland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1522,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1523,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
1524,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1525,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1526,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1527,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1528,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1529,Cropland,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
1530,Cropland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1531,Cropland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1532,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1533,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1534,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1535,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1536,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1537,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1538,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1539,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1540,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1541,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1542,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1543,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1544,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
1545,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1546,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1547,Cropland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1548,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
1549,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1550,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1551,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1552,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1553,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1554,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1555,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1556,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1557,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
1558,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1559,Cropland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1560,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1561,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
1562,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
1563,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1564,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1565,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1566,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1567,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1568,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1569,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1570,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1571,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1572,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1573,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1574,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1575,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1576,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1577,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1578,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1579,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
1580,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1581,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1582,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1583,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1584,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1585,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1586,Cropland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1587,Cropland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
1588,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1589,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
1590,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
1591,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
1592,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1593,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1594,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1595,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1596,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1597,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1598,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1599,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
1600,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1601,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1602,Cropland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1603,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
1604,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
1605,Cropland,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
1606,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
1607,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Built-up
1608,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1609,Cropland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
1610,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1611,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
1612,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
1613,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
1614,Cropland,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
1615,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
1616,Cropland,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
1617,Cropland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
1618,Cropland,NULL,Water,NULL,Water,Grassland,Wetland,Forest
1619,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1620,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Bareland
1621,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1622,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1623,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1624,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
1625,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1626,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1627,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1628,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1629,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1630,Cropland,NULL,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
1631,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1632,Cropland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1633,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1634,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
1635,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
1636,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1637,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1638,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1639,Cropland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1640,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1641,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1642,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
1643,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1644,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1645,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1646,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1647,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1648,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1649,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
1650,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1651,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1652,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
1653,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1654,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1655,Cropland,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1656,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1657,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1658,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1659,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1660,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1661,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
1662,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
1663,Cropland,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
1664,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
1665,Cropland,Cropland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1666,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1667,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
1668,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1669,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
1670,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
1671,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1672,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1673,Cropland,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1674,Cropland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1675,Cropland,Cropland,NULL,NULL,Non_Wetland,Water,Grassland,Forest
1676,Cropland,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1677,Cropland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1678,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1679,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1680,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1681,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1682,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1683,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1684,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1685,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1686,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
1687,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1688,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1689,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
1690,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1691,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1692,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1693,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1694,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1695,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1696,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
1697,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
1698,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
1699,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1700,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
1701,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
1702,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1703,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1704,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1705,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1706,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1707,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1708,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1709,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1710,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
1711,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1712,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1713,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
1714,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1715,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
1716,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1717,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1718,Cropland,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
1719,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1720,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1721,Cropland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1722,Cropland,Cropland,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1723,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1724,Cropland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1725,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
1726,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
1727,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
1728,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
1729,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1730,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1731,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1732,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1733,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1734,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1735,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1736,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1737,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
1738,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
1739,Cropland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
1740,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
1741,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
1742,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
1743,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1744,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1745,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
1746,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
1747,Cropland,Cropland,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
1748,Cropland,Cropland,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
1749,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
1750,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
1751,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
1752,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1753,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1754,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1755,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1756,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
1757,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1758,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1759,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
1760,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
1761,Cropland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
1762,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
1763,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1764,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
1765,Cropland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
1766,Cropland,Cropland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
1767,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1768,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Cropland
1769,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
1770,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
1771,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up,Grassland,Grassland
1772,Cropland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,Built-up,Grassland,Cropland
1773,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
1774,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1775,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
1776,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
