Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBP_M_R
24,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
25,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
26,NULL,Water,Water,Water,Water,Water,Water,Forest
27,NULL,Forest,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
28,NULL,Forest,Grassland,NULL,Non_Wetland,Water,NULL,Forest
29,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
30,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Forest
31,NULL,Forest,Wetland,Water,Wetland,Water,Water,Water
32,NULL,Forest,Built-up,NULL,Non_Wetland,Water,NULL,Forest
33,NULL,Forest,Forest,NULL,Non_Wetland,Water,NULL,Forest
34,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
35,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
36,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
37,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
38,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
39,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
40,Cropland,NULL,Wetland,Water,Wetland,Water,Water,Water
41,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
42,Cropland,Water,Water,NULL,Water,Water,Water,Water
43,Cropland,Water,Water,Non_Water,Water,Water,Water,Water
44,Cropland,Water,Water,Water,Water,Water,Water,Water
45,Cropland,Forest,Water,Water,Water,Water,Water,Water
46,Bareland,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
47,Bareland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
48,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Wetland,Grassland
49,Bareland,NULL,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
50,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
51,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
52,Bareland,Bareland,Built-up,NULL,Non_Wetland,Water,Forest,Grassland
53,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
54,Bareland,Bareland,Water,Water,Water,Water,Water,Water
55,Bareland,Water,NULL,Water,Non_Wetland,Water,Water,Water
56,Bareland,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
57,Bareland,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
58,Bareland,Water,Grassland,Non_Water,Non_Wetland,Bareland,Water,Water
59,Bareland,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
60,Bareland,Water,Grassland,Water,Non_Wetland,Water,Water,Water
61,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
62,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
63,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
64,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
65,Bareland,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Wetland,Water
66,Bareland,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Water
67,Bareland,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
68,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
69,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
70,Bareland,Water,Bareland,Water,Non_Wetland,Bareland,Water,Water
71,Bareland,Water,Bareland,Water,Non_Wetland,Water,Water,Water
72,Bareland,Water,Water,NULL,Water,Bareland,Wetland,Water
73,Bareland,Water,Water,NULL,Water,Water,Wetland,Water
74,Bareland,Water,Water,NULL,Water,Water,Water,Water
75,Bareland,Water,Water,NULL,Water,Water,Forest,Water
76,Bareland,Water,Water,Non_Water,Water,Bareland,Water,Water
77,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
78,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
79,Bareland,Water,Water,Water,Water,Bareland,Water,Water
80,Bareland,Water,Water,Water,Water,Water,Wetland,Water
81,Bareland,Water,Water,Water,Water,Water,Water,Water
82,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
83,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
84,Bareland,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
85,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
86,Bareland,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
87,Bareland,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
88,Bareland,Forest,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
89,Bareland,Forest,Grassland,Water,Non_Wetland,Water,Wetland,Water
90,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
91,Bareland,Forest,Water,Non_Water,Water,Water,Wetland,Water
92,Bareland,Forest,Water,Water,Water,Water,Water,Water
93,Bareland,Forest,Water,Water,Water,Water,Water,Forest
94,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
95,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
96,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,Water
97,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
98,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Water
99,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
100,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
101,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
102,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
103,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
104,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
105,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Forest
106,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Water
107,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
108,Water,Water,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
109,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
110,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
111,Water,Water,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
112,Water,Water,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Water
113,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
114,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
115,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
116,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
117,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Water
118,Water,Water,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
119,Water,Water,NULL,Water,Non_Wetland,NULL,Water,Forest
120,Water,Water,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
121,Water,Water,NULL,Water,Non_Wetland,Wetland,Water,Forest
122,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Water
123,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
124,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
125,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
126,Water,Water,NULL,Water,Non_Wetland,Water,Forest,Forest
127,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
128,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
129,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
130,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
131,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Forest
132,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,Water,Forest
133,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
134,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Water
135,Water,Water,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
136,Water,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
137,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
138,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
139,Water,Water,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
140,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Water
141,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
142,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
143,Water,Water,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
144,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
145,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
146,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
147,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
148,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
149,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
150,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
151,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
152,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
153,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Water
154,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Water
155,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
156,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Water
157,Water,Water,Wetland,NULL,Wetland,Wetland,Water,Forest
158,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,Forest
159,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Water
160,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
161,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
162,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
163,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
164,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
165,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
166,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
167,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
168,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
169,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
170,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Forest
171,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
172,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
173,Water,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
174,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
175,Water,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
176,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
177,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
178,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
179,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
180,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
181,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
182,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
183,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
184,Water,Water,Wetland,Water,Wetland,Grassland,Water,Forest
185,Water,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
186,Water,Water,Wetland,Water,Wetland,Wetland,Water,Water
187,Water,Water,Wetland,Water,Wetland,Wetland,Water,Forest
188,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
189,Water,Water,Wetland,Water,Wetland,Bareland,Water,Forest
190,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
191,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
192,Water,Water,Wetland,Water,Wetland,Water,Water,Water
193,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
194,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
195,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
196,Water,Water,Wetland,Water,Wetland,Forest,Forest,Forest
197,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Water,Forest
198,Water,Water,Lichens_and_Mosses,NULL,Non_Wetland,Water,Forest,Water
199,Water,Water,Lichens_and_Mosses,Non_Water,Non_Wetland,Water,Water,Water
200,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Water
201,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Water
202,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
203,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,Water
204,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,Forest
205,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Water
206,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
207,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Water
208,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Water,Forest
209,Water,Water,Bareland,NULL,Non_Wetland,Built-up,Water,Water
210,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
211,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
212,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
213,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
214,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Water
215,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
216,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,Wetland,Water
217,Water,Water,Bareland,Non_Water,Non_Wetland,Grassland,Water,Forest
218,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Water
219,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
220,Water,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
221,Water,Water,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
222,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
223,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
224,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
225,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
226,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Water
227,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Forest,Forest
228,Water,Water,Bareland,Water,Non_Wetland,NULL,Water,Water
229,Water,Water,Bareland,Water,Non_Wetland,Wetland,Wetland,Water
230,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
231,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
232,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Bareland
233,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
234,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
235,Water,Water,Bareland,Water,Non_Wetland,Water,Forest,Water
236,Water,Water,Built-up,NULL,Non_Wetland,NULL,Water,Forest
237,Water,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Forest
238,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Water
239,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Forest
240,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Water,Water
241,Water,Water,Built-up,Water,Non_Wetland,Water,Wetland,Water
242,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
243,Water,Water,Water,NULL,Water,NULL,Wetland,Water
244,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
245,Water,Water,Water,NULL,Water,NULL,Water,Water
246,Water,Water,Water,NULL,Water,NULL,Water,Forest
247,Water,Water,Water,NULL,Water,Wetland,Wetland,Water
248,Water,Water,Water,NULL,Water,Wetland,Water,Water
249,Water,Water,Water,NULL,Water,Bareland,Wetland,Water
250,Water,Water,Water,NULL,Water,Bareland,Wetland,Forest
251,Water,Water,Water,NULL,Water,Bareland,Water,Water
252,Water,Water,Water,NULL,Water,Built-up,Water,Water
253,Water,Water,Water,NULL,Water,Water,Wetland,Bareland
254,Water,Water,Water,NULL,Water,Water,Wetland,Water
255,Water,Water,Water,NULL,Water,Water,Wetland,Forest
256,Water,Water,Water,NULL,Water,Water,Water,Water
257,Water,Water,Water,NULL,Water,Water,Water,Forest
258,Water,Water,Water,NULL,Water,Water,Forest,Water
259,Water,Water,Water,NULL,Water,Water,Forest,Forest
260,Water,Water,Water,NULL,Water,Forest,Wetland,Water
261,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
262,Water,Water,Water,Non_Water,Water,NULL,Wetland,Forest
263,Water,Water,Water,Non_Water,Water,NULL,Water,Water
264,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
265,Water,Water,Water,Non_Water,Water,Grassland,Wetland,Forest
266,Water,Water,Water,Non_Water,Water,Grassland,Water,Forest
267,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Water
268,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Forest
269,Water,Water,Water,Non_Water,Water,Wetland,Water,Water
270,Water,Water,Water,Non_Water,Water,Wetland,Water,Forest
271,Water,Water,Water,Non_Water,Water,Bareland,Wetland,Water
272,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
273,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
274,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
275,Water,Water,Water,Non_Water,Water,Water,Water,Grassland
276,Water,Water,Water,Non_Water,Water,Water,Water,Bareland
277,Water,Water,Water,Non_Water,Water,Water,Water,Water
278,Water,Water,Water,Non_Water,Water,Water,Water,Forest
279,Water,Water,Water,Non_Water,Water,Water,Forest,Water
280,Water,Water,Water,Non_Water,Water,Forest,Water,Water
281,Water,Water,Water,Water,Water,NULL,Wetland,Water
282,Water,Water,Water,Water,Water,NULL,Wetland,Forest
283,Water,Water,Water,Water,Water,NULL,Water,Water
284,Water,Water,Water,Water,Water,NULL,Water,Forest
285,Water,Water,Water,Water,Water,Grassland,Water,Water
286,Water,Water,Water,Water,Water,Grassland,Water,Forest
287,Water,Water,Water,Water,Water,Wetland,Wetland,Water
288,Water,Water,Water,Water,Water,Wetland,Wetland,Forest
289,Water,Water,Water,Water,Water,Wetland,Water,Water
290,Water,Water,Water,Water,Water,Wetland,Water,Forest
291,Water,Water,Water,Water,Water,Bareland,Wetland,Water
292,Water,Water,Water,Water,Water,Bareland,Wetland,Forest
293,Water,Water,Water,Water,Water,Bareland,Water,Water
294,Water,Water,Water,Water,Water,Built-up,Water,Water
295,Water,Water,Water,Water,Water,Water,Wetland,Water
296,Water,Water,Water,Water,Water,Water,Wetland,Forest
297,Water,Water,Water,Water,Water,Water,Water,Water
298,Water,Water,Water,Water,Water,Water,Water,Forest
299,Water,Water,Water,Water,Water,Water,Forest,Water
300,Water,Water,Water,Water,Water,Water,Forest,Forest
301,Water,Water,Water,Water,Water,Forest,Wetland,Forest
302,Water,Water,Water,Water,Water,Forest,Water,Water
303,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
304,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
305,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Water
306,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,Forest
307,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,Forest
308,Water,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
309,Water,Water,Forest,NULL,Non_Wetland,Grassland,Water,Water
310,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Water
311,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
312,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Water
313,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,Forest
314,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
315,Water,Water,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
316,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
317,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
318,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Bareland
319,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Water
320,Water,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
321,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
322,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
323,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
324,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Wetland,Forest
325,Water,Water,Forest,Non_Water,Non_Wetland,NULL,Water,Forest
326,Water,Water,Forest,Non_Water,Non_Wetland,Grassland,Water,Water
327,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Water
328,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
329,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
330,Water,Water,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
331,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Water
332,Water,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
333,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Water
334,Water,Water,Forest,Non_Water,Non_Wetland,Water,Water,Forest
335,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
336,Water,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
337,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Water
338,Water,Water,Forest,Non_Water,Non_Wetland,Forest,Water,Forest
339,Water,Water,Forest,Water,Non_Wetland,NULL,Water,Water
340,Water,Water,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
341,Water,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
342,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Water
343,Water,Water,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
344,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
345,Water,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
346,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
347,Water,Water,Forest,Water,Non_Wetland,Water,Wetland,Forest
348,Water,Water,Forest,Water,Non_Wetland,Water,Water,Water
349,Water,Water,Forest,Water,Non_Wetland,Water,Water,Forest
350,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Water
351,Water,Water,Forest,Water,Non_Wetland,Water,Forest,Forest
352,Water,Water,Forest,Water,Non_Wetland,Forest,Water,Water
353,Water,Forest,Grassland,Non_Water,Non_Wetland,Water,Water,Water
354,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,Forest
355,Water,Forest,Bareland,NULL,Non_Wetland,Water,Water,Forest
356,Water,Forest,Water,NULL,Water,Wetland,Wetland,Forest
357,Water,Forest,Water,NULL,Water,Water,Water,Forest
358,Water,Forest,Water,Water,Water,Water,Water,Forest
359,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Water
360,Water,Forest,Forest,NULL,Non_Wetland,Water,Wetland,Forest
361,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Water
362,Water,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
363,Water,Forest,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Water
364,Water,Forest,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
365,Water,Forest,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
366,Water,Forest,Forest,Water,Non_Wetland,Water,Water,Water
367,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,Water,Water,Water
368,Forest,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
369,Forest,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
370,Forest,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
371,Forest,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
372,Forest,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
373,Forest,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
374,Forest,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
375,Forest,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
376,Forest,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
377,Forest,NULL,Wetland,Water,Wetland,Water,Water,Water
378,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
379,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
380,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
381,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
382,Forest,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
