Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGM_M_R
5618,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5619,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
5620,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
5621,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
5622,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
5623,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
5624,Grassland,NULL,Grassland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
5625,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
5626,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
5627,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
5628,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
5629,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
5630,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
5631,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
5632,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
5633,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
5634,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
5635,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
5636,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
5637,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
5638,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
5639,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
5640,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
5641,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
5642,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
5643,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
5644,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
5645,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
5646,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
5647,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
5648,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
5649,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
5650,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
5651,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Wetland
5652,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Bareland
5653,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
5654,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5655,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5656,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
5657,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
5658,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Water
5659,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
5660,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
5661,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5662,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
5663,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
5664,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
5665,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Water
5666,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
5667,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,NULL
5668,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
5669,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
5670,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Grassland
5671,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Wetland
5672,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Water,Water
5673,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
5674,Grassland,NULL,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
5675,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
5676,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
5677,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
5678,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
5679,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
5680,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
5681,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
5682,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
5683,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5684,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
5685,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
5686,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
5687,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
5688,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
5689,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
5690,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
5691,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
5692,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
5693,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
5694,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
5695,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
5696,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
5697,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
5698,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
5699,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
5700,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
5701,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
5702,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
5703,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
5704,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
5705,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
5706,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
5707,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
5708,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
5709,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
5710,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,NULL
5711,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
5712,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
5713,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Forest
5714,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,NULL
5715,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
5716,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
5717,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
5718,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
5719,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
5720,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
5721,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
5722,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
5723,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
5724,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,NULL
5725,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
5726,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
5727,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Forest
5728,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
5729,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Cropland
5730,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Wetland
5731,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
5732,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
5733,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
5734,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
5735,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
5736,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
5737,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Wetland
5738,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Wetland
5739,Grassland,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Forest
5740,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
5741,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
5742,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
5743,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
5744,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
5745,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
5746,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
5747,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Water
5748,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
5749,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
5750,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
5751,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Wetland
5752,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
5753,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
5754,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
5755,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
5756,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
5757,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Wetland
5758,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
5759,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
5760,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
5761,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
5762,Grassland,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
5763,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
5764,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
5765,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Forest,Grassland
5766,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
5767,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
5768,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
5769,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Grassland
5770,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
5771,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,NULL
5772,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
5773,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
5774,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
5775,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
5776,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
5777,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
5778,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Grassland,Bareland
5779,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
5780,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
5781,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
5782,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
5783,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
5784,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
5785,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
5786,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
5787,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
5788,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
5789,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
5790,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
5791,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Forest
5792,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
5793,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
5794,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
5795,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
5796,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
5797,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
5798,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
5799,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
5800,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Grassland
5801,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Water,Wetland
5802,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
5803,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
5804,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
5805,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,NULL,Grassland
5806,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Water,Water,Grassland
5807,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,Forest,Grassland
5808,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Forest,Forest,Forest
5809,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Shrubland,Cropland
5810,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Grassland
5811,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,Grassland,Wetland
5812,Grassland,NULL,Cropland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
5813,Grassland,NULL,Cropland,Water,Non_Wetland,Shrubland,Grassland,Grassland
5814,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
5815,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
5816,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Cropland
5817,Grassland,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
5818,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,NULL,Wetland
5819,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Shrubland,Grassland
5820,Grassland,NULL,Cropland,Water,Non_Wetland,Wetland,Grassland,Grassland
5821,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Bareland
5822,Grassland,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
5823,Grassland,NULL,Cropland,Water,Non_Wetland,Water,NULL,Grassland
5824,Grassland,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
5825,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
5826,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
5827,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
5828,Grassland,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
5829,Grassland,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Wetland
5830,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
5831,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Cropland
5832,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Wetland
5833,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Water
5834,Grassland,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
5835,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
5836,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
5837,Grassland,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
5838,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest,Wetland
5839,Grassland,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
5840,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,NULL,Grassland
5841,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,NULL
5842,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
5843,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
5844,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Water
5845,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
5846,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,NULL
5847,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
5848,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Wetland
5849,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
5850,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,NULL
5851,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
5852,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Wetland
5853,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Water,Grassland
5854,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
5855,Grassland,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
5856,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
5857,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
5858,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
5859,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Cropland
5860,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
5861,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
5862,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
5863,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
5864,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
5865,Grassland,NULL,Wetland,NULL,Wetland,Wetland,NULL,Grassland
5866,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
5867,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Wetland
5868,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
5869,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
5870,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Cropland
5871,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
5872,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
5873,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
5874,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
5875,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
5876,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
5877,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
5878,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Wetland
5879,Grassland,NULL,Wetland,NULL,Wetland,Water,Shrubland,Grassland
5880,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
5881,Grassland,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
5882,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
5883,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Grassland,Grassland
5884,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Grassland
5885,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,NULL,Grassland
5886,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,NULL
5887,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Grassland
5888,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
5889,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
5890,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,NULL
5891,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Grassland
5892,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Wetland,Wetland
5893,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Grassland
5894,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
5895,Grassland,NULL,Wetland,Non_Water,Wetland,Shrubland,Forest,Grassland
5896,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
5897,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
5898,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
5899,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Grassland
5900,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Shrubland,Wetland
5901,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
5902,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
5903,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
5904,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
5905,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
5906,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
5907,Grassland,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
5908,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Shrubland,Grassland
5909,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Shrubland,Wetland
5910,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
5911,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
5912,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
5913,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
5914,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Wetland
5915,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Bareland
5916,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Forest,Grassland
5917,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
5918,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
5919,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
5920,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
5921,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
5922,Grassland,NULL,Wetland,Non_Water,Wetland,Forest,Water,Grassland
5923,Grassland,NULL,Wetland,Water,Wetland,NULL,Shrubland,Grassland
5924,Grassland,NULL,Wetland,Water,Wetland,NULL,Shrubland,Cropland
5925,Grassland,NULL,Wetland,Water,Wetland,NULL,Shrubland,Wetland
5926,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland,Grassland
5927,Grassland,NULL,Wetland,Water,Wetland,NULL,Grassland,Cropland
5928,Grassland,NULL,Wetland,Water,Wetland,NULL,Water,Grassland
5929,Grassland,NULL,Wetland,Water,Wetland,Shrubland,NULL,Grassland
5930,Grassland,NULL,Wetland,Water,Wetland,Shrubland,NULL,Wetland
5931,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Cropland
5932,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Wetland
5933,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Shrubland,Forest
5934,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Grassland,Grassland
5935,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Grassland,Wetland
5936,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Water,Grassland
5937,Grassland,NULL,Wetland,Water,Wetland,Shrubland,Water,Wetland
5938,Grassland,NULL,Wetland,Water,Wetland,Grassland,Shrubland,Grassland
