Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MEM_M_R
93,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
94,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
95,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
96,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Water
97,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
98,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
99,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
100,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
101,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
102,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
103,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
104,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
105,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
106,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
107,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
108,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
109,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
110,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
111,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
112,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
113,Grassland,Water,Wetland,Water,Wetland,Water,Water,Water
114,Grassland,Water,Water,Water,Water,Water,Water,Water
115,Grassland,Water,Forest,Water,Non_Wetland,Grassland,Water,Water
116,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
117,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
118,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
119,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
120,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
121,Cropland,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
122,Cropland,Water,Wetland,Water,Wetland,Water,Water,Water
123,Cropland,Water,Water,Water,Water,Water,Water,Water
124,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
125,Bareland,Bareland,Wetland,Non_Water,Wetland,Bareland,Water,Water
126,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
127,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Wetland,Water
128,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
129,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
130,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
131,Bareland,Bareland,Water,NULL,Water,Water,Water,Water
132,Bareland,Bareland,Water,Water,Water,Bareland,Wetland,Water
133,Bareland,Bareland,Water,Water,Water,Bareland,Water,Water
134,Bareland,Bareland,Water,Water,Water,Water,Water,Water
135,Bareland,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
136,Bareland,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
137,Bareland,Water,Cropland,Water,Non_Wetland,Water,Water,Water
138,Bareland,Water,Wetland,NULL,Wetland,Water,Water,Water
139,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Wetland,Forest
140,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
141,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
142,Bareland,Water,Wetland,Water,Wetland,Grassland,Water,Water
143,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,Bareland
144,Bareland,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
145,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Grassland
146,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Water
147,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
148,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
149,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Forest
150,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
151,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
152,Bareland,Water,Wetland,Water,Wetland,Water,Forest,Grassland
153,Bareland,Water,Wetland,Water,Wetland,Water,Forest,Water
154,Bareland,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Bareland
155,Bareland,Water,Water,NULL,Water,Water,Wetland,Forest
156,Bareland,Water,Water,Non_Water,Water,Water,Water,Water
157,Bareland,Water,Water,Water,Water,Bareland,Wetland,Water
158,Bareland,Water,Water,Water,Water,Bareland,Water,Grassland
159,Bareland,Water,Water,Water,Water,Bareland,Water,Water
160,Bareland,Water,Water,Water,Water,Water,Wetland,Water
161,Bareland,Water,Water,Water,Water,Water,Water,Water
162,Bareland,Water,Water,Water,Water,Water,Water,Forest
163,Bareland,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
164,Bareland,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
165,Bareland,Water,Forest,Water,Non_Wetland,Water,Wetland,Water
166,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
167,Bareland,Forest,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Water
168,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
169,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
170,Bareland,Forest,Wetland,Non_Water,Wetland,Bareland,Water,Water
171,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Water
172,Bareland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Grassland
173,Bareland,Forest,Wetland,Water,Wetland,Bareland,Wetland,Water
174,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Grassland
175,Bareland,Forest,Wetland,Water,Wetland,Bareland,Water,Water
176,Bareland,Forest,Wetland,Water,Wetland,Water,Wetland,Water
177,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
178,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Water
179,Bareland,Forest,Water,Water,Water,Bareland,Wetland,Water
180,Bareland,Forest,Water,Water,Water,Bareland,Water,Bareland
181,Bareland,Forest,Water,Water,Water,Bareland,Water,Water
182,Bareland,Forest,Water,Water,Water,Water,Wetland,Water
183,Bareland,Forest,Water,Water,Water,Water,Water,Water
184,Water,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
185,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
186,Water,Bareland,Water,Water,Water,Water,Water,Water
187,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
188,Water,Water,NULL,NULL,Non_Wetland,Bareland,Water,Water
189,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
190,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
191,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
192,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
193,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
194,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
195,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Forest
196,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
197,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Forest
198,Water,Water,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
199,Water,Water,NULL,Water,Non_Wetland,Grassland,Wetland,Water
200,Water,Water,NULL,Water,Non_Wetland,Bareland,Wetland,Water
201,Water,Water,NULL,Water,Non_Wetland,Water,Wetland,Forest
202,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
203,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
204,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
205,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
206,Water,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
207,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
208,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
209,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
210,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Forest
211,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
212,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Water
213,Water,Water,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
214,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Water
215,Water,Water,Grassland,Water,Non_Wetland,Water,Wetland,Forest
216,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Water
217,Water,Water,Grassland,Water,Non_Wetland,Water,Water,Forest
218,Water,Water,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
219,Water,Water,Cropland,NULL,Non_Wetland,Bareland,Wetland,Water
220,Water,Water,Cropland,NULL,Non_Wetland,Water,Wetland,Water
221,Water,Water,Cropland,NULL,Non_Wetland,Water,Water,Water
222,Water,Water,Cropland,NULL,Non_Wetland,Water,Water,Forest
223,Water,Water,Cropland,Non_Water,Non_Wetland,Water,Wetland,Water
224,Water,Water,Cropland,Water,Non_Wetland,Bareland,Water,Water
225,Water,Water,Cropland,Water,Non_Wetland,Water,Wetland,Water
226,Water,Water,Cropland,Water,Non_Wetland,Water,Wetland,Forest
227,Water,Water,Cropland,Water,Non_Wetland,Water,Water,Water
228,Water,Water,Wetland,NULL,Wetland,NULL,Grassland,Water
229,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Water
230,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,Forest
231,Water,Water,Wetland,NULL,Wetland,NULL,Water,Water
232,Water,Water,Wetland,NULL,Wetland,NULL,Water,Forest
233,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Water
234,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,Forest
235,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Water
236,Water,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
237,Water,Water,Wetland,NULL,Wetland,Grassland,Forest,Water
238,Water,Water,Wetland,NULL,Wetland,Grassland,Forest,Forest
239,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Water
240,Water,Water,Wetland,NULL,Wetland,Bareland,Wetland,Forest
241,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Water
242,Water,Water,Wetland,NULL,Wetland,Bareland,Water,Forest
243,Water,Water,Wetland,NULL,Wetland,Bareland,Forest,Forest
244,Water,Water,Wetland,NULL,Wetland,Water,Grassland,Water
245,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Grassland
246,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Water
247,Water,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
248,Water,Water,Wetland,NULL,Wetland,Water,Bareland,Water
249,Water,Water,Wetland,NULL,Wetland,Water,Bareland,Forest
250,Water,Water,Wetland,NULL,Wetland,Water,Water,Bareland
251,Water,Water,Wetland,NULL,Wetland,Water,Water,Water
252,Water,Water,Wetland,NULL,Wetland,Water,Water,Forest
253,Water,Water,Wetland,NULL,Wetland,Water,Forest,Water
254,Water,Water,Wetland,NULL,Wetland,Water,Forest,Forest
255,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Water
256,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,Forest
257,Water,Water,Wetland,NULL,Wetland,Forest,Water,Forest
258,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Water
259,Water,Water,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
260,Water,Water,Wetland,Non_Water,Wetland,NULL,Water,Water
261,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Water
262,Water,Water,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
263,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
264,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Water
265,Water,Water,Wetland,Non_Water,Wetland,Grassland,Water,Forest
266,Water,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
267,Water,Water,Wetland,Non_Water,Wetland,Water,Grassland,Forest
268,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
269,Water,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
270,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Bareland
271,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Water
272,Water,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
273,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
274,Water,Water,Wetland,Non_Water,Wetland,Water,Forest,Forest
275,Water,Water,Wetland,Non_Water,Wetland,Forest,Water,Water
276,Water,Water,Wetland,Water,Wetland,NULL,Grassland,Forest
277,Water,Water,Wetland,Water,Wetland,NULL,Water,Water
278,Water,Water,Wetland,Water,Wetland,NULL,Water,Forest
279,Water,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
280,Water,Water,Wetland,Water,Wetland,Grassland,Wetland,Forest
281,Water,Water,Wetland,Water,Wetland,Grassland,Water,Grassland
282,Water,Water,Wetland,Water,Wetland,Grassland,Water,Water
283,Water,Water,Wetland,Water,Wetland,Grassland,Water,Forest
284,Water,Water,Wetland,Water,Wetland,Grassland,Forest,Forest
285,Water,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
286,Water,Water,Wetland,Water,Wetland,Bareland,Water,Water
287,Water,Water,Wetland,Water,Wetland,Water,Grassland,Water
288,Water,Water,Wetland,Water,Wetland,Water,Grassland,Forest
289,Water,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
290,Water,Water,Wetland,Water,Wetland,Water,Wetland,Water
291,Water,Water,Wetland,Water,Wetland,Water,Wetland,Forest
292,Water,Water,Wetland,Water,Wetland,Water,Water,Grassland
293,Water,Water,Wetland,Water,Wetland,Water,Water,Water
294,Water,Water,Wetland,Water,Wetland,Water,Water,Forest
295,Water,Water,Wetland,Water,Wetland,Water,Forest,Water
296,Water,Water,Wetland,Water,Wetland,Water,Forest,Forest
297,Water,Water,Wetland,Water,Wetland,Forest,Wetland,Forest
298,Water,Water,Wetland,Water,Wetland,Forest,Water,Water
299,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Wetland,Water
300,Water,Water,Lichens_and_Mosses,Water,Non_Wetland,Water,Water,Water
301,Water,Water,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
302,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
303,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Bareland,Water
304,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
305,Water,Water,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
306,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
307,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Water
308,Water,Water,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
309,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Water
310,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
311,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
312,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,Forest
313,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,Forest
314,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Water
315,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Wetland,Forest
316,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Water
317,Water,Water,Bareland,Non_Water,Non_Wetland,Water,Water,Forest
318,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Water
319,Water,Water,Bareland,Water,Non_Wetland,Water,Wetland,Forest
320,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Bareland
321,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
322,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
323,Water,Water,Built-up,NULL,Non_Wetland,Water,Wetland,Water
324,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Water
325,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,Forest
326,Water,Water,Built-up,Non_Water,Non_Wetland,Water,Wetland,Water
327,Water,Water,Built-up,Water,Non_Wetland,Water,Water,Water
328,Water,Water,Water,NULL,Water,NULL,Wetland,Forest
329,Water,Water,Water,NULL,Water,NULL,Water,Water
330,Water,Water,Water,NULL,Water,NULL,Forest,Water
331,Water,Water,Water,NULL,Water,Grassland,Grassland,Water
332,Water,Water,Water,NULL,Water,Grassland,Wetland,Water
333,Water,Water,Water,NULL,Water,Grassland,Wetland,Forest
334,Water,Water,Water,NULL,Water,Grassland,Water,Water
335,Water,Water,Water,NULL,Water,Grassland,Water,Forest
336,Water,Water,Water,NULL,Water,Grassland,Forest,Forest
337,Water,Water,Water,NULL,Water,Bareland,Wetland,Water
338,Water,Water,Water,NULL,Water,Bareland,Wetland,Forest
339,Water,Water,Water,NULL,Water,Bareland,Water,Water
340,Water,Water,Water,NULL,Water,Bareland,Forest,Water
341,Water,Water,Water,NULL,Water,Water,Wetland,Bareland
342,Water,Water,Water,NULL,Water,Water,Wetland,Water
343,Water,Water,Water,NULL,Water,Water,Wetland,Forest
344,Water,Water,Water,NULL,Water,Water,Water,Grassland
345,Water,Water,Water,NULL,Water,Water,Water,Bareland
346,Water,Water,Water,NULL,Water,Water,Water,Water
347,Water,Water,Water,NULL,Water,Water,Water,Forest
348,Water,Water,Water,NULL,Water,Water,Forest,Water
349,Water,Water,Water,NULL,Water,Water,Forest,Forest
350,Water,Water,Water,NULL,Water,Forest,Wetland,Forest
351,Water,Water,Water,NULL,Water,Forest,Water,Water
352,Water,Water,Water,NULL,Water,Forest,Water,Forest
353,Water,Water,Water,NULL,Water,Forest,Forest,Water
354,Water,Water,Water,Non_Water,Water,NULL,Wetland,Water
355,Water,Water,Water,Non_Water,Water,NULL,Water,Water
356,Water,Water,Water,Non_Water,Water,NULL,Water,Forest
357,Water,Water,Water,Non_Water,Water,Grassland,Wetland,Water
358,Water,Water,Water,Non_Water,Water,Grassland,Water,Water
359,Water,Water,Water,Non_Water,Water,Wetland,Wetland,Water
360,Water,Water,Water,Non_Water,Water,Bareland,Water,Water
361,Water,Water,Water,Non_Water,Water,Bareland,Water,Forest
362,Water,Water,Water,Non_Water,Water,Water,Wetland,Bareland
363,Water,Water,Water,Non_Water,Water,Water,Wetland,Water
364,Water,Water,Water,Non_Water,Water,Water,Wetland,Forest
365,Water,Water,Water,Non_Water,Water,Water,Water,Water
366,Water,Water,Water,Non_Water,Water,Water,Water,Forest
367,Water,Water,Water,Non_Water,Water,Water,Forest,Water
368,Water,Water,Water,Non_Water,Water,Water,Forest,Forest
369,Water,Water,Water,Non_Water,Water,Forest,Water,Water
370,Water,Water,Water,Water,Water,NULL,Wetland,Water
371,Water,Water,Water,Water,Water,NULL,Wetland,Forest
372,Water,Water,Water,Water,Water,NULL,Water,Water
