Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTF_M_R
1909,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
1910,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
1911,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
1912,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1913,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
1914,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1915,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1916,NULL,Forest,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
1917,NULL,Forest,NULL,NULL,Non_Wetland,Water,Water,Water
1918,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1919,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1920,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1921,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
1922,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1923,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
1924,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
1925,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1926,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1927,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
1928,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
1929,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
1930,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
1931,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
1932,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1933,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
1934,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1935,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
1936,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1937,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1938,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1939,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1940,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1941,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1942,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
1943,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
1944,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
1945,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
1946,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1947,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
1948,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
1949,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1950,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1951,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
1952,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1953,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1954,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1955,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1956,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1957,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1958,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1959,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1960,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
1961,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1962,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
1963,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1964,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
1965,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1966,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
1967,NULL,Forest,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
1968,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
1969,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
1970,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
1971,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
1972,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1973,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
1974,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1975,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1976,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
1977,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1978,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1979,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1980,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1981,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
1982,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1983,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1984,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1985,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1986,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
1987,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1988,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
1989,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
1990,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1991,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
1992,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
1993,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
1994,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
1995,NULL,Forest,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Forest
1996,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
1997,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
1998,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
1999,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
2000,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
2001,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
2002,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2003,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
2004,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
2005,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
2006,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
2007,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
2008,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
2009,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
2010,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
2011,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
2012,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
2013,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
2014,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2015,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2016,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2017,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2018,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2019,NULL,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
2020,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
2021,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2022,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
2023,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
2024,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
2025,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2026,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2027,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2028,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
2029,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2030,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2031,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2032,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
2033,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2034,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
2035,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
2036,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,NULL
2037,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
2038,NULL,Forest,Cropland,NULL,Non_Wetland,Cropland,Shrubland,Forest
2039,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
2040,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
2041,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
2042,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
2043,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
2044,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2045,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2046,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2047,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
2048,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2049,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2050,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
2051,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2052,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2053,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
2054,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
2055,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
2056,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
2057,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
2058,NULL,Forest,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
2059,NULL,Forest,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
2060,NULL,Forest,Wetland,NULL,Wetland,NULL,Bareland,Forest
2061,NULL,Forest,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
2062,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,NULL
2063,NULL,Forest,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
2064,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Wetland
2065,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Water
2066,NULL,Forest,Wetland,NULL,Wetland,Wetland,Water,Forest
2067,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
2068,NULL,Forest,Wetland,NULL,Wetland,Bareland,Shrubland,Forest
2069,NULL,Forest,Wetland,NULL,Wetland,Water,Water,Water
2070,NULL,Forest,Wetland,NULL,Wetland,Water,Water,Forest
2071,NULL,Forest,Wetland,NULL,Wetland,Water,Forest,Forest
2072,NULL,Forest,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
2073,NULL,Forest,Wetland,Non_Water,Wetland,Water,Water,Water
2074,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,NULL
2075,NULL,Forest,Wetland,Water,Wetland,Wetland,Wetland,Grassland
2076,NULL,Forest,Bareland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2077,NULL,Forest,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2078,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
2079,NULL,Forest,Water,NULL,Water,Wetland,Water,Water
2080,NULL,Forest,Water,NULL,Water,Bareland,Bareland,Grassland
2081,NULL,Forest,Water,Non_Water,Water,Bareland,Bareland,Bareland
2082,NULL,Forest,Water,Water,Water,Wetland,Wetland,Grassland
2083,NULL,Forest,Water,Water,Water,Water,Water,Forest
2084,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
2085,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
2086,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
2087,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Grassland
2088,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
2089,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
2090,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2091,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
2092,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
2093,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
2094,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
2095,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2096,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2097,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2098,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
2099,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,NULL
2100,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2101,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,NULL
2102,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
2103,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
2104,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,NULL
2105,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2106,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
2107,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2108,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
2109,NULL,Forest,Forest,NULL,Non_Wetland,Cropland,Shrubland,Forest
2110,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
2111,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
2112,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
2113,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
2114,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
2115,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
2116,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
2117,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
2118,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,NULL
2119,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2120,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2121,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
2122,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
2123,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2124,NULL,Forest,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
2125,NULL,Forest,Forest,NULL,Non_Wetland,Water,Wetland,NULL
2126,NULL,Forest,Forest,NULL,Non_Wetland,Water,Water,Forest
2127,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
2128,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
2129,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
2130,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
2131,NULL,Forest,Forest,Non_Water,Non_Wetland,Wetland,Water,Water
2132,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
2133,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2134,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2135,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2136,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
2137,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
2138,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
2139,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
2140,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2141,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
2142,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2143,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
2144,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
2145,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
2146,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2147,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
2148,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
2149,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
2150,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2151,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2152,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2153,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
2154,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2155,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2156,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
2157,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2158,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
2159,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
2160,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
2161,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2162,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
2163,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
2164,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
2165,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2166,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2167,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
2168,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
2169,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2170,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
2171,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
2172,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2173,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
2174,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
2175,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2176,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
2177,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
2178,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
2179,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
2180,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
2181,Grassland,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
2182,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
2183,Grassland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
2184,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
2185,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
2186,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
2187,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
2188,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
2189,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2190,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
2191,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
2192,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
2193,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
2194,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
2195,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
2196,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
2197,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
2198,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
2199,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
2200,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
2201,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
2202,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2203,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2204,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
2205,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2206,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
2207,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2208,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
2209,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
2210,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
2211,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
2212,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
2213,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
2214,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
2215,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
2216,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
2217,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
2218,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2219,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
2220,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
2221,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2222,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2223,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2224,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2225,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2226,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
2227,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2228,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
2229,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
2230,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
2231,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
2232,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
