Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KYP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
56,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
58,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
59,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
60,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
61,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
73,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
75,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
76,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
77,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Cropland
78,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
80,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
88,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
93,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,NULL
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Cropland
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Forest
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
169,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
171,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
172,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Cropland
173,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
176,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
177,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
180,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
184,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
188,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
194,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
195,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Cropland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
201,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
203,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
205,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
207,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
209,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
210,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
211,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
212,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
214,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
215,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
216,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
217,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
218,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
219,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,NULL,Grassland
220,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
221,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
223,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
225,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
226,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
229,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
231,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
232,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
233,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
234,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
235,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
237,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Bareland
238,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
239,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
240,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
241,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
242,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
243,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
244,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
245,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
246,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
247,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
249,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
250,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
262,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
263,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
266,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
270,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
273,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
276,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
278,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
279,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
281,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
282,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Forest
283,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Built-up
285,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Water
286,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,NULL
288,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
289,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
290,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,NULL
291,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
292,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
293,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Bareland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
295,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
296,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Forest,Grassland
297,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
298,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
301,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
302,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
303,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
305,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
306,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
307,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Bareland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
309,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
310,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
311,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
312,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
313,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
314,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
315,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
316,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
317,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
318,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
319,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
320,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
321,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
322,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
323,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
324,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Grassland
