Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MVV_M_R
233,Water,Bareland,Water,NULL,Water,Wetland,Water,NULL
234,Water,Bareland,Water,NULL,Water,Water,Wetland,NULL
235,Water,Bareland,Water,NULL,Water,Water,Water,NULL
236,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,NULL
237,Water,Water,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
238,Water,Water,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
239,Water,Water,NULL,NULL,Non_Wetland,NULL,Water,NULL
240,Water,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
241,Water,Water,NULL,NULL,Non_Wetland,Grassland,Water,NULL
242,Water,Water,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
243,Water,Water,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
244,Water,Water,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
245,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,NULL
246,Water,Water,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
247,Water,Water,NULL,NULL,Non_Wetland,Water,Grassland,NULL
248,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,NULL
249,Water,Water,NULL,NULL,Non_Wetland,Water,Water,NULL
250,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,NULL
251,Water,Water,NULL,NULL,Non_Wetland,Forest,NULL,NULL
252,Water,Water,NULL,NULL,Non_Wetland,Forest,Water,NULL
253,Water,Water,NULL,NULL,Non_Wetland,Forest,Forest,NULL
254,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
255,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
256,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
257,Water,Water,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
258,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
259,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
260,Water,Water,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
261,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
262,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
263,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
264,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
265,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
266,Water,Water,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
267,Water,Water,Shrubland,NULL,Non_Wetland,Water,NULL,NULL
268,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
269,Water,Water,Shrubland,NULL,Non_Wetland,Water,Water,NULL
270,Water,Water,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
271,Water,Water,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
272,Water,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
273,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
274,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
275,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,NULL
276,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,NULL
277,Water,Water,Wetland,NULL,Wetland,NULL,Wetland,NULL
278,Water,Water,Wetland,NULL,Wetland,NULL,Water,NULL
279,Water,Water,Wetland,NULL,Wetland,NULL,Forest,NULL
280,Water,Water,Wetland,NULL,Wetland,Grassland,Wetland,NULL
281,Water,Water,Wetland,NULL,Wetland,Wetland,Grassland,NULL
282,Water,Water,Wetland,NULL,Wetland,Wetland,Wetland,NULL
283,Water,Water,Wetland,NULL,Wetland,Wetland,Water,NULL
284,Water,Water,Wetland,NULL,Wetland,Wetland,Forest,NULL
285,Water,Water,Wetland,NULL,Wetland,Water,NULL,NULL
286,Water,Water,Wetland,NULL,Wetland,Water,Grassland,NULL
287,Water,Water,Wetland,NULL,Wetland,Water,Wetland,NULL
288,Water,Water,Wetland,NULL,Wetland,Water,Bareland,NULL
289,Water,Water,Wetland,NULL,Wetland,Water,Water,NULL
290,Water,Water,Wetland,NULL,Wetland,Water,Forest,NULL
291,Water,Water,Wetland,NULL,Wetland,Forest,Wetland,NULL
292,Water,Water,Wetland,NULL,Wetland,Forest,Water,NULL
293,Water,Water,Wetland,NULL,Wetland,Forest,Forest,NULL
294,Water,Water,Bareland,NULL,Non_Wetland,NULL,Water,NULL
295,Water,Water,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
296,Water,Water,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
297,Water,Water,Bareland,NULL,Non_Wetland,Water,Water,NULL
298,Water,Water,Bareland,NULL,Non_Wetland,Water,Forest,NULL
299,Water,Water,Bareland,NULL,Non_Wetland,Forest,Water,NULL
300,Water,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,NULL
301,Water,Water,Built-up,NULL,Non_Wetland,Water,Wetland,NULL
302,Water,Water,Built-up,NULL,Non_Wetland,Water,Water,NULL
303,Water,Water,Water,NULL,Water,NULL,Wetland,NULL
304,Water,Water,Water,NULL,Water,NULL,Water,NULL
305,Water,Water,Water,NULL,Water,Grassland,Water,NULL
306,Water,Water,Water,NULL,Water,Wetland,Wetland,NULL
307,Water,Water,Water,NULL,Water,Wetland,Water,NULL
308,Water,Water,Water,NULL,Water,Wetland,Forest,NULL
309,Water,Water,Water,NULL,Water,Water,Grassland,NULL
310,Water,Water,Water,NULL,Water,Water,Wetland,NULL
311,Water,Water,Water,NULL,Water,Water,Water,NULL
312,Water,Water,Water,NULL,Water,Water,Forest,NULL
313,Water,Water,Water,NULL,Water,Forest,Water,NULL
314,Water,Water,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
315,Water,Water,Forest,NULL,Non_Wetland,NULL,Water,NULL
316,Water,Water,Forest,NULL,Non_Wetland,NULL,Forest,NULL
317,Water,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
318,Water,Water,Forest,NULL,Non_Wetland,Wetland,NULL,NULL
319,Water,Water,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
320,Water,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,NULL
321,Water,Water,Forest,NULL,Non_Wetland,Wetland,Water,NULL
322,Water,Water,Forest,NULL,Non_Wetland,Wetland,Forest,NULL
323,Water,Water,Forest,NULL,Non_Wetland,Water,NULL,NULL
324,Water,Water,Forest,NULL,Non_Wetland,Water,Grassland,NULL
325,Water,Water,Forest,NULL,Non_Wetland,Water,Wetland,NULL
326,Water,Water,Forest,NULL,Non_Wetland,Water,Water,NULL
327,Water,Water,Forest,NULL,Non_Wetland,Water,Forest,NULL
328,Water,Water,Forest,NULL,Non_Wetland,Forest,Grassland,NULL
329,Water,Water,Forest,NULL,Non_Wetland,Forest,Wetland,NULL
330,Water,Water,Forest,NULL,Non_Wetland,Forest,Water,NULL
331,Water,Water,Forest,NULL,Non_Wetland,Forest,Forest,NULL
332,Water,Forest,NULL,NULL,Non_Wetland,Water,Water,NULL
333,Water,Forest,NULL,NULL,Non_Wetland,Water,Forest,NULL
334,Water,Forest,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
335,Water,Forest,Wetland,NULL,Wetland,Wetland,Forest,NULL
336,Water,Forest,Wetland,NULL,Wetland,Water,Wetland,NULL
337,Water,Forest,Wetland,NULL,Wetland,Water,Water,NULL
338,Water,Forest,Wetland,NULL,Wetland,Water,Forest,NULL
339,Water,Forest,Bareland,NULL,Non_Wetland,Water,Wetland,NULL
340,Water,Forest,Bareland,NULL,Non_Wetland,Water,Forest,NULL
341,Water,Forest,Water,NULL,Water,Wetland,Forest,NULL
342,Water,Forest,Water,NULL,Water,Water,Water,NULL
343,Water,Forest,Forest,NULL,Non_Wetland,Water,Forest,NULL
344,Forest,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
345,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
346,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
347,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
348,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
349,Forest,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
350,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
351,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
352,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
353,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
354,Forest,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
355,Forest,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
356,Forest,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
357,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
358,Forest,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
