Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLH_M_R
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
50,NULL,NULL,Water,NULL,Water,Bareland,Bareland,Grassland
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
55,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
56,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
60,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
62,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
64,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
65,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
67,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
68,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
69,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,NULL
71,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
75,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
77,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
80,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
81,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
83,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
84,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
85,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
86,NULL,Built-up,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
87,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
88,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
89,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
91,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
92,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
93,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
96,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
97,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
98,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
99,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
100,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
101,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
102,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
103,NULL,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
104,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
105,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
106,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
107,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
108,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
109,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
110,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
111,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
112,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
113,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
114,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
115,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Forest,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
118,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
119,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
120,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
122,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
123,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
124,NULL,Forest,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
125,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
126,NULL,Forest,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
127,NULL,Forest,Wetland,NULL,Wetland,Grassland,Forest,Forest
128,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
129,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
132,NULL,Forest,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
133,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
134,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
135,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
136,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
137,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
138,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
139,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
140,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
141,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
142,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
143,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
144,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
145,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,NULL
146,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
147,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
148,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
149,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
150,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
151,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Grassland
152,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
153,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
154,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
155,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
156,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
157,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
158,Grassland,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
159,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
160,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
161,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
162,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
163,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
164,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
165,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
166,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
167,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
168,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
169,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
170,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
171,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
172,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
173,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
174,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
175,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
176,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
177,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
178,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
179,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
180,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
181,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
182,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
184,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
185,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
186,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
187,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
188,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
189,Grassland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
190,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
191,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
192,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
193,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,NULL
194,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
195,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
196,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
197,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
199,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
200,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
201,Grassland,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
202,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
203,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
204,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
205,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
206,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
207,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
208,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
209,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
210,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
211,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
212,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
213,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,NULL
214,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
215,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
216,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
217,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
218,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
219,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
220,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
221,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
222,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
223,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
224,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
225,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
226,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
227,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
228,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
230,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
231,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
232,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
233,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
234,Grassland,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
235,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
236,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
237,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
238,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
239,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
240,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
241,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
242,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
243,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
244,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
245,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
246,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
247,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
248,Grassland,Forest,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
249,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
250,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
251,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
252,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
253,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
254,Grassland,Forest,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
255,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
256,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
257,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
258,Grassland,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
259,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,NULL
260,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
261,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
262,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
263,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
264,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
265,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
266,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
267,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
268,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
269,Cropland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
270,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
271,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
272,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
273,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
274,Cropland,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
275,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
276,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
277,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
278,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
279,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
280,Cropland,NULL,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
281,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
282,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
283,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
284,Cropland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
285,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
286,Cropland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
287,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
288,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
289,Cropland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
290,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
291,Cropland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
292,Cropland,Bareland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
293,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
294,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
295,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
296,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
297,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
298,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
299,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
300,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
301,Cropland,Forest,Water,NULL,Water,NULL,NULL,Grassland
302,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
303,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
304,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
305,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
306,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
307,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
308,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
309,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
310,Cropland,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
311,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
312,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
313,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
314,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
315,Wetland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
316,Wetland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
317,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
318,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
319,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
320,Wetland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
321,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
322,Wetland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
323,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
324,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
325,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
