Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPQ_M_R
1721,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Grassland
1722,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Water
1723,NULL,NULL,Forest,Water,Non_Wetland,Water,Forest,Water
1724,NULL,NULL,Forest,Water,Non_Wetland,Forest,Grassland,Grassland
1725,NULL,NULL,Forest,Water,Non_Wetland,Forest,Bareland,Grassland
1726,NULL,NULL,Forest,Water,Non_Wetland,Forest,Forest,Grassland
1727,NULL,NULL,Forest,Water,Non_Wetland,Forest,Forest,Cropland
1728,NULL,NULL,Forest,Water,Non_Wetland,Forest,Forest,Forest
1729,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1730,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1731,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
1732,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1733,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
1734,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
1735,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
1736,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1737,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1738,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
1739,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1740,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
1741,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
1742,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,NULL
1743,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
1744,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
1745,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Forest,Forest
1746,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
1747,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
1748,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
1749,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1750,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1751,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1752,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1753,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
1754,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1755,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
1756,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
1757,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
1758,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
1759,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
1760,NULL,Cropland,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
1761,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
1762,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
1763,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
1764,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
1765,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
1766,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
1767,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1768,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1769,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1770,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
1771,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1772,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1773,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
1774,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
1775,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
1776,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1777,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
1778,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1779,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
1780,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
1781,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1782,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
1783,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
1784,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
1785,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1786,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
1787,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
1788,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
1789,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
1790,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
1791,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
1792,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
1793,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
1794,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
1795,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
1796,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
1797,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
1798,NULL,Cropland,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
1799,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
1800,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1801,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
1802,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
1803,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
1804,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
1805,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
1806,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1807,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1808,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1809,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
1810,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
1811,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1812,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
1813,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
1814,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1815,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
1816,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1817,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
1818,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1819,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
1820,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1821,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
1822,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
1823,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
1824,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
1825,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
1826,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
1827,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
1828,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
1829,NULL,Cropland,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
1830,NULL,Cropland,NULL,NULL,Non_Wetland,Water,Forest,Bareland
1831,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,NULL
1832,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
1833,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
1834,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,NULL,Forest
1835,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
1836,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
1837,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
1838,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
1839,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
1840,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
1841,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
1842,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,NULL
1843,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
1844,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
1845,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
1846,NULL,Cropland,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1847,NULL,Cropland,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
1848,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1849,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1850,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
1851,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
1852,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
1853,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
1854,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
1855,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
1856,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
1857,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
1858,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
1859,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
1860,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
1861,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
1862,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
1863,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
1864,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
1865,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
1866,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
1867,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
1868,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
1869,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
1870,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
1871,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
1872,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1873,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
1874,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1875,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
1876,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
1877,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
1878,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
1879,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
1880,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1881,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1882,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
1883,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
1884,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
1885,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
1886,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
1887,NULL,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
1888,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
1889,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1890,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
1891,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
1892,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
1893,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
1894,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1895,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
1896,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
1897,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1898,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
1899,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1900,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
1901,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1902,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1903,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1904,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
1905,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1906,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
1907,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1908,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
1909,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
1910,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
1911,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
1912,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
1913,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1914,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
1915,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
1916,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
1917,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1918,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
1919,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
1920,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
1921,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
1922,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
1923,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
1924,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
1925,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
1926,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
1927,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
1928,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
1929,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
1930,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
1931,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
1932,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
1933,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
1934,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
1935,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
1936,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
1937,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
1938,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1939,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
1940,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
1941,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
1942,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
1943,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
1944,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1945,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
1946,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1947,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1948,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1949,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
1950,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1951,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
1952,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1953,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
1954,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
1955,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
1956,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
1957,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
1958,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
1959,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
1960,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
1961,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
1962,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
1963,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
1964,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
1965,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
1966,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
1967,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
1968,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
1969,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
1970,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
1971,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
1972,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
1973,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
1974,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
1975,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
1976,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Built-up
1977,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
1978,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,NULL
1979,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
1980,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
1981,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
1982,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
1983,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
1984,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Built-up
1985,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1986,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Built-up,NULL
1987,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
1988,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
1989,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
1990,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1991,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Grassland
1992,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest,Forest,NULL
1993,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
1994,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
1995,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
1996,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
1997,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
1998,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
1999,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2000,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
2001,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Built-up
2002,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
2003,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Bareland,NULL
2004,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
2005,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
2006,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Built-up,Grassland
2007,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
2008,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
2009,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest,Cropland
2010,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest,Bareland
2011,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
2012,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,NULL
2013,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
2014,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2015,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2016,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2017,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
2018,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2019,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2020,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Forest,NULL
2021,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
2022,NULL,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
2023,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
2024,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2025,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
2026,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2027,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
2028,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2029,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2030,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
2031,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2032,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2033,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2034,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
2035,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2036,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Cropland
2037,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
