Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LWJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LWJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LWJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LWJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LWJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LWJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LWJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LWJ_M_R
29,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
30,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
31,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
32,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
41,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
49,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Wetland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
65,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
66,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
68,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
69,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,NULL
70,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
71,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,NULL
72,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
73,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
74,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
75,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
77,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Wetland
80,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
81,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
89,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
93,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
94,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
95,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
99,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
101,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
102,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
103,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
104,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
105,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Wetland
106,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
107,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
108,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
109,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,NULL
110,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
111,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Water
112,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
113,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
114,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
115,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
116,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
117,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
118,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
119,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
120,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
121,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
122,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
123,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
124,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
125,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
126,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
127,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Grassland
128,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,NULL,Wetland
129,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
130,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
131,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
132,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
133,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
134,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
135,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
136,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
137,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
138,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
139,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
140,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
142,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
143,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
144,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
145,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
146,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
147,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
148,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
149,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
150,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
151,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
152,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,NULL
153,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
154,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
155,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
156,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
157,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
158,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
159,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
160,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
161,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
162,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
163,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
164,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
165,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
166,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
167,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
168,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Grassland
169,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Grassland
170,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Wetland
171,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
172,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
173,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
174,NULL,NULL,Wetland,NULL,Wetland,Wetland,NULL,Wetland
175,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
176,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
177,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
178,NULL,NULL,Wetland,Non_Water,NULL,Bareland,NULL,Grassland
179,NULL,NULL,Wetland,Non_Water,NULL,Bareland,Bareland,Bareland
180,NULL,NULL,Wetland,Non_Water,NULL,Bareland,Bareland,Water
181,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
182,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
183,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
184,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
185,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Bareland,Grassland
186,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Grassland
187,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water,Wetland
188,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,NULL,Grassland
189,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Grassland
190,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,Grassland
191,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,Wetland
192,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,NULL,Bareland
193,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Wetland
194,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
195,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Wetland
196,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
197,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
198,NULL,NULL,Wetland,Water,NULL,Bareland,Bareland,Water
199,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
200,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Wetland
201,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Wetland
202,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
203,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
204,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Bareland
205,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
206,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Water,Water
208,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
209,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
211,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
212,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,NULL,Bareland
213,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Bareland,Bareland
214,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
216,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland,Grassland
217,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
218,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
219,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
220,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
221,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
222,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
223,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
224,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
225,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
226,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
227,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
228,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
229,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
230,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Wetland
232,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Wetland,Grassland
233,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland,Grassland
234,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Water,Grassland
235,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,NULL,Grassland
236,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
237,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
238,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,NULL
239,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Grassland
240,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Wetland
241,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,NULL,Bareland
242,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,NULL
243,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
244,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,NULL
245,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
246,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
247,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
248,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
249,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Water
250,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,NULL
251,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
252,NULL,NULL,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
253,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
254,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
256,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,NULL
258,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
259,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Wetland
260,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
261,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,NULL
262,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
263,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Wetland
264,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Grassland
265,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
266,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
267,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
268,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
269,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
271,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
272,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
273,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Bareland,Wetland
274,NULL,NULL,Forest,NULL,Non_Wetland,Built-up,Built-up,Grassland
275,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
276,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
277,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
279,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
280,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
281,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
282,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
283,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
284,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
285,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Wetland,Wetland
286,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
287,NULL,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Wetland
288,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
289,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Wetland,Wetland
290,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
291,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
292,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
294,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
297,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
298,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
299,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
300,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
301,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
303,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
304,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
305,NULL,Bareland,Wetland,Non_Water,NULL,Bareland,Bareland,Wetland
306,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland,NULL,Wetland
307,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
308,NULL,Bareland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
309,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
310,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
311,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
312,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland,Built-up,Bareland
313,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
314,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
315,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
316,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
317,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
318,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
319,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
320,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
321,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
322,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
323,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Water,Grassland
324,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Water,Forest
325,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
326,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
