Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZP_M_R
907,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
908,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
909,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
910,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
911,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
912,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
913,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
914,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
915,Grassland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
916,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
917,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
918,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
919,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
920,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
921,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
922,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
923,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
924,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
925,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
926,Grassland,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Forest
927,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
928,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
929,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
930,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
931,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
932,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
933,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
934,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
935,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
936,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
937,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
938,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
939,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
940,Grassland,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
941,Grassland,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
942,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
943,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
944,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
945,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
946,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
947,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
948,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
949,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
950,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
951,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
952,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
953,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
954,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
955,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
956,Grassland,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
957,Grassland,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
958,Grassland,NULL,Wetland,NULL,Wetland,Water,Water,Water
959,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
960,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Wetland
961,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Water
962,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
963,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
964,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
965,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Forest
966,Grassland,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
967,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Water
968,Grassland,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Forest
969,Grassland,NULL,Wetland,Water,Wetland,Grassland,Grassland,Grassland
970,Grassland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
971,Grassland,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
972,Grassland,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
973,Grassland,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
974,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
975,Grassland,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
976,Grassland,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
977,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
978,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
979,Grassland,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
980,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
981,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Bareland
982,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Water
983,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Forest
984,Grassland,NULL,Water,NULL,Water,Grassland,Bareland,Forest
985,Grassland,NULL,Water,NULL,Water,Grassland,Forest,Forest
986,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
987,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Water
988,Grassland,NULL,Water,NULL,Water,Bareland,Grassland,Forest
989,Grassland,NULL,Water,NULL,Water,Bareland,Bareland,Forest
990,Grassland,NULL,Water,NULL,Water,Water,Grassland,Forest
991,Grassland,NULL,Water,NULL,Water,Water,Water,Water
992,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Grassland
993,Grassland,NULL,Water,Non_Water,Water,Grassland,Grassland,Forest
994,Grassland,NULL,Water,Non_Water,Water,Grassland,Wetland,Grassland
995,Grassland,NULL,Water,Non_Water,Water,Grassland,Water,Grassland
996,Grassland,NULL,Water,Non_Water,Water,Grassland,Forest,Water
997,Grassland,NULL,Water,Non_Water,Water,Bareland,Grassland,Forest
998,Grassland,NULL,Water,Non_Water,Water,Bareland,Wetland,Grassland
999,Grassland,NULL,Water,Non_Water,Water,Bareland,Wetland,Forest
1000,Grassland,NULL,Water,Non_Water,Water,Bareland,Water,Grassland
1001,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Grassland
1002,Grassland,NULL,Water,Water,Water,Grassland,Grassland,Forest
1003,Grassland,NULL,Water,Water,Water,Grassland,Wetland,Grassland
1004,Grassland,NULL,Water,Water,Water,Grassland,Water,Water
1005,Grassland,NULL,Water,Water,Water,Bareland,Grassland,Grassland
1006,Grassland,NULL,Water,Water,Water,Bareland,Grassland,Water
1007,Grassland,NULL,Water,Water,Water,Bareland,Grassland,Forest
1008,Grassland,NULL,Water,Water,Water,Bareland,Bareland,Water
1009,Grassland,NULL,Water,Water,Water,Bareland,Water,Forest
1010,Grassland,NULL,Water,Water,Water,Water,Water,Water
1011,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
1012,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
1013,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1014,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
1015,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
1016,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1017,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
1018,Grassland,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Forest
1019,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
1020,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1021,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
1022,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1023,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1024,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Bareland
1025,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
1026,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1027,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1028,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1029,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
1030,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1031,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1032,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
1033,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1034,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1035,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
1036,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
1037,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
1038,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,NULL
1039,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1040,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Bareland
1041,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1042,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
1043,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
1044,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1045,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1046,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
1047,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
1048,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
1049,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
1050,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
1051,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Bareland
1052,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
1053,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
1054,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1055,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1056,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
1057,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
1058,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1059,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1060,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
1061,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
1062,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
1063,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
1064,Grassland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Forest
1065,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
1066,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Forest
1067,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1068,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1069,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1070,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1071,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
1072,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1073,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1074,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
1075,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1076,Grassland,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1077,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1078,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1079,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1080,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1081,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1082,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1083,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1084,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1085,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1086,Grassland,Cropland,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1087,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
1088,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
1089,Grassland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1090,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1091,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1092,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1093,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1094,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1095,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1096,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
1097,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1098,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
1099,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1100,Grassland,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
1101,Grassland,Cropland,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1102,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1103,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1104,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1105,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
1106,Grassland,Cropland,Wetland,NULL,Wetland,Bareland,Bareland,Forest
1107,Grassland,Cropland,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
1108,Grassland,Cropland,Wetland,Water,Wetland,Bareland,Grassland,Grassland
1109,Grassland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1110,Grassland,Cropland,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1111,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
1112,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
1113,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
1114,Grassland,Cropland,Water,NULL,Water,Grassland,Grassland,Grassland
1115,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1116,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1117,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
1118,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
1119,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
1120,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
1121,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1122,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
1123,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
1124,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
1125,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1126,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
1127,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1128,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
1129,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1130,Grassland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1131,Grassland,Wetland,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
1132,Grassland,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1133,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1134,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1135,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1136,Grassland,Water,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1137,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1138,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1139,Grassland,Water,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1140,Grassland,Water,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
1141,Grassland,Water,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1142,Grassland,Water,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
1143,Grassland,Water,Wetland,NULL,Wetland,Grassland,Grassland,Forest
1144,Grassland,Water,Wetland,NULL,Wetland,Bareland,Bareland,Forest
1145,Grassland,Water,Wetland,Water,Wetland,Grassland,Grassland,Grassland
1146,Grassland,Water,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1147,Grassland,Water,Water,Water,Water,Grassland,Wetland,Forest
1148,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1149,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1150,Grassland,Water,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
1151,Grassland,Water,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
1152,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1153,Grassland,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1154,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1155,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1156,Grassland,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1157,Grassland,Forest,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1158,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
1159,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1160,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1161,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
1162,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1163,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1164,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1165,Grassland,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1166,Grassland,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1167,Grassland,Forest,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1168,Grassland,Forest,Wetland,NULL,Wetland,Bareland,Forest,Grassland
1169,Grassland,Forest,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
1170,Grassland,Forest,Wetland,Water,Wetland,Grassland,Wetland,Grassland
1171,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
1172,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
1173,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
1174,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
1175,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
1176,Grassland,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
1177,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1178,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1179,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
1180,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
1181,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1182,Cropland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
1183,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
1184,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
1185,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
1186,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
1187,Cropland,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
1188,Cropland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
1189,Cropland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
1190,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
1191,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1192,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1193,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1194,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
1195,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1196,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
1197,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
1198,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
1199,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1200,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
1201,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1202,Cropland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
1203,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
1204,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
1205,Cropland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
1206,Cropland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
1207,Cropland,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
1208,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
1209,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
1210,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
1211,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1212,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
1213,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
1214,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
1215,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
1216,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1217,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
1218,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
1219,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
1220,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
1221,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1222,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
1223,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
1224,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
1225,Cropland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
1226,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
1227,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
1228,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
1229,Cropland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
1230,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
1231,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
1232,Cropland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
1233,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
1234,Cropland,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
