Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MNU_M_R
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Water,Bareland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
116,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
118,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
119,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
120,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
121,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
122,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
123,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
124,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
125,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
126,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
127,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Wetland
128,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
129,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Built-up,Grassland
131,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
132,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
133,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
134,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
135,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
136,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
137,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
138,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
139,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
140,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
141,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
142,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Forest,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,NULL
159,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
161,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
162,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Wetland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
165,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
166,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
167,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
168,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Wetland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
172,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
173,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
175,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
177,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Wetland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
181,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
182,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
188,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
189,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
190,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
191,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
192,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
196,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
198,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Wetland
200,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
201,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
202,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
203,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
204,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
205,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
206,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
207,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
208,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
210,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
211,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
212,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
215,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
218,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Wetland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
221,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Wetland
222,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
223,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
225,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
227,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Wetland
228,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Water,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
231,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Wetland
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
234,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,NULL
237,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Wetland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
240,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
241,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
242,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,NULL
243,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Wetland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Bareland
246,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
247,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Wetland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
251,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
252,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
254,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
255,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
256,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Wetland
258,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
259,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,NULL
260,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
261,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Wetland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
264,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
265,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
268,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
269,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Wetland
271,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
273,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
274,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Water,Grassland
275,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
276,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
277,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
278,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
279,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
280,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
281,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
282,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
283,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
284,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
285,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
286,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
287,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
288,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
289,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
290,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
291,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
292,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Forest,Bareland
293,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Bareland,Built-up
294,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
295,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
296,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
297,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
298,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
299,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
300,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
301,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Built-up
302,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Built-up,Grassland
303,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Forest,Grassland
304,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Forest,Bareland
305,NULL,NULL,Cropland,Water,Non_Wetland,Built-up,Built-up,Grassland
306,NULL,NULL,Wetland,NULL,NULL,Grassland,Grassland,Grassland
307,NULL,NULL,Wetland,NULL,Wetland,NULL,Shrubland,Grassland
308,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
309,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
310,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
311,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
312,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Grassland
313,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Wetland
314,NULL,NULL,Wetland,NULL,Wetland,NULL,Water,Wetland
315,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
316,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Wetland
317,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
318,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
319,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Wetland
320,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
321,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
322,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
