Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NMF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NMF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NMF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NMF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NMF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NMF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NMF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NMF_M_R
129,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Bareland
130,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Forest
131,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
132,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
133,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Bareland
134,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,NULL
135,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
136,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Wetland
137,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Bareland
138,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Forest
139,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
140,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
141,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Bareland
142,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
143,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
144,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
145,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
146,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
147,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
148,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
149,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
150,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
151,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
152,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
153,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
154,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
155,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
156,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
158,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
160,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
161,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
163,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Bareland
166,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
169,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
170,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
172,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
173,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
177,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
179,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Bareland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Bareland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
184,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
185,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
186,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
187,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
188,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
189,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
190,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Bareland
191,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Wetland
192,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
193,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Bareland
194,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Grassland
195,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
196,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,NULL
197,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
198,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
199,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Wetland
200,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
201,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Bareland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Grassland
203,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Grassland
204,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
205,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,NULL
206,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
207,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Wetland
208,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
209,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Forest
210,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,NULL
211,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
212,NULL,NULL,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
213,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
214,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
215,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
216,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
217,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
218,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
219,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Wetland
220,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Bareland
221,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
222,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
223,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
224,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Wetland
225,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Bareland
226,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
227,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
228,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
229,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
230,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
231,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
232,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Wetland
233,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Bareland
234,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
235,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
236,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
237,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
238,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Bareland
239,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
240,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
241,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
242,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
243,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
244,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Bareland
245,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
246,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
247,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
248,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Wetland
249,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
250,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
251,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
252,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Wetland
253,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Bareland
254,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
255,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
256,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
257,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
258,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Bareland
259,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Water
260,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
261,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
262,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
263,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
264,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Bareland
265,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Water
266,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
267,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Grassland
268,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Wetland
269,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,Forest
270,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,NULL
271,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
272,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
273,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,NULL
274,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland,Forest
275,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,NULL
276,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
277,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Wetland
278,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Bareland
279,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
280,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,NULL
281,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
282,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Wetland
283,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Bareland
284,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
285,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,NULL
286,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Grassland
287,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Grassland,Wetland
288,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,NULL
289,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
290,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
291,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Bareland
292,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
293,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,NULL
294,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
295,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
296,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Bareland
297,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
298,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,NULL
299,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Grassland
300,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Wetland
301,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Forest,Forest
302,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
303,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Wetland
304,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Forest
305,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,NULL
306,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
307,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
308,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
309,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
310,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
311,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,NULL
312,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
313,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
314,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Bareland
315,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Water
316,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
317,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Grassland
318,NULL,NULL,Wetland,Non_Water,Wetland,Water,Forest,Forest
319,NULL,NULL,Wetland,Non_Water,Wetland,Forest,Wetland,Forest
320,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,NULL
321,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
322,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
323,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
324,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Forest
325,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
326,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Wetland
327,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Bareland
328,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Grassland
329,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Wetland
330,NULL,NULL,Wetland,Water,Wetland,Wetland,Grassland,Forest
331,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,NULL
332,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
333,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
