Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQP_M_R
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
71,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
73,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
74,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
75,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
76,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
90,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
91,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Cropland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
96,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
97,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
99,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Bareland
100,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
101,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
103,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Built-up
104,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
105,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
106,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Forest
107,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
108,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
109,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
110,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
111,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
112,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
113,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
114,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
116,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
117,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
118,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
119,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
120,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
121,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
122,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
123,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
124,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
125,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
126,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
127,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
128,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
129,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
131,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
132,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Water
133,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Forest
134,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
135,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
136,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
137,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
138,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
139,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
140,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
141,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
142,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
143,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
144,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
145,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
146,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
147,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
148,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
149,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
150,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
151,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
152,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
153,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
154,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
155,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
157,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
158,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
159,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
160,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
161,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
162,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
163,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
164,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
165,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
167,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
168,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
169,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
170,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
172,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
173,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
174,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
175,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Wetland
176,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
177,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
178,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
179,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
180,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
181,NULL,NULL,Wetland,NULL,Wetland,Cropland,Grassland,Grassland
182,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
183,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
184,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Water
185,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
186,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Forest
187,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Forest
189,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Grassland
190,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Water,Forest
191,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Water
192,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
193,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
194,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
195,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Forest
196,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
197,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
198,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Forest
199,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Grassland
200,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
201,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
202,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
204,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
205,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
206,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
207,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
208,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
209,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
210,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
211,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
212,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
213,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
214,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
215,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
216,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
217,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
218,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
219,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
220,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
221,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
222,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
223,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
224,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland,NULL,Bareland
225,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
226,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
227,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
228,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
229,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
230,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
231,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
232,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
233,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
234,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
235,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Bareland
236,NULL,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Bareland
237,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
238,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Water,Grassland
239,NULL,NULL,Water,NULL,Water,Grassland,NULL,Grassland
240,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
241,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Forest
242,NULL,NULL,Water,NULL,Water,Grassland,Water,Grassland
243,NULL,NULL,Water,Non_Water,Water,Grassland,Grassland,Wetland
244,NULL,NULL,Water,Water,Water,Grassland,Water,Grassland
245,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
246,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
248,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
249,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
250,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
251,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,NULL
252,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
253,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Built-up
254,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
255,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
256,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,NULL
257,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
258,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
259,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,NULL
260,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
261,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
262,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
263,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
264,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Grassland
265,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Bareland,Forest
266,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
267,NULL,NULL,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
268,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
269,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
270,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
271,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
272,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
273,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
274,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
275,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Built-up
276,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
277,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
278,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
279,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
280,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
281,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Grassland
282,NULL,NULL,Forest,NULL,Non_Wetland,Water,Bareland,Forest
283,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
284,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
285,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
286,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
287,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
288,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
289,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
290,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Water,Grassland
291,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
292,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
293,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
294,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
295,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
296,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
297,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
298,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
299,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
300,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
301,NULL,Cropland,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
302,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
303,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
304,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
305,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
306,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
307,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
308,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
309,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
310,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
311,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
312,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
313,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
314,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
315,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
316,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
317,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
318,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
319,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
320,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
321,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
322,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
323,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
324,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
325,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
326,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
