Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KLR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KLR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KLR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KLR_M_R
3296,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
3297,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
3298,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
3299,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
3300,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
3301,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
3302,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3303,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
3304,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
3305,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
3306,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
3307,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Cropland
3308,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
3309,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3310,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
3311,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3312,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
3313,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3314,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
3315,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
3316,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
3317,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
3318,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
3319,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
3320,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3321,Grassland,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
3322,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
3323,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
3324,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
3325,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
3326,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
3327,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
3328,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
3329,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
3330,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
3331,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
3332,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Water,Cropland
3333,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
3334,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
3335,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
3336,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Water,Cropland
3337,Grassland,NULL,NULL,Water,Non_Wetland,Water,NULL,Cropland
3338,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3339,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3340,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
3341,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
3342,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
3343,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
3344,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
3345,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
3346,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
3347,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
3348,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
3349,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
3350,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
3351,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
3352,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
3353,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
3354,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
3355,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
3356,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
3357,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
3358,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
3359,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
3360,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
3361,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
3362,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Built-up
3363,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
3364,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
3365,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
3366,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
3367,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
3368,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
3369,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
3370,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
3371,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
3372,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
3373,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3374,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3375,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3376,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3377,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3378,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
3379,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
3380,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3381,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3382,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
3383,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3384,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
3385,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3386,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
3387,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
3388,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
3389,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Cropland
3390,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
3391,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
3392,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
3393,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
3394,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
3395,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
3396,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
3397,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3398,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3399,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
3400,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
3401,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
3402,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
3403,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
3404,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
3405,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
3406,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Built-up
3407,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
3408,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
3409,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
3410,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
3411,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
3412,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
3413,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
3414,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
3415,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
3416,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
3417,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
3418,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
3419,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
3420,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
3421,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
3422,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
3423,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
3424,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
3425,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
3426,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
3427,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
3428,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
3429,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
3430,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
3431,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
3432,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
3433,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Water
3434,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
3435,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
3436,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
3437,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
3438,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
3439,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
3440,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
3441,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
3442,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
3443,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
3444,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
3445,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
3446,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
3447,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
3448,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
3449,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
3450,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
3451,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
3452,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
3453,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Built-up,Grassland
3454,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
3455,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest,Cropland
3456,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3457,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
3458,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
3459,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3460,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
3461,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
3462,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
3463,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
3464,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
3465,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
3466,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Cropland
3467,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
3468,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
3469,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
3470,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
3471,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
3472,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
3473,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,NULL,Cropland
3474,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
3475,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
3476,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,Water,Grassland
3477,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Forest
3478,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
3479,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
3480,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
3481,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Water
3482,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
3483,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
3484,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
3485,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Cropland
3486,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
3487,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
3488,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
3489,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
3490,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Cropland
3491,Grassland,NULL,Shrubland,Water,Non_Wetland,Forest,Wetland,Cropland
3492,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
3493,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
3494,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
3495,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
3496,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
3497,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
3498,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
3499,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
3500,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
3501,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3502,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3503,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
3504,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
3505,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
3506,Grassland,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3507,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
3508,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
3509,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
3510,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
3511,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
3512,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
3513,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,Water,Grassland
3514,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
3515,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
3516,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
3517,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
3518,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
3519,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
3520,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
3521,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
3522,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
3523,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
3524,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
3525,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
3526,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
3527,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
3528,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
3529,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
3530,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
3531,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
3532,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
3533,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
3534,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Wetland
3535,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
3536,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
3537,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
3538,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Bareland
3539,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
3540,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
3541,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
3542,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
3543,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
3544,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
3545,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
3546,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Cropland
3547,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Bareland
3548,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Built-up
3549,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Water
3550,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Forest
3551,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
3552,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
3553,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
3554,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Built-up
3555,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
3556,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
3557,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
3558,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
3559,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
3560,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
3561,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Water
3562,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
3563,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
3564,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
3565,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
3566,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
3567,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
3568,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
3569,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
3570,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
3571,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
3572,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
3573,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Cropland
3574,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
3575,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
3576,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
3577,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
3578,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
3579,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
3580,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Cropland
3581,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
3582,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
3583,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Cropland
3584,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Bareland
3585,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
3586,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
3587,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
3588,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Wetland
3589,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Bareland
3590,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Built-up
3591,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Forest
3592,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
3593,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
3594,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
3595,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Built-up
3596,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Forest
3597,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
3598,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Cropland
3599,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
3600,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
3601,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
3602,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Forest
3603,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
3604,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
3605,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Bareland
3606,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Built-up
3607,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Water,Grassland
3608,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Water,Cropland
3609,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Grassland
3610,Grassland,NULL,Cropland,NULL,Non_Wetland,Cropland,Forest,Cropland
