Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LGQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LGQ_M_R
2675,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
2676,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
2677,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2678,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
2679,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
2680,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Water
2681,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
2682,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
2683,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
2684,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
2685,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
2686,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
2687,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
2688,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
2689,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
2690,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
2691,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
2692,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
2693,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
2694,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2695,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Bareland
2696,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
2697,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Forest
2698,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2699,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
2700,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
2701,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
2702,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
2703,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Cropland
2704,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Bareland
2705,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
2706,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
2707,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2708,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2709,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
2710,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2711,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
2712,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
2713,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
2714,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
2715,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
2716,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
2717,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
2718,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
2719,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
2720,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
2721,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
2722,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
2723,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
2724,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
2725,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
2726,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
2727,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
2728,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest,Shrubland,Forest
2729,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest,Forest,Grassland
2730,NULL,Built-up,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Grassland
2731,NULL,Built-up,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,Forest
2732,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Shrubland,Grassland
2733,NULL,Built-up,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
2734,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Shrubland,Grassland
2735,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Built-up,Bareland
2736,NULL,Built-up,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
2737,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Grassland,Grassland
2738,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
2739,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
2740,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
2741,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
2742,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
2743,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2744,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
2745,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
2746,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
2747,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Bareland
2748,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Built-up
2749,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
2750,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland,Grassland
2751,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland,Cropland
2752,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Bareland,Forest
2753,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Built-up,Forest
2754,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
2755,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
2756,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
2757,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Built-up
2758,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
2759,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2760,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2761,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
2762,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2763,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
2764,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
2765,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
2766,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
2767,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Forest
2768,NULL,Built-up,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
2769,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
2770,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
2771,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
2772,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
2773,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2774,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2775,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
2776,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2777,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2778,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2779,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
2780,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
2781,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2782,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
2783,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
2784,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2785,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Built-up
2786,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
2787,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
2788,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
2789,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
2790,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2791,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
2792,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
2793,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
2794,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2795,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
2796,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2797,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2798,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2799,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2800,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
2801,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2802,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2803,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2804,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
2805,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2806,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
2807,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
2808,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
2809,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Water,Forest
2810,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
2811,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
2812,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Cropland
2813,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Built-up
2814,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Forest
2815,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2816,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
2817,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Forest
2818,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
2819,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2820,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Cropland
2821,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
2822,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
2823,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
2824,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2825,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2826,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
2827,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2828,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
2829,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
2830,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Built-up
2831,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Forest
2832,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
2833,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Shrubland,Grassland
2834,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Shrubland,Forest
2835,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
2836,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Forest
2837,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Water,Forest
2838,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
2839,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
2840,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Grassland,Water,Forest
2841,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest,NULL,Forest
2842,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Forest
2843,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest,Forest,Forest
2844,NULL,Built-up,Grassland,Water,Non_Wetland,Shrubland,Water,Grassland
2845,NULL,Built-up,Grassland,Water,Non_Wetland,Shrubland,Water,Water
2846,NULL,Built-up,Grassland,Water,Non_Wetland,Bareland,Water,Forest
2847,NULL,Built-up,Grassland,Water,Non_Wetland,Built-up,Built-up,Grassland
2848,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
2849,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
2850,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
2851,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
2852,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
2853,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
2854,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
2855,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
2856,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
2857,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
2858,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
2859,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Water
2860,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
2861,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
2862,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Cropland
2863,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
2864,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
2865,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
2866,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
2867,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
2868,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2869,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
2870,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2871,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
2872,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
2873,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
2874,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Water
2875,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Forest
2876,NULL,Built-up,Cropland,NULL,Non_Wetland,Shrubland,Water,Grassland
2877,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2878,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
2879,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
2880,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
2881,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2882,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
2883,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
2884,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2885,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2886,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
2887,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
2888,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2889,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2890,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2891,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
2892,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2893,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
2894,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
2895,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
2896,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
2897,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
2898,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
2899,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
2900,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2901,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
2902,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Cropland
2903,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
2904,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
2905,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
2906,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
2907,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
2908,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2909,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2910,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2911,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2912,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2913,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Cropland
2914,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2915,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2916,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
2917,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
2918,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2919,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
2920,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2921,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2922,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
2923,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2924,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
2925,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
2926,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
2927,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
2928,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
2929,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
2930,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
2931,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
2932,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2933,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Cropland
2934,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
2935,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Forest
2936,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2937,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
2938,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
2939,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
2940,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
2941,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2942,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
2943,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
2944,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2945,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
2946,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Forest,Forest
2947,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Built-up,Grassland
2948,NULL,Built-up,Cropland,NULL,Non_Wetland,Forest,Built-up,Forest
2949,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
2950,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
2951,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
2952,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Shrubland,Grassland
2953,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Shrubland,Forest
2954,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Water,Grassland
2955,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Water,Water
2956,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Water,Forest
2957,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Forest,Forest
2958,NULL,Built-up,Wetland,NULL,Wetland,Grassland,NULL,Forest
2959,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Shrubland,Grassland
2960,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Shrubland,Forest
2961,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
2962,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
2963,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Forest,Forest
2964,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Shrubland,Forest
2965,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Water
2966,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Forest,Forest
2967,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Shrubland,Grassland
2968,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Shrubland,Water
2969,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Shrubland,Forest
2970,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
2971,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Built-up,Bareland
2972,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,Grassland
2973,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,Water
2974,NULL,Built-up,Wetland,NULL,Wetland,Water,Shrubland,Water
2975,NULL,Built-up,Wetland,NULL,Wetland,Forest,Shrubland,Forest
2976,NULL,Built-up,Wetland,NULL,Wetland,Forest,Water,Forest
2977,NULL,Built-up,Wetland,NULL,Wetland,Forest,Forest,Forest
2978,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,Grassland,Forest
2979,NULL,Built-up,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Forest
2980,NULL,Built-up,Wetland,Non_Water,Wetland,Shrubland,Water,Forest
2981,NULL,Built-up,Wetland,Non_Water,Wetland,Grassland,Water,Forest
2982,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland,Shrubland,Forest
2983,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
2984,NULL,Built-up,Wetland,Non_Water,Wetland,Forest,Shrubland,Forest
2985,NULL,Built-up,Wetland,Non_Water,Wetland,Forest,Water,Forest
2986,NULL,Built-up,Wetland,Water,Wetland,NULL,Built-up,Grassland
2987,NULL,Built-up,Wetland,Water,Wetland,Shrubland,Shrubland,Forest
2988,NULL,Built-up,Wetland,Water,Wetland,Shrubland,Water,Grassland
2989,NULL,Built-up,Wetland,Water,Wetland,Grassland,Water,Forest
2990,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Forest
2991,NULL,Built-up,Wetland,Water,Wetland,Bareland,Shrubland,Forest
