Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MNB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MNB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MNB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MNB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MNB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MNB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MNB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MNB_M_R
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
72,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
73,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
74,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
75,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Bareland,Grassland
79,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Wetland
92,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
94,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
96,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
97,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
98,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
99,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
100,NULL,NULL,Cropland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
102,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
103,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
104,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
105,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
106,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
107,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
108,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
109,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
110,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
111,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
112,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
113,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
114,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
115,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
116,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
117,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Forest
118,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
119,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Wetland
120,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Forest
121,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
122,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
123,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
124,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
125,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
126,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
127,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
128,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
129,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
130,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
131,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Forest
132,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
133,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Wetland
134,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Forest
135,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
136,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Wetland
137,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland,Forest
138,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Grassland
139,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Wetland
140,NULL,NULL,Wetland,Water,Wetland,Grassland,Bareland,Grassland
141,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
142,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
143,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
144,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
145,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
146,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Forest
147,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
148,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Wetland
149,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
150,NULL,NULL,Wetland,Water,Wetland,Water,Water,Wetland
151,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
152,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland,Forest
153,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
154,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
155,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
156,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
157,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
158,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
159,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
160,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Wetland
161,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
162,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
163,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Grassland
164,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Grassland
165,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Wetland
166,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Wetland,Forest
167,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Water,Grassland
168,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Forest,Forest
169,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
170,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
171,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
172,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Grassland
173,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Wetland
174,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Water,Forest
175,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Wetland,Grassland
176,NULL,NULL,Bareland,Water,Non_Wetland,Grassland,Wetland,Grassland
177,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
178,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
179,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
180,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Bareland,Grassland
181,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Grassland
182,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Water,Forest
183,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Grassland
184,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Wetland
185,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Wetland
186,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Forest
187,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
188,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Wetland,Wetland
189,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
190,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Forest,Grassland
191,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
192,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
193,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
194,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
195,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Wetland,Wetland
196,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
197,NULL,NULL,Built-up,Non_Water,Non_Wetland,Wetland,Water,Forest
198,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Wetland,Grassland
199,NULL,NULL,Built-up,Water,Non_Wetland,Wetland,Water,Grassland
200,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
201,NULL,NULL,Water,NULL,Water,Wetland,Water,Grassland
202,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
203,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Forest
204,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
205,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
206,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
207,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
208,NULL,NULL,Water,Water,Water,Water,Wetland,Grassland
209,NULL,NULL,Water,Water,Water,Water,Wetland,Wetland
210,NULL,NULL,Water,Water,Water,Water,Water,Grassland
211,NULL,NULL,Water,Water,Water,Water,Water,Wetland
212,NULL,NULL,Water,Water,Water,Water,Water,Water
213,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
214,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
215,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
216,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
217,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
218,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
219,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
220,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
221,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
222,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
223,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
224,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
225,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
226,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
227,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
228,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
229,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
230,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
231,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
232,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
233,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
234,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
235,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
236,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
237,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
238,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
239,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Forest
240,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
241,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Grassland
242,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Wetland
243,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
244,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Grassland
245,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
246,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
247,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
248,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
249,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
250,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
251,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
252,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
253,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Forest
254,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
255,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Wetland,Grassland
256,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Forest
258,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Bareland,Grassland
259,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Water,Grassland
260,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Grassland
261,NULL,NULL,Forest,Water,Non_Wetland,Water,Wetland,Wetland
262,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Wetland
263,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
264,NULL,Wetland,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
265,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
266,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
267,NULL,Wetland,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
268,NULL,Wetland,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
269,NULL,Wetland,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
270,NULL,Wetland,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
271,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
272,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
273,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
274,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
275,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
276,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
277,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
278,NULL,Wetland,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
279,NULL,Wetland,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
280,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland,Forest
281,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
282,NULL,Wetland,Wetland,NULL,Wetland,Grassland,Wetland,Forest
283,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
284,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
285,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Forest
286,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Grassland
287,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Water,Forest
288,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Forest,Forest
289,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Grassland
290,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Wetland
291,NULL,Wetland,Wetland,NULL,Wetland,Water,Wetland,Forest
292,NULL,Wetland,Wetland,NULL,Wetland,Forest,Forest,Forest
293,NULL,Wetland,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
294,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
295,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
296,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
297,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
298,NULL,Wetland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
299,NULL,Wetland,Wetland,Water,Wetland,Grassland,Wetland,Grassland
300,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
301,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Wetland
302,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Forest
303,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
304,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Wetland
305,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Grassland
306,NULL,Wetland,Wetland,Water,Wetland,Water,Wetland,Wetland
307,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Grassland
308,NULL,Wetland,Wetland,Water,Wetland,Water,Water,Wetland
309,NULL,Wetland,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
310,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
311,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
312,NULL,Wetland,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
313,NULL,Wetland,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
314,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
315,NULL,Wetland,Bareland,Water,Non_Wetland,Wetland,Wetland,Forest
316,NULL,Wetland,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
317,NULL,Wetland,Built-up,NULL,Non_Wetland,Wetland,Water,Grassland
318,NULL,Wetland,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
319,NULL,Wetland,Water,NULL,Water,Water,Water,Grassland
320,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Grassland
321,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Wetland
322,NULL,Wetland,Water,Water,Water,Wetland,Wetland,Forest
323,NULL,Wetland,Water,Water,Water,Wetland,Water,Wetland
324,NULL,Wetland,Water,Water,Water,Water,Wetland,Grassland
325,NULL,Wetland,Water,Water,Water,Water,Water,Wetland
326,NULL,Wetland,Water,Water,Water,Water,Water,Water
327,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
328,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
329,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
330,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland,Water,Forest
331,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
332,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
333,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Water,Forest
334,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
335,NULL,Wetland,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
336,NULL,Wetland,Forest,Water,Non_Wetland,Water,Wetland,Grassland
337,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
