Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NML_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NML_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NML_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NML_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NML_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NML_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NML_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NML_M_R
119,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
120,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
121,Water,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
122,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
123,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
124,Water,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
125,Water,NULL,Water,NULL,Water,NULL,NULL,Grassland
126,Water,NULL,Water,NULL,Water,NULL,NULL,Bareland
127,Water,NULL,Water,NULL,Water,NULL,NULL,Water
128,Water,NULL,Water,NULL,Water,NULL,NULL,Forest
129,Water,NULL,Water,Water,Water,NULL,NULL,Water
130,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
131,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
132,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
133,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
134,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
135,Water,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
136,Water,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
137,Water,Bareland,Water,Water,Water,NULL,NULL,Water
138,Water,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
139,Water,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
140,Water,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
141,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
142,Water,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
143,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
144,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
145,Water,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
146,Water,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
147,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
148,Water,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
149,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
150,Water,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
151,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
152,Water,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
153,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
154,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
155,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
156,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Water
157,Water,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
158,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
159,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
160,Water,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
161,Water,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
162,Water,Water,Wetland,Water,Wetland,NULL,NULL,Water
163,Water,Water,Wetland,Water,Wetland,NULL,NULL,Forest
164,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
165,Water,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
166,Water,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
167,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
168,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
169,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
170,Water,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
171,Water,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
172,Water,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
173,Water,Water,Water,NULL,Water,NULL,NULL,Grassland
174,Water,Water,Water,NULL,Water,NULL,NULL,Wetland
175,Water,Water,Water,NULL,Water,NULL,NULL,Bareland
176,Water,Water,Water,NULL,Water,NULL,NULL,Water
177,Water,Water,Water,NULL,Water,NULL,NULL,Forest
178,Water,Water,Water,Non_Water,Water,NULL,NULL,Grassland
179,Water,Water,Water,Non_Water,Water,NULL,NULL,Wetland
180,Water,Water,Water,Non_Water,Water,NULL,NULL,Water
181,Water,Water,Water,Non_Water,Water,NULL,NULL,Forest
182,Water,Water,Water,Water,Water,NULL,NULL,Grassland
183,Water,Water,Water,Water,Water,NULL,NULL,Wetland
184,Water,Water,Water,Water,Water,NULL,NULL,Bareland
185,Water,Water,Water,Water,Water,NULL,NULL,Water
186,Water,Water,Water,Water,Water,NULL,NULL,Forest
187,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
188,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
189,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
190,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
191,Water,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
192,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
193,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
194,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
195,Water,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
196,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
197,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
198,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
199,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
200,Water,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
201,Water,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
202,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
203,Water,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
204,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
205,Water,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
206,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
207,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
208,Water,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
209,Water,Forest,Wetland,Water,Wetland,NULL,NULL,Water
210,Water,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
211,Water,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
212,Water,Forest,Water,NULL,Water,NULL,NULL,Water
213,Water,Forest,Water,NULL,Water,NULL,NULL,Forest
214,Water,Forest,Water,Water,Water,NULL,NULL,Water
215,Water,Forest,Water,Water,Water,NULL,NULL,Forest
216,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
217,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
218,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
219,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
220,Water,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
221,Water,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
222,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
223,Permanent_ice_and_snow,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
224,Permanent_ice_and_snow,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
225,Permanent_ice_and_snow,Water,Wetland,NULL,Wetland,NULL,NULL,Water
226,Permanent_ice_and_snow,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
227,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Water
228,Permanent_ice_and_snow,Water,Wetland,Water,Wetland,NULL,NULL,Forest
229,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL,NULL,Water
230,Permanent_ice_and_snow,Water,Water,Non_Water,Water,NULL,NULL,Water
231,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Bareland
232,Permanent_ice_and_snow,Water,Water,Water,Water,NULL,NULL,Water
233,Permanent_ice_and_snow,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
234,Permanent_ice_and_snow,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
235,Permanent_ice_and_snow,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
236,Permanent_ice_and_snow,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
237,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
238,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
239,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
240,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
241,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
242,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
243,Forest,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
244,Forest,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
245,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
246,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
247,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
248,Forest,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
249,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
250,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
251,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Water
252,Forest,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
253,Forest,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
254,Forest,NULL,Water,NULL,Water,NULL,NULL,Grassland
255,Forest,NULL,Water,NULL,Water,NULL,NULL,Wetland
256,Forest,NULL,Water,NULL,Water,NULL,NULL,Bareland
257,Forest,NULL,Water,NULL,Water,NULL,NULL,Water
258,Forest,NULL,Water,NULL,Water,NULL,NULL,Forest
259,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
260,Forest,NULL,Water,Water,Water,NULL,NULL,Grassland
261,Forest,NULL,Water,Water,Water,NULL,NULL,Wetland
262,Forest,NULL,Water,Water,Water,NULL,NULL,Forest
263,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
264,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
265,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
266,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
267,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
268,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
269,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
270,Forest,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
271,Forest,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
272,Forest,Bareland,Water,NULL,Water,NULL,NULL,Grassland
273,Forest,Bareland,Water,NULL,Water,NULL,NULL,Forest
274,Forest,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
275,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
276,Forest,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
277,Forest,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
278,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
279,Forest,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
280,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
281,Forest,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
282,Forest,Water,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
283,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
284,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
285,Forest,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
286,Forest,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
287,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
288,Forest,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
289,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
290,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
291,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
292,Forest,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
293,Forest,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
294,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
295,Forest,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
296,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
297,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
298,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
299,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Water
300,Forest,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
301,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
302,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
303,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
304,Forest,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
305,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
306,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
307,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Water
308,Forest,Water,Wetland,Water,Wetland,NULL,NULL,Forest
309,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
310,Forest,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
311,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
312,Forest,Water,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
313,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
314,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
315,Forest,Water,Bareland,Water,Non_Wetland,NULL,NULL,Forest
316,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
317,Forest,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
318,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
319,Forest,Water,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
320,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Water
321,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
322,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
323,Forest,Water,Water,NULL,Water,NULL,NULL,Wetland
324,Forest,Water,Water,NULL,Water,NULL,NULL,Bareland
325,Forest,Water,Water,NULL,Water,NULL,NULL,Water
326,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
327,Forest,Water,Water,Non_Water,Water,NULL,NULL,Grassland
328,Forest,Water,Water,Non_Water,Water,NULL,NULL,Bareland
329,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
330,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
331,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
332,Forest,Water,Water,Water,Water,NULL,NULL,Wetland
333,Forest,Water,Water,Water,Water,NULL,NULL,Bareland
334,Forest,Water,Water,Water,Water,NULL,NULL,Water
335,Forest,Water,Water,Water,Water,NULL,NULL,Forest
336,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
337,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
338,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
339,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
340,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
341,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
342,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
343,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
344,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
345,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
346,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
347,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Wetland
348,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
349,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
350,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
351,Forest,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
352,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
353,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
354,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
355,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
356,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
357,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
358,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
359,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
360,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
361,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
362,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
