Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXS_M_R
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
46,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Forest
47,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Wetland,Water
48,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
49,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Grassland
50,NULL,NULL,Water,NULL,Water,Bareland,Grassland,Water
51,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Forest
52,NULL,NULL,Water,Water,Water,Bareland,Wetland,Water
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
57,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
58,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
59,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
60,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
61,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
62,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
63,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
64,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
66,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
67,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
68,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
69,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
71,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
72,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
73,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
75,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
76,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,Water,Water,Water
78,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
79,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
80,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
81,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
82,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
84,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
85,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland,Grassland,Forest
86,NULL,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
87,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
88,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
89,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
92,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
93,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
95,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
97,NULL,Cropland,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
98,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
100,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
101,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
103,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
104,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
105,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
106,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
107,NULL,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
108,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
109,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
110,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
111,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Grassland,Forest
112,NULL,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Forest
113,NULL,Built-up,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
114,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
117,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
118,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
119,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
120,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
121,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
122,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
123,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
124,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
125,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
126,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
127,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
128,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
129,NULL,Built-up,Water,NULL,Water,Grassland,Grassland,Grassland
130,NULL,Built-up,Water,NULL,Water,Bareland,Forest,Forest
131,NULL,Built-up,Water,Non_Water,Water,Bareland,Grassland,Grassland
132,NULL,Built-up,Water,Water,Water,Bareland,Water,Water
133,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Water
135,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
136,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
137,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
138,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
139,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
140,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
141,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
142,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Grassland,Forest
143,NULL,Built-up,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
144,NULL,Water,NULL,NULL,Non_Wetland,Grassland,Forest,Water
145,NULL,Water,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
146,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
147,NULL,Water,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
148,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
149,NULL,Water,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
150,NULL,Water,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
151,NULL,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
152,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
153,NULL,Water,Grassland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
154,NULL,Water,Grassland,Water,Non_Wetland,Grassland,Grassland,Water
155,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
156,NULL,Water,Wetland,NULL,Wetland,Water,Forest,Water
157,NULL,Water,Wetland,Water,Wetland,Grassland,Water,Water
158,NULL,Water,Wetland,Water,Wetland,Bareland,Wetland,Water
159,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
160,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
161,NULL,Water,Water,NULL,Water,Bareland,Wetland,Forest
162,NULL,Water,Water,NULL,Water,Bareland,Water,Forest
163,NULL,Water,Water,NULL,Water,Water,Wetland,Grassland
164,NULL,Water,Water,NULL,Water,Water,Wetland,Water
165,NULL,Water,Water,NULL,Water,Water,Water,Water
166,NULL,Water,Water,Non_Water,Water,Grassland,Water,Grassland
167,NULL,Water,Water,Water,Water,Bareland,Water,Water
168,NULL,Water,Water,Water,Water,Water,Wetland,Water
169,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
170,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
171,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
172,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
173,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
174,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
175,NULL,Water,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
176,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
177,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
178,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
179,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Water,Grassland
180,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Forest
181,NULL,Water,Forest,Water,Non_Wetland,Grassland,Forest,Forest
182,NULL,Water,Forest,Water,Non_Wetland,Bareland,Water,Water
183,NULL,Forest,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
184,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
185,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
186,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
187,NULL,Forest,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
188,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
189,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
190,NULL,Forest,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
191,NULL,Forest,NULL,NULL,Non_Wetland,Water,Wetland,Forest
192,NULL,Forest,NULL,NULL,Non_Wetland,Water,Forest,Forest
193,NULL,Forest,NULL,NULL,Non_Wetland,Forest,Forest,Forest
194,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
195,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
196,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
197,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
199,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
200,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
201,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
202,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
203,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Water
204,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
205,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Water,Water
206,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
207,NULL,Forest,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
208,NULL,Forest,Grassland,NULL,Non_Wetland,Water,Wetland,Water
209,NULL,Forest,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
210,NULL,Forest,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
211,NULL,Forest,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
212,NULL,Forest,Grassland,Water,Non_Wetland,Bareland,Wetland,Forest
213,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
214,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
215,NULL,Forest,Wetland,NULL,Wetland,Forest,Grassland,Forest
216,NULL,Forest,Wetland,Water,Wetland,Water,Water,Water
217,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Wetland,Water
218,NULL,Forest,Water,NULL,Water,Grassland,Grassland,Forest
219,NULL,Forest,Water,NULL,Water,Grassland,Water,Water
220,NULL,Forest,Water,NULL,Water,Grassland,Forest,Forest
221,NULL,Forest,Water,NULL,Water,Bareland,Wetland,Forest
222,NULL,Forest,Water,NULL,Water,Bareland,Forest,Forest
223,NULL,Forest,Water,NULL,Water,Water,Wetland,Water
224,NULL,Forest,Water,NULL,Water,Water,Water,Bareland
225,NULL,Forest,Water,Water,Water,Bareland,Wetland,Forest
226,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
228,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
229,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Forest,Forest
230,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
232,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
233,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
234,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
235,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
236,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
237,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
238,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
239,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
240,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
241,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
242,NULL,Forest,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
243,NULL,Forest,Forest,NULL,Non_Wetland,Water,Grassland,Forest
244,NULL,Forest,Forest,NULL,Non_Wetland,Water,Forest,Forest
245,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
246,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
247,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
248,NULL,Forest,Forest,Non_Water,Non_Wetland,Bareland,Wetland,Forest
249,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
250,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
251,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
252,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
253,Grassland,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
254,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
255,Grassland,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
256,Grassland,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
257,Grassland,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
258,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
259,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
260,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
261,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
262,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
263,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
264,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
265,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
266,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
267,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
268,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
269,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
270,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
271,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
272,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Water
273,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
274,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
275,Grassland,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
276,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
277,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
278,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
279,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
280,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
281,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
282,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
283,Grassland,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
284,Grassland,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
285,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
286,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
287,Grassland,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
288,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
289,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
290,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
291,Grassland,NULL,Water,NULL,Water,Grassland,Grassland,Forest
292,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
293,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
294,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
295,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
296,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
297,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
298,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
299,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
300,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
301,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
302,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
303,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
304,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
305,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
306,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
307,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
308,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
309,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
310,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
311,Grassland,NULL,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
312,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
313,Grassland,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
314,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
315,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
316,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
317,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
318,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Forest
319,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Grassland
320,Grassland,NULL,Forest,Water,Non_Wetland,Grassland,Grassland,Forest
321,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
322,Grassland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
323,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
324,Grassland,Cropland,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
325,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
326,Grassland,Cropland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
327,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
328,Grassland,Cropland,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
329,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
330,Grassland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
331,Grassland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
332,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
333,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
