Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NEA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NEA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NEA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NEA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NEA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NEA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NEA_M_R
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
25,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
26,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
27,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
28,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
47,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
49,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
50,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
52,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
53,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
55,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
56,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
58,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
61,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
62,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
63,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Water
64,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
66,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
67,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Water
68,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Wetland
69,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,Grassland
71,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
72,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
73,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Wetland
74,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Water
75,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
76,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
77,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
78,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Wetland
79,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Forest
80,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,Grassland
81,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
82,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Wetland
83,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
84,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
85,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Wetland
86,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
87,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
88,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,Water,Wetland
89,NULL,NULL,Wetland,Non_Water,Wetland,Water,Water,Grassland
90,NULL,NULL,Wetland,Water,Wetland,Grassland,Wetland,Water
91,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Grassland
92,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Wetland
93,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Water
94,NULL,NULL,Wetland,Water,Wetland,Wetland,Wetland,Forest
95,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Grassland
96,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Wetland
97,NULL,NULL,Wetland,Water,Wetland,Wetland,Water,Water
98,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Grassland
99,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
100,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
101,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Wetland
102,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
103,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Built-up,Grassland
104,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
105,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Water,Wetland
106,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
107,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Forest,Bareland
108,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
109,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
110,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Forest,Grassland
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
112,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,NULL,Bareland,Water,Non_Wetland,Wetland,Wetland,Wetland
114,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Built-up
115,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
116,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Water,Water
117,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
118,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
119,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Grassland
120,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Wetland
121,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Water
122,NULL,NULL,Water,NULL,Water,Wetland,Wetland,Forest
123,NULL,NULL,Water,Non_Water,Water,Wetland,Wetland,Grassland
124,NULL,NULL,Water,Non_Water,Water,Wetland,Water,Wetland
125,NULL,NULL,Water,Water,Water,Wetland,Wetland,Grassland
126,NULL,NULL,Water,Water,Water,Wetland,Wetland,Wetland
127,NULL,NULL,Water,Water,Water,Wetland,Wetland,Water
128,NULL,NULL,Water,Water,Water,Wetland,Water,Grassland
129,NULL,NULL,Water,Water,Water,Wetland,Water,Wetland
130,NULL,NULL,Water,Water,Water,Wetland,Water,Water
131,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
132,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
133,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
134,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
135,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
136,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
137,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
138,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
139,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
140,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
141,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
142,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Wetland
144,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
145,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Grassland
146,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
147,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
148,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
149,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
150,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Grassland
151,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
152,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
153,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
154,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
156,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Water,Grassland
157,NULL,NULL,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
158,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Wetland
160,NULL,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
161,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
162,NULL,Wetland,Wetland,NULL,Wetland,Wetland,Wetland,Water
163,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Wetland,Grassland
164,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
165,NULL,Wetland,Wetland,Non_Water,Wetland,Wetland,Water,Water
166,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Grassland
167,NULL,Wetland,Wetland,Water,Wetland,Wetland,Wetland,Water
168,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Grassland
169,NULL,Wetland,Wetland,Water,Wetland,Wetland,Water,Water
170,NULL,Wetland,Built-up,NULL,Non_Wetland,Water,Water,Grassland
171,NULL,Wetland,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
172,NULL,Bareland,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
173,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
174,NULL,Bareland,Bareland,NULL,Non_Wetland,Wetland,Built-up,Grassland
175,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
176,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
177,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
178,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
179,NULL,Built-up,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
180,NULL,Built-up,NULL,NULL,Non_Wetland,Water,NULL,Forest
181,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
182,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Wetland,Forest
183,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Water,Forest
184,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Forest,Grassland
185,NULL,Built-up,NULL,NULL,Non_Wetland,Water,Forest,Bareland
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
199,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
200,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
201,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
202,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
203,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Bareland
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Built-up
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Forest
211,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
212,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
213,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
214,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
215,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
216,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
217,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
218,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
219,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
220,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
221,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
222,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
223,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
224,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
225,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
226,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Bareland
234,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Water
235,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Forest
236,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
237,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Grassland
238,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Built-up,Forest
239,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
240,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
241,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Built-up
242,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
243,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
244,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
245,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
246,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
247,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
248,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
249,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
250,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
251,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
252,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
253,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
254,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
255,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Built-up
256,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
257,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
258,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Built-up
259,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
260,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
261,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Built-up
262,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
263,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
264,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
265,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
266,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Built-up
267,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Water
268,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Built-up,Forest
269,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
270,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
271,NULL,Built-up,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
272,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
273,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
274,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
275,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
276,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
277,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
278,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
279,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Bareland
280,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Forest
281,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
282,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
283,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
284,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
285,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
286,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
287,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
288,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
289,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
290,NULL,Built-up,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
291,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
292,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
293,NULL,Built-up,Wetland,NULL,Wetland,NULL,Wetland,Grassland
294,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
295,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Forest
296,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
297,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Grassland
298,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Forest
299,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
300,NULL,Built-up,Wetland,Non_Water,Wetland,Wetland,Water,Forest
301,NULL,Built-up,Wetland,Water,Wetland,Wetland,Wetland,Grassland
302,NULL,Built-up,Wetland,Water,Wetland,Wetland,Built-up,Grassland
303,NULL,Built-up,Wetland,Water,Wetland,Wetland,Water,Grassland
304,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
305,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Built-up,Grassland
306,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Grassland,Grassland
307,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Grassland
308,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Bareland
309,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Built-up
310,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
311,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Bareland,Grassland
312,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Bareland,Forest
313,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Built-up,Grassland
314,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Built-up,Bareland
315,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Built-up,Built-up
316,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Built-up,Forest
317,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,Grassland
318,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Water,Water
319,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Forest,Grassland
320,NULL,Built-up,Bareland,NULL,Non_Wetland,Wetland,Forest,Forest
321,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
322,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Built-up
323,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Wetland,Forest
324,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
325,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Bareland
326,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Forest,Bareland
327,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Grassland,Bareland
