Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NDC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NDC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NDC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NDC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NDC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NDC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NDC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NDC_M_R
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
47,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
50,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
51,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
52,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
53,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
55,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
58,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
61,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
62,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
64,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
66,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
70,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
75,NULL,NULL,Wetland,Non_Water,Wetland,Wetland,NULL,Grassland
76,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
78,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
82,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,NULL,Bareland
83,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
84,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
88,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
91,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Bareland
92,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
93,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
94,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
95,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
102,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
105,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
106,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
107,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
108,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
110,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
111,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
112,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
114,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
115,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
116,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Grassland
117,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
118,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
119,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
120,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
121,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
122,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
123,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
124,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
125,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
127,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
128,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
129,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
130,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
131,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
133,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
135,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
141,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
143,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
144,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
145,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
146,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
147,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
148,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
149,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
150,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
151,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
152,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
153,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
154,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
155,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
156,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
157,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
158,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
159,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
160,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
161,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
163,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
165,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
166,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
167,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
168,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
169,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
170,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
171,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
172,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Built-up
173,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
174,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
175,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
178,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
179,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
184,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,NULL,Bareland
185,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
186,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
187,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
188,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
189,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
190,NULL,Built-up,Bareland,NULL,Non_Wetland,Water,Grassland,Bareland
191,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
193,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
194,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
195,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
196,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
197,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
198,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
199,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
200,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
201,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
202,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
203,NULL,Built-up,Water,NULL,Water,Grassland,Grassland,Grassland
204,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
205,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
207,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
208,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
210,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
211,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
212,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
213,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
214,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
215,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Bareland
216,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Water,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
219,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
221,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
223,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
224,NULL,Water,Wetland,NULL,Wetland,Grassland,Water,Forest
225,NULL,Water,Wetland,NULL,Wetland,Wetland,Water,Water
226,NULL,Water,Water,NULL,Water,NULL,NULL,Water
227,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
228,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
229,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
231,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
233,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
234,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
235,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
236,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
241,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
242,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
243,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
244,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
245,NULL,Forest,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
246,NULL,Forest,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
247,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
249,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
251,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
252,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
253,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
254,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
255,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Forest,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
259,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
260,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
262,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Grassland
263,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
264,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
265,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
266,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
267,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
268,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
269,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
270,NULL,Forest,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
271,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
272,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
273,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
274,NULL,Forest,Forest,NULL,Non_Wetland,Forest,NULL,Forest
275,NULL,Forest,Forest,NULL,Non_Wetland,Forest,Forest,Forest
276,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
277,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
278,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
279,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
281,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
282,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
283,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
284,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
285,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
286,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
287,Grassland,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
288,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
289,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
290,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
291,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
292,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
293,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
294,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
295,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
296,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
297,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
298,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
299,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
300,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
301,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
302,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
303,Grassland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
304,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
306,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
307,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
308,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
309,Grassland,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
310,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
311,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
312,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
313,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
314,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
315,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
316,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
317,Grassland,Forest,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
318,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
319,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
320,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
321,Cropland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
322,Cropland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
323,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
324,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
325,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
326,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
327,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
328,Cropland,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
329,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
330,Cropland,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
331,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
