Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NZD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NZD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NZD_M_R
54,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
55,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
56,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
59,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
60,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
63,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Bareland
64,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
65,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
66,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
67,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
68,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
69,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
70,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
71,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
72,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
73,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
76,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
77,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
78,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
79,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
81,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
83,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
84,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
85,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
86,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
87,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Forest
88,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
89,NULL,Bareland,Water,NULL,Water,NULL,NULL,Forest
90,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
91,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
94,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
95,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
97,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
98,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
100,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
101,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
109,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
110,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
111,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
115,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
116,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
117,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
118,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
119,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
120,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
121,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
124,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
126,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
127,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
128,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
129,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
130,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
131,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
132,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
133,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
134,NULL,Built-up,Water,Water,Water,NULL,NULL,Built-up
135,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
136,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
137,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
140,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
141,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
142,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
143,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
144,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
145,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
150,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
152,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
155,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
156,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
157,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
158,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
159,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
160,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
161,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
162,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
163,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
164,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
165,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
166,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
167,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
168,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
169,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
170,NULL,Water,Water,NULL,Water,NULL,NULL,Water
171,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
172,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
173,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
174,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
175,NULL,Water,Water,Water,Water,NULL,NULL,Bareland
176,NULL,Water,Water,Water,Water,NULL,NULL,Water
177,NULL,Water,Water,Water,Water,NULL,NULL,Forest
178,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
181,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
184,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
185,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
186,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
187,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
188,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
190,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
192,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
196,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
199,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
201,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
202,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
203,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
205,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
206,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
207,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
208,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
209,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
210,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
211,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
212,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Water
213,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,Forest,Water,NULL,Water,NULL,NULL,Water
215,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
216,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Forest
217,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
220,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
223,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
224,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
226,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
227,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
228,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
230,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
231,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
232,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
233,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
234,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
235,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
236,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
237,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
238,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
239,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
240,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
241,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
242,Grassland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
243,Grassland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
244,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Water
245,Grassland,Water,Water,Water,Water,NULL,NULL,Water
246,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
247,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
248,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
249,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
250,Grassland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
251,Grassland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
252,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
253,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
254,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
255,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
256,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
257,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
258,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
259,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
260,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
261,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,Cropland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
263,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
264,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
265,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
266,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
267,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
268,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
269,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
270,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
271,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
272,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
273,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
274,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
275,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
276,Cropland,NULL,Water,NULL,Water,NULL,NULL,Bareland
277,Cropland,NULL,Water,Water,Water,NULL,NULL,Bareland
278,Cropland,NULL,Water,Water,Water,NULL,NULL,Water
279,Cropland,NULL,Water,Water,Water,NULL,NULL,Forest
280,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
281,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
282,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
283,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
284,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
285,Cropland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
286,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
287,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
288,Cropland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
289,Cropland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
290,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
291,Cropland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
292,Cropland,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
293,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
294,Cropland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
295,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
296,Cropland,Bareland,Water,NULL,Water,NULL,NULL,Bareland
297,Cropland,Bareland,Water,Water,Water,NULL,NULL,Water
298,Cropland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
299,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
300,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
301,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
302,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
303,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
304,Cropland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
305,Cropland,Water,NULL,Water,Non_Wetland,NULL,NULL,Water
306,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
307,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
308,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
309,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
310,Cropland,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
311,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
312,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
313,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
314,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
315,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
316,Cropland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
317,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
318,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Forest
319,Cropland,Water,Water,NULL,Water,NULL,NULL,Grassland
320,Cropland,Water,Water,NULL,Water,NULL,NULL,Water
321,Cropland,Water,Water,NULL,Water,NULL,NULL,Forest
322,Cropland,Water,Water,Non_Water,Water,NULL,NULL,Water
323,Cropland,Water,Water,Water,Water,NULL,NULL,Bareland
324,Cropland,Water,Water,Water,Water,NULL,NULL,Water
325,Cropland,Water,Water,Water,Water,NULL,NULL,Forest
326,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
327,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
328,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
329,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
330,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
331,Cropland,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
332,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
333,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Bareland
334,Cropland,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
335,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
336,Cropland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
337,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
338,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
339,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
340,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
341,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Bareland
342,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
343,Cropland,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
344,Cropland,Forest,Water,NULL,Water,NULL,NULL,Forest
345,Cropland,Forest,Water,Non_Water,Water,NULL,NULL,Forest
346,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
347,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
348,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
349,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
350,Cropland,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
