Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
78,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Bareland
80,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
81,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
82,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
83,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
84,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
141,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
142,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
143,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
144,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
145,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,NULL
146,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
149,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
150,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
151,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Bareland
153,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Bareland,Forest
154,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
155,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
156,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
157,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
158,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
159,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
160,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
161,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
162,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
163,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
164,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
165,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
166,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
167,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
168,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
169,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
170,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
171,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
172,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
173,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
174,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
175,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
176,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
177,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Water
178,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
179,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
181,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
182,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
183,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
184,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
185,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
186,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
187,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
188,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
189,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
190,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
191,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
192,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
193,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
194,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
195,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Bareland
196,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Forest
197,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
198,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
199,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Forest
200,NULL,NULL,Cropland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
201,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
202,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
204,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
205,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
206,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
207,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
208,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
209,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
210,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
211,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
212,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
213,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
214,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
215,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
216,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Bareland
217,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Built-up
218,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
219,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
220,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
221,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
222,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
223,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,NULL
224,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
225,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
226,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
227,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
228,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
229,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
230,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
231,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
232,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
233,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
234,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
235,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
237,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
240,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
241,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
243,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
244,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
245,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
246,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
247,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
248,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
249,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
250,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
251,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Bareland
252,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Water
253,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Forest
254,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
255,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
256,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland,Forest
257,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Grassland
258,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Grassland,Forest
259,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
260,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Bareland,Grassland
261,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Water,Grassland
262,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
263,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
264,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
265,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
267,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Grassland
268,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Water
269,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
270,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
271,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
272,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
273,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
274,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
275,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
276,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
277,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Grassland
278,NULL,NULL,Wetland,NULL,Wetland,Wetland,Bareland,Forest
279,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,Grassland
280,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Grassland
281,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
282,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Bareland
283,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Forest
284,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Grassland
285,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,Forest
286,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,NULL
287,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
288,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Bareland
289,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Water
290,NULL,NULL,Wetland,NULL,Wetland,Bareland,Bareland,Forest
291,NULL,NULL,Wetland,NULL,Wetland,Bareland,Built-up,Forest
292,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Grassland
293,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,Forest
294,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,Grassland
295,NULL,NULL,Wetland,NULL,Wetland,Built-up,Bareland,Grassland
296,NULL,NULL,Wetland,NULL,Wetland,Water,Grassland,Grassland
297,NULL,NULL,Wetland,NULL,Wetland,Water,Water,Grassland
298,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Grassland
299,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
300,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
301,NULL,NULL,Wetland,NULL,Wetland,Forest,Bareland,Forest
302,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
303,NULL,NULL,Wetland,Non_Water,Wetland,Shrubland,Grassland,Grassland
304,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Forest
305,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Wetland,Grassland
306,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Bareland,Forest
307,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
308,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,NULL
309,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Grassland
310,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Bareland
311,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Water
312,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Bareland,Forest
313,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
314,NULL,NULL,Wetland,Water,Wetland,Shrubland,Grassland,Grassland
315,NULL,NULL,Wetland,Water,Wetland,Grassland,Water,Grassland
316,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Grassland
317,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
318,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Grassland
319,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Bareland
320,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
321,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Forest
322,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
323,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
324,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
325,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
326,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
327,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Shrubland,Grassland,Grassland
